"YEAR","BpS_Code","sclass","PERC_CHNG","AREA_CHNG","PREV_AREA","PERC_CHNG_VAR","AREA_CHNG_VAR","PREV_AREA_VAR","nPlots_AREA","N"
2017,"Na0210290_fdw","B",NA,0,0,NA,0,0,0,5128
2017,"Na0210290_fdw","E",NA,0,0,NA,0,0,0,5128
2017,"Na0210290_fwo","A",-3.03692236476043,-747.248031558534,24605.4374069414,2.4863835607349,1303489.19677179,167330783.70459,4,5128
2017,"Na0210290_fwo","B",-1.82937561873908,-1484.40401495605,81142.6587164856,0.367113684642187,3435323.59334925,744438415.64279,8,5128
2017,"Na0210290_fwo","C",6.6315868399733,2027.36970419789,30571.4115357352,11.5721612437817,1867328.01954554,245130374.876079,8,5128
2017,"Na0210290_fwo","E",0,0,33610.9796203075,0,0,325377999.954897,3,5128
2017,"Na0210350_fvg","A",NA,0,0,NA,0,0,0,5128
2017,"Na0210350_fvg","B",NA,0,0,NA,0,0,0,5128
2017,"Na0210350_fvg","C",NA,0,0,NA,0,0,0,5128
2017,"Na0210350_fvg","D",NA,0,0,NA,0,0,0,5128
2017,"Na0210350_fvg","E",NA,0,0,NA,0,0,0,5128
2017,"Na0710270_fdd","A",-3.75872996392232,-10981.5699664971,292161.716108958,0.370961216330291,13977514.1634401,2302446267.82809,70,9917
2017,"Na0710270_fdd","B",0.643551538952941,5482.79828946474,851959.471402284,0.00427376022409863,30000893.0483771,6984841283.85688,131,10139
2017,"Na0710270_fdd","C",0.534574075496095,1626.07372445616,304181.178809903,0.00864650124395561,21519373.9474079,2341008404.58728,68,9917
2017,"Na0710270_fdd","D",-0.646227865176205,-101.052145593882,15637.2312367447,0.210940978281634,199481.758286341,126514872.104592,3,9917
2017,"Na0710270_fdd","E",2.40056404571067,3953.37625459766,164685.306424611,0.25547567709834,5160538.10223674,1195479318.2783,36,9917
2017,"Na0710411_fmt","A",NA,0,0,NA,0,0,0,5606
2017,"Na0710411_fmt","B",NA,0,0,NA,0,0,0,2140
2017,"Na0710411_fmt","C",NA,0,0,NA,0,0,0,5606
2017,"Na0710411_fmt","D",NA,0,0,NA,0,0,0,5606
2017,"Na0710411_fmt","E",NA,0,0,NA,0,0,0,5606
2017,"Na0710412_fmc","A",0.595663467206533,19.5232959804613,3277.571490496,0.262642344443922,212.82440441808,7977621.8938811,3,10617
2017,"Na0710412_fmc","B",14.8653614557464,391.44598299618,2633.27591570175,248.521199656765,116531.857188119,7797867.63926114,2,7151
2017,"Na0710412_fmc","C",0,0,2590.30648340482,0,0,7505666.65047016,1,10617
2017,"Na0710412_fmc","D",-0.862546567664393,-75.521585912572,8755.65317210288,0.203125158695076,178789.439840201,23028840.9782332,4,15745
2017,"Na0710412_fmc","E",-2.65378447811739,-278.128145794274,10480.4345676021,1.77678272578438,83578.4141442744,28296738.4293328,4,15745
2017,"Na0710412_fmh","A",1.40439624229203,2263.54631721183,161175.760020379,0.0679860021156368,9879928.91414451,831923359.111928,88,15745
2017,"Na0710412_fmh","B",-1.01810365504375,-3927.41896827675,385758.26231642,0.0194374441430914,19259964.6228093,2991524350.85011,101,15745
2017,"Na0710412_fmh","C",0.72720693225829,2094.58526044387,288031.530989299,0.0176844147200764,18721439.6748963,2496571219.21459,88,15745
2017,"Na0710412_fmh","D",-1.29304360367717,-4332.92281037188,335094.872133459,0.0352422013053062,24046978.3245983,2583972021.79432,88,15745
2017,"Na0710412_fmh","E",0.906711104894733,3002.3956291607,331130.347136233,0.0228523681894316,19737630.5000563,2836187474.68196,76,15745
2017,"Na0710412_fmi","A",Inf,167.515847377367,0,NA,31556.9427720817,0,1,4789
2017,"Na0710412_fmi","B",0,0,8327.89712397265,0,0,78995391.8214096,1,5128
2017,"Na0710412_fmi","C",0,0,665.7660969799,0,0,441013.799616641,1,4789
