"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","BpS_Code1","BpS_Code2","ew1","ew2","sclass1","sclass2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2017,0,1,"Na0210290_fwo","Na0210290_fwo","eastside","eastside",NA,"B","Non-forest","Forest",835.953687463666,317526.854736361,3,5128
2017,0,1,"Na0210350_fvg","Na0210350_fvg","westside","westside",NA,"A","Non-forest","Forest",64.7209400072927,1834.99546956895,1,5128
2017,0,1,"Na0210350_fvg","Na0210350_fvg","westside","westside",NA,"E","Non-forest","Forest",69.1061806084735,3805.8879787703,1,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","eastside","eastside",NA,"A","Non-forest","Forest",158.179888264742,25036.5717266957,1,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","eastside","eastside",NA,"B","Non-forest","Forest",1981.00054217758,644301.400714364,14,9917
2017,0,1,"Na0710270_fdd","Na0710270_fdd","eastside","eastside",NA,"E","Non-forest","Forest",1605.35824651967,530314.564796015,10,9917
2017,0,1,"Na0710411_fmt","Na0710411_fmt","westside","westside",NA,"A","Non-forest","Forest",12.2961668319888,160.585896337463,1,1955
2017,0,1,"Na0710411_fmt","Na0710411_fmt","westside","westside",NA,"B","Non-forest","Forest",14.1677208491502,227.478771279409,1,1955
2017,0,1,"Na0710411_fmt","Na0710411_fmt","westside","westside",NA,"C","Non-forest","Forest",29.8606994044417,947.038985839867,1,1955
2017,0,1,"Na0710411_fmt","Na0710411_fmt","westside","westside",NA,"E","Non-forest","Forest",132.131663474676,10398.995313032,2,5421
2017,0,1,"Na0710412_fmc","Na0710412_fmc","eastside","eastside",NA,"E","Non-forest","Forest",58.3021890324476,1551.96666931949,2,4789
2017,0,1,"Na0710412_fmc","Na0710412_fmc","westside","westside",NA,"A","Non-forest","Forest",125.381313770335,14234.3816938078,2,4974
2017,0,1,"Na0710412_fmc","Na0710412_fmc","westside","westside",NA,"B","Non-forest","Forest",12.5924256775123,138.435109950882,1,4789
2017,0,1,"Na0710412_fmc","Na0710412_fmc","westside","westside",NA,"C","Non-forest","Forest",718.586964703952,152539.900500397,3,5421
2017,0,1,"Na0710412_fmc","Na0710412_fmc","westside","westside",NA,"E","Non-forest","Forest",172.856960924386,10427.4651021323,5,6929
2017,0,1,"Na0710412_fmh","Na0710412_fmh","eastside","eastside",NA,"A","Non-forest","Forest",246.401680840494,33691.9561979277,7,10432
2017,0,1,"Na0710412_fmh","Na0710412_fmh","eastside","eastside",NA,"B","Non-forest","Forest",542.766699087327,45259.0199162444,12,15338
2017,0,1,"Na0710412_fmh","Na0710412_fmh","eastside","eastside",NA,"E","Non-forest","Forest",209.196393506968,12318.7532584401,5,6744
2017,0,1,"Na0710412_fmi","Na0710412_fmi","eastside","eastside",NA,"E","Non-forest","Forest",6.7795616871138,45.1556853671004,1,4789
2017,0,1,"Na1010471_frn","Na1010471_frn","eastside","eastside",NA,"A","Non-forest","Forest",108.21516184611,6076.84845249665,3,5421
2017,0,1,"Na1010471_frn","Na1010471_frn","eastside","eastside",NA,"B","Non-forest","Forest",1386.4544246822,1374935.37012495,7,5421
2017,0,1,"Na1010471_frn","Na1010471_frn","eastside","eastside",NA,"E","Non-forest","Forest",14.4373334173953,234.950732008909,1,1955
2017,0,1,"R1RFWF_fcw","R1RFWF_fcw","eastside","eastside",NA,"A","Non-forest","Forest",5.5610842490397,34.1999250960189,2,9917
2017,0,1,"R1RFWF_fcw","R1RFWF_fcw","eastside","eastside",NA,"B","Non-forest","Forest",51.3090623115472,933.606066253672,4,4789
2017,0,1,"R1RFWF_fcw","R1RFWF_fcw","eastside","eastside",NA,"E","Non-forest","Forest",90.8628508270869,3193.33012891459,4,4789
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","eastside","eastside",NA,"A","Non-forest","Forest",196.290890869695,29250.6080158128,1,1955
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","eastside","eastside",NA,"B","Non-forest","Forest",328.500993791887,14478.2441005908,7,6929
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","eastside","eastside",NA,"E","Non-forest","Forest",169.371547067431,16243.023799285,5,6744
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","westside","westside",NA,"A","Non-forest","Forest",423.877466765432,57302.3288831378,10,11872
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","westside","westside",NA,"B","Non-forest","Forest",1636.48166513498,213087.088558785,39,10210
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","westside","westside",NA,"C","Non-forest","Forest",0.174278617279341,0.0265164675846446,1,4789
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","westside","westside",NA,"E","Non-forest","Forest",1163.13403830902,210414.016889184,13,10432
2017,0,1,"RaABAMlw_fsw","RaABAMlw_fsw","eastside","eastside",NA,"B","Non-forest","Forest",19.2702689875002,399.945846892388,1,4789
2017,0,1,"RaABAMlw_fsw","RaABAMlw_fsw","westside","westside",NA,"B","Non-forest","Forest",392.600620631735,63405.4965598783,4,4789
2017,0,1,"RaABAMlw_fsw","RaABAMlw_fsw","westside","westside",NA,"E","Non-forest","Forest",31.6831666354147,825.74319865696,2,4789
2017,0,1,"RaABAMlw_fwc","RaABAMlw_fwc","westside","westside",NA,"B","Non-forest","Forest",8.77650857055405,85.2994273023563,1,1955
2017,0,1,"RaABAMlw_fwc","RaABAMlw_fwc","westside","westside",NA,"E","Non-forest","Forest",18.3952129652159,333.560280030632,1,4789
2017,0,1,"RaABAMup_fsi","RaABAMup_fsi","westside","westside",NA,"E","Non-forest","Forest",2.67677378285852,10.0186928178614,1,5128
2017,0,1,"RaABAMup_fst","RaABAMup_fst","westside","westside",NA,"A","Non-forest","Forest",204.729914002283,16003.2741626777,4,5421
2017,0,1,"RaABAMup_fst","RaABAMup_fst","westside","westside",NA,"B","Non-forest","Forest",402.220297429768,26012.0903037877,11,5606
2017,0,1,"RaABAMup_fst","RaABAMup_fst","westside","westside",NA,"C","Non-forest","Forest",39.8698175856026,1550.10436624079,3,1955
2017,0,1,"RaABAMup_fst","RaABAMup_fst","westside","westside",NA,"E","Non-forest","Forest",866.581691907024,271250.133796598,11,5606
2017,0,1,"RaABLA_faf","RaABLA_faf","westside","westside",NA,"A","Non-forest","Forest",107.106404590138,7564.48620724262,1,3466
2017,0,1,"RaABLA_faf","RaABLA_faf","westside","westside",NA,"B","Non-forest","Forest",62.3343123834048,1465.31675764827,2,5421
2017,0,1,"RaABLA_faf","RaABLA_faf","westside","westside",NA,"E","Non-forest","Forest",96.0819573250083,8907.29662701678,2,1955
2017,0,1,"RaDFHEdy_fdg","RaDFHEdy_fdg","westside","westside",NA,"A","Non-forest","Forest",155.203172358577,14919.688012239,3,5421
2017,0,1,"RaDFHEdy_fdg","RaDFHEdy_fdg","westside","westside",NA,"B","Non-forest","Forest",214.454375732599,22085.7851087403,5,5421
2017,0,1,"RaDFHEdy_fdg","RaDFHEdy_fdg","westside","westside",NA,"C","Non-forest","Forest",90.8194560706023,9074.92492396336,1,1955
2017,0,1,"RaDFHEdy_fdg","RaDFHEdy_fdg","westside","westside",NA,"E","Non-forest","Forest",675.409134921422,163249.325823643,4,5421
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","eastside","eastside",NA,"A","Non-forest","Forest",79.9494733623887,8663.20013862269,1,5128
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","eastside","eastside",NA,"B","Non-forest","Forest",255.191297665424,40218.0146259162,5,9917
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","eastside","eastside",NA,"E","Non-forest","Forest",73.4032825371088,1890.92154786464,5,13383
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","westside","westside",NA,"A","Non-forest","Forest",954.574900245629,114326.358183662,19,15338
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","westside","westside",NA,"B","Non-forest","Forest",7555.93988376372,2632919.58277052,65,15338
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","westside","westside",NA,"C","Non-forest","Forest",162.906434078814,13451.2813583642,3,8594
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","westside","westside",NA,"E","Non-forest","Forest",2209.19257238313,309345.261257099,45,15338
2017,0,1,"RaDFHEdy_fwx","RaDFHEdy_fwx","eastside","eastside",NA,"E","Non-forest","Forest",18.1322147728575,328.662922488081,1,4789
2017,0,1,"RaDFHEwt_fdm","RaDFHEwt_fdm","eastside","eastside",NA,"B","Non-forest","Forest",0.0199490599674375,0.000447536021537026,1,4789
2017,0,1,"RaDFHEwt_fdm","RaDFHEwt_fdm","westside","westside",NA,"E","Non-forest","Forest",6.22396831474795,39.9840010071326,1,4789
2017,0,1,"RaDFHEwt_fwm","RaDFHEwt_fwm","eastside","eastside",NA,"E","Non-forest","Forest",14.2001594239054,118.433256134918,2,9917
2017,0,1,"RaDFHEwt_fwm","RaDFHEwt_fwm","westside","westside",NA,"A","Non-forest","Forest",1763.833589667,751074.602193865,9,8594
2017,0,1,"RaDFHEwt_fwm","RaDFHEwt_fwm","westside","westside",NA,"B","Non-forest","Forest",3657.32551794632,1813146.40716781,20,10549
2017,0,1,"RaDFHEwt_fwm","RaDFHEwt_fwm","westside","westside",NA,"E","Non-forest","Forest",257.952029230849,9589.39683738129,12,15338
2017,0,1,"RaDFHEwt_fwn","RaDFHEwt_fwn","eastside","eastside",NA,"A","Non-forest","Forest",411.007453691998,62296.6844867423,3,5128
2017,0,1,"RaDFHEwt_fwn","RaDFHEwt_fwn","eastside","eastside",NA,"B","Non-forest","Forest",115.051988438776,6832.84663008303,2,5128
2017,0,1,"RaDFHEwt_fwn","RaDFHEwt_fwn","westside","westside",NA,"A","Non-forest","Forest",1334.2425514818,259292.799814631,13,8594
2017,0,1,"RaDFHEwt_fwn","RaDFHEwt_fwn","westside","westside",NA,"B","Non-forest","Forest",1538.55682893851,189416.200073027,30,15338
2017,0,1,"RaDFHEwt_fwn","RaDFHEwt_fwn","westside","westside",NA,"C","Non-forest","Forest",204.600637219496,15914.3802881141,3,9917
2017,0,1,"RaDFHEwt_fwn","RaDFHEwt_fwn","westside","westside",NA,"E","Non-forest","Forest",728.558385619331,69770.8509604371,14,15338
2017,0,1,"RaDFHEwt_fww","RaDFHEwt_fww","eastside","eastside",NA,"E","Non-forest","Forest",76.4737776838988,6227.31134965316,1,5128
2017,0,1,"RaDFHEwt_fww","RaDFHEwt_fww","westside","westside",NA,"A","Non-forest","Forest",16.0843606151697,192.533540430774,2,5128
2017,0,1,"RaDFHEwt_fww","RaDFHEwt_fww","westside","westside",NA,"B","Non-forest","Forest",931.509399649763,235624.028479912,4,9917
2017,0,1,"RaDFHEwt_fww","RaDFHEwt_fww","westside","westside",NA,"C","Non-forest","Forest",12.0778726485307,168.032430469121,1,3466
2017,0,1,"RaDFHEwt_fww","RaDFHEwt_fww","westside","westside",NA,"E","Non-forest","Forest",72.6837564742412,5017.22241828444,4,8255
2017,0,1,"RaDFWV_fwx","RaDFWV_fwx","westside","westside",NA,"A","Non-forest","Forest",1662.78826663269,451473.72727048,7,5128
2017,0,1,"RaDFWV_fwx","RaDFWV_fwx","westside","westside",NA,"B","Non-forest","Forest",1842.54630814647,1259172.49777389,9,5128
2017,0,1,"RaDFWV_fwx","RaDFWV_fwx","westside","westside",NA,"C","Non-forest","Forest",325.786666455705,94959.803470052,1,5128
2017,0,1,"RaDFWV_fwx","RaDFWV_fwx","westside","westside",NA,"E","Non-forest","Forest",2254.98869448362,893495.427968699,20,9917
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","eastside","eastside",NA,"A","Non-forest","Forest",4969.1573988446,3522950.18590997,22,15338
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","eastside","eastside",NA,"B","Non-forest","Forest",9345.40987442508,3114459.48541433,96,15338
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","eastside","eastside",NA,"C","Non-forest","Forest",239.987644799748,41586.5212611178,4,6744
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","eastside","eastside",NA,"E","Non-forest","Forest",780.683347628736,333209.542174995,6,15338
2017,0,1,"RaMCONdy_fdg","RaMCONdy_fdg","eastside","eastside",NA,"A","Non-forest","Forest",67.6958801060038,3055.70222278699,4,4789
2017,0,1,"RaMCONdy_fdg","RaMCONdy_fdg","eastside","eastside",NA,"B","Non-forest","Forest",804.195537418025,123068.281825011,17,4789
2017,0,1,"RaMCONdy_fdg","RaMCONdy_fdg","eastside","eastside",NA,"C","Non-forest","Forest",9.94491969230796,91.6936467810234,2,4789
2017,0,1,"RaMCONdy_fdg","RaMCONdy_fdg","eastside","eastside",NA,"E","Non-forest","Forest",58.4475084739221,808.18292546674,7,4789
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","eastside","eastside",NA,"A","Non-forest","Forest",647.06042294295,128821.2393453,8,15338
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","eastside","eastside",NA,"B","Non-forest","Forest",2872.83403524109,779894.361355804,25,10210
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","eastside","eastside",NA,"E","Non-forest","Forest",625.450082090066,91151.7309061112,8,10210
2017,0,1,"RaMCONdy_fmx","RaMCONdy_fmx","eastside","eastside",NA,"A","Non-forest","Forest",173.344971187607,13619.8662517491,5,4789
2017,0,1,"RaMCONdy_fmx","RaMCONdy_fmx","eastside","eastside",NA,"B","Non-forest","Forest",200.081387298905,14792.2186049475,10,9917
2017,0,1,"RaMCONdy_fmx","RaMCONdy_fmx","eastside","eastside",NA,"E","Non-forest","Forest",16.7668320006476,133.412762431145,3,4789
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","eastside","eastside",NA,"A","Non-forest","Forest",348.828576379199,23605.0149567929,11,10139
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","eastside","eastside",NA,"B","Non-forest","Forest",3467.34299449168,1211127.4491735,51,15338
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","eastside","eastside",NA,"C","Non-forest","Forest",132.247505750175,8346.35518301615,2,9917
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","eastside","eastside",NA,"E","Non-forest","Forest",198.080761465709,8434.28122785001,10,6966
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","eastside","eastside",NA,"A","Non-forest","Forest",370.37986400596,57931.181099746,7,8255
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","eastside","eastside",NA,"B","Non-forest","Forest",2439.19876977006,715244.886415392,32,15338
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","eastside","eastside",NA,"C","Non-forest","Forest",87.4276866163114,5292.95458986545,3,6744
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","eastside","eastside",NA,"E","Non-forest","Forest",465.754975772124,61365.5387778313,6,6744
2017,0,1,"RaMCONsw_fdm","RaMCONsw_fdm","eastside","eastside",NA,"A","Non-forest","Forest",364.489360447589,143602.7571924,1,5128
2017,0,1,"RaMCONsw_fdm","RaMCONsw_fdm","eastside","eastside",NA,"B","Non-forest","Forest",84.7521893794291,9038.83333091557,1,5128
2017,0,1,"RaMCONsw_fdm","RaMCONsw_fdm","eastside","eastside",NA,"E","Non-forest","Forest",51.9068982546448,2249.09299617731,2,9917
2017,0,1,"RaMCONsw_fiw","RaMCONsw_fiw","eastside","eastside",NA,"A","Non-forest","Forest",32.6322833821415,958.721915523186,2,4789
2017,0,1,"RaMCONsw_fiw","RaMCONsw_fiw","eastside","eastside",NA,"B","Non-forest","Forest",245.841068219335,13572.4989933498,9,9917
2017,0,1,"RaMCONsw_fiw","RaMCONsw_fiw","eastside","eastside",NA,"E","Non-forest","Forest",877.432890440015,95309.7425094378,17,9917
2017,0,1,"RaMCONsw_fiw","RaMCONsw_fiw","westside","westside",NA,"B","Non-forest","Forest",13.3250187790296,136.052442093043,1,222
2017,0,1,"RaMCONsw_fiw","RaMCONsw_fiw","westside","westside",NA,"E","Non-forest","Forest",801.858124425732,492680.926866164,1,222
2017,0,1,"RaMCONsw_fvw","RaMCONsw_fvw","eastside","eastside",NA,"A","Non-forest","Forest",472.940500351227,212002.786827452,1,5128
2017,0,1,"RaMCONsw_fvw","RaMCONsw_fvw","eastside","eastside",NA,"B","Non-forest","Forest",10.2105965616551,94.3820862710735,1,5128
