"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","ew1","ew2","sclass1","sclass2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2017,0,1,"eastside","eastside",NA,"A","Non-forest","Forest",19580.9760885642,11522686.8250113,131,15745
2017,0,1,"eastside","eastside",NA,"B","Non-forest","Forest",46545.9208350047,21864912.4552113,409,15745
2017,0,1,"eastside","eastside",NA,"C","Non-forest","Forest",1910.58105047171,811312.281838896,29,12094
2017,0,1,"eastside","eastside",NA,"E","Non-forest","Forest",9191.84604529903,1924232.10868008,167,15560
2017,0,1,"westside","westside",NA,"A","Non-forest","Forest",12518.0026953648,7918572.6145319,87,15745
2017,0,1,"westside","westside",NA,"B","Non-forest","Forest",22461.843465468,9046964.38992155,214,15745
2017,0,1,"westside","westside",NA,"C","Non-forest","Forest",1835.68602151109,363939.405847174,18,15338
2017,0,1,"westside","westside",NA,"E","Non-forest","Forest",9812.54754731486,2485976.76059931,146,15745
2017,1,0,"eastside","eastside","A",NA,"Forest","Non-forest",29831.5100711888,18963210.4312637,125,15745
2017,1,0,"eastside","eastside","B",NA,"Forest","Non-forest",74316.25799908,46062279.3651218,392,15745
2017,1,0,"eastside","eastside","C",NA,"Forest","Non-forest",5718.77006729617,2467657.30828292,38,15745
2017,1,0,"eastside","eastside","D",NA,"Forest","Non-forest",121.862982901257,13514.0959565651,2,5313
2017,1,0,"eastside","eastside","E",NA,"Forest","Non-forest",13171.6947408285,5376392.96116855,145,15745
2017,1,0,"westside","westside","A",NA,"Forest","Non-forest",13328.6935429109,6905061.35787428,94,15523
2017,1,0,"westside","westside","B",NA,"Forest","Non-forest",26446.678444904,13292336.7355784,194,15745
2017,1,0,"westside","westside","C",NA,"Forest","Non-forest",2291.88122966965,920019.06174122,12,13383
2017,1,0,"westside","westside","D",NA,"Forest","Non-forest",8.31380050249498,74.4431661002554,1,4789
2017,1,0,"westside","westside","E",NA,"Forest","Non-forest",18180.6004044303,6019772.42620189,175,15745
2017,1,1,"eastside","eastside","A","B","Forest","Forest",124375.31376533,77774064.6052891,390,15560
2017,1,1,"eastside","eastside","A","C","Forest","Forest",6371.66234492615,5284057.66416492,27,15745
2017,1,1,"eastside","eastside","A","D","Forest","Forest",706.321801256606,415495.243572231,4,8255
2017,1,1,"eastside","eastside","A","E","Forest","Forest",5542.61432122177,2162379.20399074,72,15560
