"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","sclass1","sclass2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2017,0,1,NA,"A","Non-forest","Forest",37390.8484570817,20226107.3793527,246,15745
2017,0,1,NA,"B","Non-forest","Forest",6441.85116475642,1942990.43320144,108,15523
2017,0,1,NA,"C","Non-forest","Forest",25653.0908177017,11401352.3767921,253,15745
2017,0,1,NA,"D","Non-forest","Forest",3244.88249829673,905631.817239055,61,15560
2017,0,1,NA,"E","Non-forest","Forest",3536.01813289855,708944.877944425,73,15338
2017,1,0,"A",NA,"Forest","Non-forest",67770.4212191706,43819989.1404154,269,15745
2017,1,0,"B",NA,"Forest","Non-forest",12734.9260622926,7359708.43276699,102,15523
2017,1,0,"C",NA,"Forest","Non-forest",38494.7107383122,22628038.3401049,228,15745
2017,1,0,"D",NA,"Forest","Non-forest",4815.45280318924,1818164.89385176,65,15745
2017,1,0,"E",NA,"Forest","Non-forest",2211.64177877624,400080.72394816,47,15745
2017,1,1,"A","B","Forest","Forest",77943.7518590317,53978214.4994366,193,15560
2017,1,1,"A","C","Forest","Forest",125627.186787802,79948684.306757,393,15745
2017,1,1,"A","D","Forest","Forest",9753.40866916307,6186142.42101803,57,15745
2017,1,1,"A","E","Forest","Forest",10282.4274236673,7877665.66511011,52,15560
2017,1,1,"B","A","Forest","Forest",55875.0939227454,39140308.8562628,180,15745
2017,1,1,"B","C","Forest","Forest",102932.995775573,64932007.2927304,267,15745
2017,1,1,"B","D","Forest","Forest",16648.7311101717,8426472.07185382,51,15745
2017,1,1,"B","E","Forest","Forest",67332.931216242,41818926.4094232,160,15338
2017,1,1,"C","A","Forest","Forest",144296.996154187,90682576.4603835,467,15745
2017,1,1,"C","B","Forest","Forest",119641.640660167,82794231.0119431,259,15523
2017,1,1,"C","D","Forest","Forest",56602.8925272486,33878337.383633,163,15745
2017,1,1,"C","E","Forest","Forest",20542.4454426754,12783994.0982679,60,15745
2017,1,1,"D","A","Forest","Forest",21051.0531125169,15414060.1545796,91,15745
2017,1,1,"D","B","Forest","Forest",9613.69490119496,4587551.80005588,31,15560
