"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","BpS_Code1","BpS_Code2","BPS_LLID1","BPS_LLID2","ew1","ew2","sclass1","sclass2","STATE1","STATE2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2017,0,1,"Na0210290_fwo","Na0210290_fwo","Na0210290_fwo_1710030707","Na0210290_fwo_1710030707","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",394.461901470041,111658.789809012,2,5128
2017,0,1,"Na0210290_fwo","Na0210290_fwo","Na0210290_fwo_1710030904","Na0210290_fwo_1710030904","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",441.491785993625,205868.064927349,1,5128
2017,0,1,"Na0210350_fvg","Na0210350_fvg","Na0210350_fvg_17100303A","Na0210350_fvg_17100303A","westside","westside",NA,"A","Oregon","Oregon","Non-forest","Forest",64.7209400072927,1834.99546956895,1,5128
2017,0,1,"Na0210350_fvg","Na0210350_fvg","Na0210350_fvg_17100303A","Na0210350_fvg_17100303A","westside","westside",NA,"E","Oregon","Oregon","Non-forest","Forest",69.1061806084735,3805.8879787703,1,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710030202","Na0710270_fdd_1710030202","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",0.0793178982472635,0.00618089833866007,1,4789
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710030203","Na0710270_fdd_1710030203","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",0.228458392791398,0.0512770980870285,1,4789
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710030205","Na0710270_fdd_1710030205","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",39.3858021198191,1766.89378670585,1,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710030205","Na0710270_fdd_1710030205","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",63.564853000989,3840.21509220642,1,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710030210","Na0710270_fdd_1710030210","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",95.2283330106853,6837.97100735655,1,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710030211","Na0710270_fdd_1710030211","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",26.8803958946773,732.134517013212,1,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710030212","Na0710270_fdd_1710030212","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",709.298460670642,379361.21342273,1,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710030213","Na0710270_fdd_1710030213","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",628.797862067732,353749.071178674,1,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710030703","Na0710270_fdd_1710030703","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",370.094988866348,140500.248724006,1,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710030707","Na0710270_fdd_1710030707","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",30.2517219632289,444.321481957031,2,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710030707","Na0710270_fdd_1710030707","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",337.998437204162,84973.4921750742,1,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710030708","Na0710270_fdd_1710030708","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",69.2104318078012,3178.97694025285,1,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710030902","Na0710270_fdd_1710030902","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",208.948486564729,44504.9949555659,1,4789
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710030903","Na0710270_fdd_1710030903","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",25.1348233664013,717.828335031424,1,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710031001","Na0710270_fdd_1710031001","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",153.350578916162,18242.9889478304,2,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710031004","Na0710270_fdd_1710031004","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",85.0010101895186,3800.49705890136,2,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710031102","Na0710270_fdd_1710031102","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",359.524543465203,96141.5610262334,1,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710031104","Na0710270_fdd_1710031104","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",90.4084407277919,7747.23116751459,1,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710031105","Na0710270_fdd_1710031105","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",129.626336916718,17026.2530277394,1,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710031106","Na0710270_fdd_1710031106","eastside","eastside",NA,"A","Oregon","Oregon","Non-forest","Forest",158.179888264742,25036.5717266957,1,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1710031106","Na0710270_fdd_1710031106","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",78.5702292509621,6177.15319645731,1,5128
2017,0,1,"Na0710270_fdd","Na0710270_fdd","Na0710270_fdd_1801020602","Na0710270_fdd_1801020602","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",84.7752764026457,5727.44132093309,1,5128
2017,0,1,"Na0710411_fmt","Na0710411_fmt","Na0710411_fmt_WCR","Na0710411_fmt_WCR","westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",28.1292521268455,836.138132053064,1,1955
2017,0,1,"Na0710411_fmt","Na0710411_fmt","Na0710411_fmt_WNC","Na0710411_fmt_WNC","westside","westside",NA,"A","Washington","Washington","Non-forest","Forest",12.2961668319888,160.585896337463,1,1955
2017,0,1,"Na0710411_fmt","Na0710411_fmt","Na0710411_fmt_WNC","Na0710411_fmt_WNC","westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",14.1677208491502,227.478771279409,1,1955
2017,0,1,"Na0710411_fmt","Na0710411_fmt","Na0710411_fmt_WNC","Na0710411_fmt_WNC","westside","westside",NA,"C","Washington","Washington","Non-forest","Forest",29.8606994044417,947.038985839867,1,1955
2017,0,1,"Na0710411_fmt","Na0710411_fmt","Na0710411_fmt_WNC","Na0710411_fmt_WNC","westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",104.002411347831,9562.85718097897,1,3466
2017,0,1,"Na0710412_fmc","Na0710412_fmc","Na0710412_fmc_OEC","Na0710412_fmc_OEC","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",19.6549898106255,416.074675969363,1,4789
2017,0,1,"Na0710412_fmc","Na0710412_fmc","Na0710412_fmc_OSW","Na0710412_fmc_OSW","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",38.6471992218221,1135.89199335013,1,4789
2017,0,1,"Na0710412_fmc","Na0710412_fmc","Na0710412_fmc_OWC","Na0710412_fmc_OWC","westside","westside",NA,"A","Oregon","Oregon","Non-forest","Forest",14.1796804008394,211.478258721973,1,4789
2017,0,1,"Na0710412_fmc","Na0710412_fmc","Na0710412_fmc_OWC","Na0710412_fmc_OWC","westside","westside",NA,"B","Oregon","Oregon","Non-forest","Forest",12.5924256775123,138.435109950882,1,4789
2017,0,1,"Na0710412_fmc","Na0710412_fmc","Na0710412_fmc_OWC","Na0710412_fmc_OWC","westside","westside",NA,"E","Oregon","Oregon","Non-forest","Forest",24.5198331406447,598.1964737319,1,4789
2017,0,1,"Na0710412_fmc","Na0710412_fmc","Na0710412_fmc_WWC","Na0710412_fmc_WWC","westside","westside",NA,"A","Washington","Washington","Non-forest","Forest",111.201633369496,14022.9034350859,1,185
2017,0,1,"Na0710412_fmc","Na0710412_fmc","Na0710412_fmc_WWC","Na0710412_fmc_WWC","westside","westside",NA,"C","Washington","Washington","Non-forest","Forest",718.586964703952,152539.900500397,3,5421
