"YEAR","STATE","ew","BpS_Code","sclass","PERC_CHNG","AREA_CHNG","PREV_AREA","PERC_CHNG_VAR","AREA_CHNG_VAR","PREV_AREA_VAR","nPlots_AREA","N"
2017,"Oregon","eastside","Na0210290_fwo","A",-10.062671132441,-1119.4914256273,11125.1914217705,78.0933450016891,976417.241354843,97384246.6754133,2,5128
2017,"Oregon","eastside","Na0210290_fwo","B",0.731030857323593,915.209083310614,125194.316237392,0.0395684313118866,1529974.08146686,1138037905.12637,14,5128
2017,"Oregon","eastside","Na0210290_fwo","E",0,0,33610.9796203075,0,0,325377999.954897,3,5128
2017,"Oregon","eastside","Na0710270_fdd","A",-5.24949730804911,-7175.18698062354,136683.315745714,1.57120940554948,8223692.45839257,1093217174.2517,41,9917
2017,"Oregon","eastside","Na0710270_fdd","B",0.692070670926424,5594.51487617723,808373.351335387,0.00506566218411277,16284346.7288758,6684310779.71179,118,9917
2017,"Oregon","eastside","Na0710270_fdd","C",18.2181507889822,303.977513159289,1668.54208574849,174.347539172342,140385.570047682,1446248.87109113,4,9917
2017,"Oregon","eastside","Na0710270_fdd","E",0.184067046601454,1203.07681355013,653607.930242428,0.000406898188488558,5194225.61935391,4711061578.57571,105,10139
2017,"Oregon","eastside","Na0710412_fmc","A",-7.50814055916004,-246.084674433396,3277.571490496,40.8193224268931,76219.912101963,7977621.8938811,3,4789
2017,"Oregon","eastside","Na0710412_fmc","B",10.4198061261375,269.904913643551,2590.30648340482,123.817756413142,229016.839604647,7505666.65047016,3,4789
2017,"Oregon","eastside","Na0710412_fmc","C",Inf,259.030648340482,0,NA,75056.6665047016,0,1,4789
2017,"Oregon","eastside","Na0710412_fmc","E",-0.934879137327977,-225.531340280841,24124.1173618916,0.0960596995679414,79413.7419384188,65319877.4455574,9,4789
2017,"Oregon","eastside","Na0710412_fmh","A",0.190802326231581,113.614991061183,59545.9150342257,0.00637413185026147,3231840.92688143,336445085.442278,33,10139
2017,"Oregon","eastside","Na0710412_fmh","B",-0.327222001277353,-944.482996361123,288636.7642378,0.00179604192215218,5802380.44964192,1512262815.31466,83,10139
2017,"Oregon","eastside","Na0710412_fmh","C",1.87857378039308,51.0237154392652,2716.08791583309,2.52365851785641,105979.237708005,4744586.92467578,4,5011
2017,"Oregon","eastside","Na0710412_fmh","D",14.4394759568456,948.736223940407,6570.4339047749,74.9568207484678,1511251.99816941,15417243.8756578,6,10139
2017,"Oregon","eastside","Na0710412_fmh","E",-0.0858603036344737,-383.887126231153,447106.648801808,9.66404727923748e-05,4501864.51196328,2717814894.76939,98,10139
2017,"Oregon","eastside","Na0710412_fmi","A",Inf,167.515847377367,0,NA,31556.9427720817,0,1,4789
2017,"Oregon","eastside","Na0710412_fmi","B",0,0,8993.66322095255,0,0,79436405.6210263,2,9917
2017,"Oregon","eastside","Na0710412_fmi","E",-0.733696707250457,-167.701690625369,22857.0864456833,0.176646660845035,31556.9767035598,172714942.190785,5,5011
2017,"Oregon","eastside","R1RFWF_fcw","A",-7.21016265015173,-998.774672570945,13852.3181935421,8.37307679866771,263490.30574259,31604642.252654,12,9917
2017,"Oregon","eastside","R1RFWF_fcw","B",0.858578490530559,354.898289229963,41335.5672363342,0.0549953313326281,496686.581869003,121870544.376724,21,9917
2017,"Oregon","eastside","R1RFWF_fcw","C",-7.26344064971784,-110.638068330996,1523.21845343768,57.707464916049,27799.0469875826,2609200.84220906,2,4789
2017,"Oregon","eastside","R1RFWF_fcw","D",-0.763420371531248,-7.71251210865572,1010.25757187828,0.540996886837384,56.3363369283316,966631.883049003,1,4789
2017,"Oregon","eastside","R1RFWF_fcw","E",0.61739238971679,844.414822710583,136771.174503452,0.00987779309020565,202037.448926538,483489882.222447,51,10139
2017,"Oregon","eastside","RaABAMlw_fsi","A",-9.60207894401906,-441.590245456702,4598.90246717623,49.0093401645687,116143.099527709,11481343.1861905,4,4789
2017,"Oregon","eastside","RaABAMlw_fsi","B",1.66831060649234,921.724254236599,55248.9596751139,0.368934205276193,334521.92952497,403921453.752541,17,10139
2017,"Oregon","eastside","RaABAMlw_fsi","D",0,0,1192.14983893608,0,0,1598250.37137656,1,4789
2017,"Oregon","eastside","RaABAMlw_fsi","E",-1.13372275047122,-540.744370282966,47696.3499284294,0.140894928956506,201825.182947077,252630953.759229,15,10139
2017,"Oregon","eastside","RaABAMlw_fsw","A",0,0,1122.69385242662,0,0,1325731.36248377,1,4789
2017,"Oregon","eastside","RaABAMlw_fsw","B",0.489258646536142,18.5583300977311,3793.15321847055,0.12816292752148,370.939795449825,7881624.14327686,2,4789
2017,"Oregon","eastside","RaABAMlw_fsw","E",0,0,2656.07970413858,0,0,7598149.67073344,1,4789
2017,"Oregon","eastside","RaABAMlw_fwc","A",10.8333333333333,0.35313380308604,3.25969664387114,120.983861775511,0.131163025073081,11.1760210713158,1,4789
2017,"Oregon","eastside","RaABAMlw_fwc","B",-0.013015618742491,-0.35313380308604,2713.15417324874,0.000174635635005434,0.131163025073081,7742510.21820486,1,4789
2017,"Oregon","eastside","RaDFHEdy_fwi","A",-5.44364587243582,-5463.40997926801,100363.067460583,2.09970418341023,6062501.06960945,732509841.557427,24,9917
2017,"Oregon","eastside","RaDFHEdy_fwi","B",1.85050381357566,2275.7322860185,122979.064907798,0.190027372489554,9299628.82888211,795679460.767104,42,9917
2017,"Oregon","eastside","RaDFHEdy_fwi","C",286.666229824857,586.90999139405,204.736355500483,82215.2017057257,374224.554265761,41902.4040150268,2,9917
2017,"Oregon","eastside","RaDFHEdy_fwi","D",Inf,12.8896841155849,0,NA,174.825435413027,0,1,4789
2017,"Oregon","eastside","RaDFHEdy_fwi","E",0.92399614398075,2283.16709191561,247097.036799233,0.0175625494700705,4137027.73156882,1225465255.90486,81,9917
2017,"Oregon","eastside","RaDFHEdy_fwx","A",38.3196331394933,65.5429911989206,171.042846261934,1476.18019929171,7208.61272514669,29245.4853578897,2,4789
2017,"Oregon","eastside","RaDFHEdy_fwx","B",1.27863549364884,57.1692462264306,4471.11366064828,0.903228171191004,130708.086436272,10163649.1123435,3,4789
2017,"Oregon","eastside","RaDFHEdy_fwx","C",-9.9009900990099,-276.628499351176,2793.94784344688,100.480495720534,80029.1066463838,8163769.16899761,1,4789
2017,"Oregon","eastside","RaDFHEdy_fwx","E",0.0331260583695362,23.4537037651913,70801.3718491788,9.71982568486186e-05,82552.5320835371,338884904.288908,22,5011
2017,"Oregon","eastside","RaDFHEwt_fdm","B",-2.34354045267381,-52.8716586003652,2256.05914077748,6.05338676925309,3143.61240794137,5723795.19087101,1,4789
2017,"Oregon","eastside","RaDFHEwt_fhc","A",9.85372277488061,919.63406888491,9332.85916292741,100.31882717479,803806.585063787,89985231.5964174,2,5128
2017,"Oregon","eastside","RaDFHEwt_fhc","B",0,0,7767.28879080215,0,0,68550058.1535544,1,5128
2017,"Oregon","eastside","RaDFHEwt_fhc","E",-4.77918939669831,-949.082125549469,19858.6422669321,10.0337088990991,804542.032545413,176808548.552995,2,5128
2017,"Oregon","eastside","RaDFHEwt_fwm","A",0.705776412131797,355.181900016766,50324.9887515991,0.0981851913608544,5653919.23028111,401498638.322311,17,9917
2017,"Oregon","eastside","RaDFHEwt_fwm","B",-0.303602699606966,-233.840013190525,77021.7173606315,0.0071611471390232,4948504.37696336,599121597.847508,18,9917
2017,"Oregon","eastside","RaDFHEwt_fwm","C",-9.66735748577278,-1095.54123267673,11332.3753082372,45.1867922038969,649393.746965696,63410464.5285683,3,9917
2017,"Oregon","eastside","RaDFHEwt_fwm","D",0,0,173.639738089555,0,0,34258.4071385647,1,5128
2017,"Oregon","eastside","RaDFHEwt_fwm","E",-0.0193913154038939,-26.2097432387449,135162.27596134,9.19743728392706e-05,1809821.35631354,939704798.64619,32,9917
2017,"Oregon","eastside","RaDFHEwt_fwn","A",-1.11320731268681,-792.374502610866,71179.4194648625,0.132867400847658,11671465.9966982,646870370.125743,18,5128
2017,"Oregon","eastside","RaDFHEwt_fwn","B",2.24139875041381,1737.96259602239,77539.1971509544,0.593543207118434,10582328.0010194,673042962.788758,15,5128
2017,"Oregon","eastside","RaDFHEwt_fwn","C",0,0,774.68966743279,0,0,600520.529119969,1,5128
2017,"Oregon","eastside","RaDFHEwt_fwn","E",-1.10169469167965,-757.876292978056,68791.8620922641,0.154077820979686,3400399.47677159,637268140.035158,10,5128
2017,"Oregon","eastside","RaDFHEwt_fww","E",0.541578640091283,54.1276867644737,9994.4279108479,0.183890266170411,3119.71144307712,64164004.389331,2,9917
2017,"Oregon","eastside","RaDFWV_fwx","A",0,0,1071.47997009904,0,0,1291074.30812881,1,4789
2017,"Oregon","eastside","RaDFWV_fwx","E",-7.03244976090657,-317.451371938224,4514.09370462819,28.8292473883029,108929.99503155,12164392.532838,2,9917
2017,"Oregon","eastside","RaMCONdy_fdd","A",6.72552148979029,6151.08124808308,91458.7999967105,2.38807129689086,8968955.55664316,435046435.222451,75,10139
2017,"Oregon","eastside","RaMCONdy_fdd","B",-0.542393563748685,-7634.25817715607,1407512.67850467,0.00113034295540005,12843250.6888752,7908194887.65712,349,10139
2017,"Oregon","eastside","RaMCONdy_fdd","C",-2.22201125444309,-778.792212110891,35048.9769371616,0.491738971788207,2232865.2951226,131890937.609328,29,10139
2017,"Oregon","eastside","RaMCONdy_fdd","E",3.60314632011496,3257.15607920787,90397.5523010108,0.616298716459713,3427606.4705241,383273325.532908,46,10139
2017,"Oregon","eastside","RaMCONdy_fdg","A",-0.0219618485199956,-24.2644654198832,110484.622447838,0.000216944571133389,3316328.88356253,565008158.36385,78,10139
2017,"Oregon","eastside","RaMCONdy_fdg","B",-0.65394639787118,-4711.1916469763,720424.74158629,0.00194869114211953,5845623.6849435,2448565960.12638,272,10139
2017,"Oregon","eastside","RaMCONdy_fdg","C",6.31900636327162,718.616926527609,11372.3089551622,8.41494031827925,605115.400678318,26641087.7567569,19,9917
2017,"Oregon","eastside","RaMCONdy_fdg","E",3.53994331594176,4831.22155631054,136477.370543015,0.324798158506652,1923945.74675303,480330788.500171,73,5011
2017,"Oregon","eastside","RaMCONdy_fdx","E",0,0,2656.07970413858,0,0,7598149.67073344,1,4789
2017,"Oregon","eastside","RaMCONdy_fmd","A",-2.9152681562366,-2344.59476654428,80424.669049004,0.633923416279485,5178350.37320963,505500342.176976,43,9917
2017,"Oregon","eastside","RaMCONdy_fmd","B",-0.455784902178132,-2542.45028966374,557818.014048673,0.00218535664237629,10168683.9786871,3504130876.50469,145,9917
2017,"Oregon","eastside","RaMCONdy_fmd","C",-7.09270393982864,-1252.22949657377,17655.1778728836,17.1860317279006,1141521.64551758,109485829.952952,9,9917
