"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","ew1","ew2","sclass1","sclass2","STATE1","STATE2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2017,0,1,"eastside","eastside",NA,"A","Oregon","Oregon","Non-forest","Forest",13252.8400279796,8183129.72080393,96,10139
2017,0,1,"eastside","eastside",NA,"A","Washington","Washington","Non-forest","Forest",6328.13606058457,3339557.10420739,35,5606
2017,0,1,"eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",35330.240361447,18228514.25637,291,10139
2017,0,1,"eastside","eastside",NA,"B","Washington","Washington","Non-forest","Forest",11215.6804735577,3636398.1988413,118,5606
2017,0,1,"eastside","eastside",NA,"C","Oregon","Oregon","Non-forest","Forest",1629.92048500688,768889.481776817,22,10139
2017,0,1,"eastside","eastside",NA,"C","Washington","Washington","Non-forest","Forest",280.660565464836,42422.8000620792,7,1955
2017,0,1,"eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",7756.10070749351,1767972.74790498,142,10139
2017,0,1,"eastside","eastside",NA,"E","Washington","Washington","Non-forest","Forest",1435.74533780552,156259.360775102,25,5421
2017,0,1,"westside","westside",NA,"A","Oregon","Oregon","Non-forest","Forest",5230.98476775943,2100201.72808198,40,10139
2017,0,1,"westside","westside",NA,"A","Washington","Washington","Non-forest","Forest",7287.01792760539,5818370.88644992,47,5606
2017,0,1,"westside","westside",NA,"B","Oregon","Oregon","Non-forest","Forest",10843.1142784564,4864358.70205378,111,10139
2017,0,1,"westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",11618.7291870116,4182605.68786777,103,5606
2017,0,1,"westside","westside",NA,"C","Oregon","Oregon","Non-forest","Forest",554.059243862739,111622.545902035,6,9917
2017,0,1,"westside","westside",NA,"C","Washington","Washington","Non-forest","Forest",1281.62677764835,252316.859945139,12,5421
2017,0,1,"westside","westside",NA,"E","Oregon","Oregon","Non-forest","Forest",5386.34611926015,1578802.97523858,87,10139
2017,0,1,"westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",4426.20142805471,907173.785360734,59,5606
2017,1,0,"eastside","eastside","A",NA,"Oregon","Oregon","Forest","Non-forest",27268.4933079144,18222561.9805345,104,10139
2017,1,0,"eastside","eastside","A",NA,"Washington","Washington","Forest","Non-forest",2563.01676327448,740648.45072923,21,5606
2017,1,0,"eastside","eastside","B",NA,"Oregon","Oregon","Forest","Non-forest",59887.2933775269,40157872.9233395,261,10139
2017,1,0,"eastside","eastside","B",NA,"Washington","Washington","Forest","Non-forest",14428.9646215531,5904406.44178225,131,5606
2017,1,0,"eastside","eastside","C",NA,"Oregon","Oregon","Forest","Non-forest",3994.61973616284,2006691.42764384,24,10139
2017,1,0,"eastside","eastside","C",NA,"Washington","Washington","Forest","Non-forest",1724.15033113333,460965.880639085,14,5606
2017,1,0,"eastside","eastside","D",NA,"Oregon","Oregon","Forest","Non-forest",22.0955796442187,324.007496246899,1,5128
2017,1,0,"eastside","eastside","D",NA,"Washington","Washington","Forest","Non-forest",99.767403257038,13190.0884603182,1,185
2017,1,0,"eastside","eastside","E",NA,"Oregon","Oregon","Forest","Non-forest",8634.55140305704,3292342.85626983,115,10139
2017,1,0,"eastside","eastside","E",NA,"Washington","Washington","Forest","Non-forest",4537.14333777147,2084050.10489872,30,5606
2017,1,0,"westside","westside","A",NA,"Oregon","Oregon","Forest","Non-forest",3351.61886914331,516360.461863743,40,9917
2017,1,0,"westside","westside","A",NA,"Washington","Washington","Forest","Non-forest",9977.07467376755,6388700.89601054,54,5606
2017,1,0,"westside","westside","B",NA,"Oregon","Oregon","Forest","Non-forest",8773.18423735946,2433703.03286446,104,10139
2017,1,0,"westside","westside","B",NA,"Washington","Washington","Forest","Non-forest",17673.4942075446,10858633.7027139,90,5606
2017,1,0,"westside","westside","C",NA,"Oregon","Oregon","Forest","Non-forest",922.408698945832,255590.009136717,5,9917
2017,1,0,"westside","westside","C",NA,"Washington","Washington","Forest","Non-forest",1369.47253072382,664429.052604503,7,3466
2017,1,0,"westside","westside","D",NA,"Oregon","Oregon","Forest","Non-forest",8.31380050249498,74.4431661002554,1,4789
2017,1,0,"westside","westside","E",NA,"Oregon","Oregon","Forest","Non-forest",6802.9843206863,1782873.40167925,89,10139
2017,1,0,"westside","westside","E",NA,"Washington","Washington","Forest","Non-forest",11377.616083744,4236899.02452264,86,5606
2017,1,1,"eastside","eastside","A","B","Oregon","Oregon","Forest","Forest",99590.0162217239,61011221.1530773,306,10139
2017,1,1,"eastside","eastside","A","B","Washington","Washington","Forest","Forest",24785.2975436059,16762843.4522118,84,5421
2017,1,1,"eastside","eastside","A","C","Oregon","Oregon","Forest","Forest",1560.00649296078,301662.695185189,16,10139
2017,1,1,"eastside","eastside","A","C","Washington","Washington","Forest","Forest",4811.65585196537,4982394.96897973,11,5606
2017,1,1,"eastside","eastside","A","D","Oregon","Oregon","Forest","Forest",18.0994576129988,217.387006352879,2,4789
2017,1,1,"eastside","eastside","A","D","Washington","Washington","Forest","Forest",688.222343643608,415277.856565878,2,3466
2017,1,1,"eastside","eastside","A","E","Oregon","Oregon","Forest","Forest",4840.79604895637,1991017.03476007,66,10139
2017,1,1,"eastside","eastside","A","E","Washington","Washington","Forest","Forest",701.818272265396,171362.16923067,6,5421
2017,1,1,"eastside","eastside","B","A","Oregon","Oregon","Forest","Forest",73883.1811273051,39788940.367455,275,10139
2017,1,1,"eastside","eastside","B","A","Washington","Washington","Forest","Forest",43762.082983427,34982204.2994625,133,5606
2017,1,1,"eastside","eastside","B","C","Oregon","Oregon","Forest","Forest",9791.88678006597,3931778.65185089,49,10139
2017,1,1,"eastside","eastside","B","C","Washington","Washington","Forest","Forest",12908.1163675678,8058949.87873035,44,5606
2017,1,1,"eastside","eastside","B","D","Oregon","Oregon","Forest","Forest",377.523827032006,79424.1092302319,4,9917
2017,1,1,"eastside","eastside","B","E","Oregon","Oregon","Forest","Forest",106141.517547562,51808845.9263541,325,10139
2017,1,1,"eastside","eastside","B","E","Washington","Washington","Forest","Forest",57816.7312749296,47185620.8975588,100,5421
2017,1,1,"eastside","eastside","C","A","Oregon","Oregon","Forest","Forest",11175.9312707732,6529094.45658127,42,10139
2017,1,1,"eastside","eastside","C","A","Washington","Washington","Forest","Forest",2999.46397899616,1314704.72935304,15,5606
2017,1,1,"eastside","eastside","C","B","Oregon","Oregon","Forest","Forest",17614.6920508221,8448390.91575146,72,10139
2017,1,1,"eastside","eastside","C","B","Washington","Washington","Forest","Forest",10215.2162521259,8852879.47786126,29,5606
2017,1,1,"eastside","eastside","C","D","Washington","Washington","Forest","Forest",1037.17311254674,1043180.16233375,4,5606
2017,1,1,"eastside","eastside","C","E","Oregon","Oregon","Forest","Forest",4626.58220220672,2414927.89275605,19,10139
2017,1,1,"eastside","eastside","C","E","Washington","Washington","Forest","Forest",5729.65186794274,5609007.68693382,18,5606
2017,1,1,"eastside","eastside","D","A","Oregon","Oregon","Forest","Forest",901.610127382343,539488.041711094,1,5128
2017,1,1,"eastside","eastside","D","B","Oregon","Oregon","Forest","Forest",762.305888216931,212792.033603126,3,4789
2017,1,1,"eastside","eastside","D","C","Oregon","Oregon","Forest","Forest",273.634844365009,44095.6604245257,2,4789
2017,1,1,"eastside","eastside","D","C","Washington","Washington","Forest","Forest",41.4218890310074,1934.02744055926,1,1955
2017,1,1,"eastside","eastside","D","E","Oregon","Oregon","Forest","Forest",1021.63420397768,266243.268152659,6,9917
2017,1,1,"eastside","eastside","E","A","Oregon","Oregon","Forest","Forest",15189.5906395496,8554753.9912989,89,10139
2017,1,1,"eastside","eastside","E","A","Washington","Washington","Forest","Forest",5834.30309903054,4963738.23421538,24,5421
2017,1,1,"eastside","eastside","E","B","Oregon","Oregon","Forest","Forest",58607.3172382481,27252646.6308278,213,10139
2017,1,1,"eastside","eastside","E","B","Washington","Washington","Forest","Forest",36336.8982882178,27084712.5889826,74,5606
2017,1,1,"eastside","eastside","E","C","Oregon","Oregon","Forest","Forest",7419.64390570265,3906332.02537024,28,10139
2017,1,1,"eastside","eastside","E","C","Washington","Washington","Forest","Forest",5465.814896327,3686320.41810797,21,5606
2017,1,1,"eastside","eastside","E","D","Oregon","Oregon","Forest","Forest",1781.53063309589,1548604.78690125,7,5011
2017,1,1,"eastside","eastside","E","D","Washington","Washington","Forest","Forest",86.6992334337444,5108.17274306496,2,1955
2017,1,1,"westside","westside","A","B","Oregon","Oregon","Forest","Forest",76668.8258992772,54288733.2139902,148,9917
2017,1,1,"westside","westside","A","B","Washington","Washington","Forest","Forest",99768.8151808066,75459653.1176907,167,5421
2017,1,1,"westside","westside","A","C","Oregon","Oregon","Forest","Forest",1851.39280771062,837262.558582252,10,9917
2017,1,1,"westside","westside","A","C","Washington","Washington","Forest","Forest",2524.65915806023,781334.297881077,11,5421
2017,1,1,"westside","westside","A","D","Washington","Washington","Forest","Forest",145.60476482924,12121.3871559136,3,3466
2017,1,1,"westside","westside","A","E","Oregon","Oregon","Forest","Forest",1390.88846692742,485734.340231792,23,9917
2017,1,1,"westside","westside","A","E","Washington","Washington","Forest","Forest",604.05933775234,65953.5819935017,9,5421
2017,1,1,"westside","westside","B","A","Oregon","Oregon","Forest","Forest",34095.3147150994,24667791.6483183,80,9917
2017,1,1,"westside","westside","B","A","Washington","Washington","Forest","Forest",44418.1125161754,35424546.8486702,86,5421
2017,1,1,"westside","westside","B","C","Oregon","Oregon","Forest","Forest",4942.17265468344,2794744.01046749,18,10139
2017,1,1,"westside","westside","B","C","Washington","Washington","Forest","Forest",7515.50760031513,6690244.53578231,20,5606
2017,1,1,"westside","westside","B","D","Oregon","Oregon","Forest","Forest",50.6791965616258,2651.00743666884,1,4789
2017,1,1,"westside","westside","B","D","Washington","Washington","Forest","Forest",836.422286355056,239085.23323244,3,3466
2017,1,1,"westside","westside","B","E","Oregon","Oregon","Forest","Forest",81386.6467607119,57309896.4742424,155,10139
2017,1,1,"westside","westside","B","E","Washington","Washington","Forest","Forest",70330.3013160175,56683803.7647673,121,5606
2017,1,1,"westside","westside","C","A","Oregon","Oregon","Forest","Forest",3329.43037928343,2164487.55108745,12,9917
2017,1,1,"westside","westside","C","A","Washington","Washington","Forest","Forest",5630.56333997688,4217351.91003517,15,5606
2017,1,1,"westside","westside","C","B","Oregon","Oregon","Forest","Forest",4394.23541468332,1862900.18900612,26,10139
2017,1,1,"westside","westside","C","B","Washington","Washington","Forest","Forest",6471.7172239312,3594088.19509525,24,5606
2017,1,1,"westside","westside","C","E","Oregon","Oregon","Forest","Forest",930.43663024127,707492.394668604,7,9917
2017,1,1,"westside","westside","C","E","Washington","Washington","Forest","Forest",520.530462007523,62838.3120418807,6,5421
2017,1,1,"westside","westside","D","B","Washington","Washington","Forest","Forest",1299.92361316227,1054650.80016701,3,3466
2017,1,1,"westside","westside","D","C","Washington","Washington","Forest","Forest",215.425284987739,34297.1972303137,2,1955
2017,1,1,"westside","westside","D","E","Oregon","Oregon","Forest","Forest",131.032977455132,9343.7291999672,2,4789
2017,1,1,"westside","westside","D","E","Washington","Washington","Forest","Forest",256.073884799426,42521.5402463112,2,1955
2017,1,1,"westside","westside","E","A","Oregon","Oregon","Forest","Forest",35234.0365556253,27813234.2804651,81,9917
2017,1,1,"westside","westside","E","A","Washington","Washington","Forest","Forest",35775.2147795943,30483316.6531224,65,5606
2017,1,1,"westside","westside","E","B","Oregon","Oregon","Forest","Forest",31782.9218427222,23647302.806926,82,10139
2017,1,1,"westside","westside","E","B","Washington","Washington","Forest","Forest",23971.9342745742,18693163.1837262,50,5606
2017,1,1,"westside","westside","E","C","Oregon","Oregon","Forest","Forest",3767.57732725268,3033881.4885659,6,9917
2017,1,1,"westside","westside","E","C","Washington","Washington","Forest","Forest",5312.09082344704,3446022.90166837,13,5421
2017,1,1,"westside","westside","E","D","Oregon","Oregon","Forest","Forest",555.04352240722,172075.587283353,2,9917
2017,1,1,"westside","westside","E","D","Washington","Washington","Forest","Forest",361.140443388384,80187.8990574771,2,3466
2018,0,1,"eastside","eastside",NA,"A","Oregon","Oregon","Non-forest","Forest",11916.1830473301,6191504.4924885,106,11598
2018,0,1,"eastside","eastside",NA,"A","Washington","Washington","Non-forest","Forest",6257.65788560555,2913432.38112323,37,6527
2018,0,1,"eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",35762.2711638919,16855644.6269065,326,11598
2018,0,1,"eastside","eastside",NA,"B","Washington","Washington","Non-forest","Forest",10718.9759393345,3009903.71671848,130,6527
2018,0,1,"eastside","eastside",NA,"C","Oregon","Oregon","Non-forest","Forest",2099.0238161835,769973.350723314,27,11598
2018,0,1,"eastside","eastside",NA,"C","Washington","Washington","Non-forest","Forest",1208.08689972578,644748.849805893,11,2496
2018,0,1,"eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",7528.48152906104,1434464.03875116,162,11598
2018,0,1,"eastside","eastside",NA,"E","Washington","Washington","Non-forest","Forest",1381.7144852084,124074.778840407,30,6527
2018,0,1,"westside","westside",NA,"A","Oregon","Oregon","Non-forest","Forest",5059.00936855426,1737416.70027555,45,11598
