"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","sclass1","sclass2","STATE1","STATE2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2017,0,1,NA,"A","Oregon","Oregon","Non-forest","Forest",18483.824795739,10276476.6430996,136,10139
2017,0,1,NA,"A","Washington","Washington","Non-forest","Forest",13615.15398819,9121183.45642607,82,5606
2017,0,1,NA,"B","Oregon","Oregon","Non-forest","Forest",46173.3546399034,23037249.7077456,402,10139
2017,0,1,NA,"B","Washington","Washington","Non-forest","Forest",22834.4096605694,7752730.36858058,221,5606
2017,0,1,NA,"C","Oregon","Oregon","Non-forest","Forest",2183.97972886961,880512.027678852,28,10139
2017,0,1,NA,"C","Washington","Washington","Non-forest","Forest",1562.28734311319,294739.660007218,19,5421
2017,0,1,NA,"E","Oregon","Oregon","Non-forest","Forest",13142.4468267537,3337010.22889181,229,10139
2017,0,1,NA,"E","Washington","Washington","Non-forest","Forest",5861.94676586023,1062725.9668366,84,5606
2017,1,0,"A",NA,"Oregon","Oregon","Forest","Non-forest",30620.1121770577,18727734.6966697,144,10139
2017,1,0,"A",NA,"Washington","Washington","Forest","Non-forest",12540.091437042,7128476.27939595,75,5606
2017,1,0,"B",NA,"Oregon","Oregon","Forest","Non-forest",68660.4776148864,42523205.8662026,365,10139
2017,1,0,"B",NA,"Washington","Washington","Forest","Non-forest",32102.4588290977,16564783.5737028,221,5606
2017,1,0,"C",NA,"Oregon","Oregon","Forest","Non-forest",4917.02843510867,2262281.43678055,29,10139
2017,1,0,"C",NA,"Washington","Washington","Forest","Non-forest",3093.62286185714,1125394.93324359,21,5606
2017,1,0,"D",NA,"Oregon","Oregon","Forest","Non-forest",30.4093801467137,398.450662347155,2,9917
2017,1,0,"D",NA,"Washington","Washington","Forest","Non-forest",99.767403257038,13190.0884603182,1,185
2017,1,0,"E",NA,"Oregon","Oregon","Forest","Non-forest",15437.5357237433,5073269.56927178,204,10139
2017,1,0,"E",NA,"Washington","Washington","Forest","Non-forest",15914.7594215155,6307606.26794372,116,5606
2017,1,1,"A","B","Oregon","Oregon","Forest","Forest",176258.842121001,110551544.402715,454,10139
2017,1,1,"A","B","Washington","Washington","Forest","Forest",124554.112724413,91680416.5743489,251,5421
2017,1,1,"A","C","Oregon","Oregon","Forest","Forest",3411.3993006714,1138925.25376744,26,10139
2017,1,1,"A","C","Washington","Washington","Forest","Forest",7336.31501002561,5763729.26686081,22,5606
2017,1,1,"A","D","Oregon","Oregon","Forest","Forest",18.0994576129988,217.387006352879,2,4789
2017,1,1,"A","D","Washington","Washington","Forest","Forest",833.827108472848,427399.243721792,5,3466
2017,1,1,"A","E","Oregon","Oregon","Forest","Forest",6231.68451588379,2476544.44477515,89,10139
2017,1,1,"A","E","Washington","Washington","Forest","Forest",1305.87761001773,237315.751224171,15,5421
2017,1,1,"B","A","Oregon","Oregon","Forest","Forest",107978.495842404,62682842.9154865,355,10139
2017,1,1,"B","A","Washington","Washington","Forest","Forest",88180.1954996024,67946707.905746,219,5606
2017,1,1,"B","C","Oregon","Oregon","Forest","Forest",14734.0594347494,6726522.66231838,67,10139
2017,1,1,"B","C","Washington","Washington","Forest","Forest",20423.6239678829,14649367.6676463,64,5606
2017,1,1,"B","D","Oregon","Oregon","Forest","Forest",428.203023593632,82075.1166669007,5,9917
2017,1,1,"B","D","Washington","Washington","Forest","Forest",836.422286355056,239085.23323244,3,3466
2017,1,1,"B","E","Oregon","Oregon","Forest","Forest",187528.164308274,105035986.553749,480,10139
2017,1,1,"B","E","Washington","Washington","Forest","Forest",128147.032590947,101075002.713514,221,5606
2017,1,1,"C","A","Oregon","Oregon","Forest","Forest",14505.3616500566,8693582.00766872,54,10139
2017,1,1,"C","A","Washington","Washington","Forest","Forest",8630.02731897304,5527284.34784806,30,5606
2017,1,1,"C","B","Oregon","Oregon","Forest","Forest",22008.9274655054,10310237.0342113,98,10139
2017,1,1,"C","B","Washington","Washington","Forest","Forest",16686.9334760571,12444514.0865826,53,5606
2017,1,1,"C","D","Washington","Washington","Forest","Forest",1037.17311254674,1043180.16233375,4,5606
2017,1,1,"C","E","Oregon","Oregon","Forest","Forest",5557.01883244799,3122420.28742465,26,10139
2017,1,1,"C","E","Washington","Washington","Forest","Forest",6250.18232995026,5671845.9989757,24,5606
2017,1,1,"D","A","Oregon","Oregon","Forest","Forest",901.610127382343,539488.041711094,1,5128
2017,1,1,"D","B","Oregon","Oregon","Forest","Forest",762.305888216931,212792.033603126,3,4789
2017,1,1,"D","B","Washington","Washington","Forest","Forest",1299.92361316227,1054650.80016701,3,3466
2017,1,1,"D","C","Oregon","Oregon","Forest","Forest",273.634844365009,44095.6604245257,2,4789
2017,1,1,"D","C","Washington","Washington","Forest","Forest",256.847174018746,36231.2246708729,3,1955
2017,1,1,"D","E","Oregon","Oregon","Forest","Forest",1152.66718143281,275586.997352626,8,9917
2017,1,1,"D","E","Washington","Washington","Forest","Forest",256.073884799426,42521.5402463112,2,1955
2017,1,1,"E","A","Oregon","Oregon","Forest","Forest",50423.627195175,35770940.9822901,170,10139
2017,1,1,"E","A","Washington","Washington","Forest","Forest",41609.5178786248,34980416.5163428,89,5606
2017,1,1,"E","B","Oregon","Oregon","Forest","Forest",90390.2390809703,50180747.001682,295,10139
2017,1,1,"E","B","Washington","Washington","Forest","Forest",60308.832562792,45457589.3728937,124,5606
2017,1,1,"E","C","Oregon","Oregon","Forest","Forest",11187.2212329553,6890563.45919565,34,10139
2017,1,1,"E","C","Washington","Washington","Forest","Forest",10777.905719774,7106230.69095225,34,5606
2017,1,1,"E","D","Oregon","Oregon","Forest","Forest",2336.57415550311,1720680.3741846,9,10139
2017,1,1,"E","D","Washington","Washington","Forest","Forest",447.839676822129,85296.071800542,4,5421
2018,0,1,NA,"A","Oregon","Oregon","Non-forest","Forest",16975.1924158844,7924507.25830745,151,11598
2018,0,1,NA,"A","Washington","Washington","Non-forest","Forest",14103.864859866,7463401.51459137,93,6527
2018,0,1,NA,"B","Oregon","Oregon","Non-forest","Forest",46149.4838540839,20751465.3288659,449,11598
2018,0,1,NA,"B","Washington","Washington","Non-forest","Forest",21483.135223892,6084978.77122591,254,6527
2018,0,1,NA,"C","Oregon","Oregon","Non-forest","Forest",2569.1080528013,851409.583370896,33,11598
2018,0,1,NA,"C","Washington","Washington","Non-forest","Forest",2385.07574006214,837525.73213228,27,6527
2018,0,1,NA,"E","Oregon","Oregon","Non-forest","Forest",12569.4525260047,2660999.72648716,254,11598
2018,0,1,NA,"E","Washington","Washington","Non-forest","Forest",6084.70928005773,924721.011260379,101,6527
2018,1,0,"A",NA,"Oregon","Oregon","Forest","Non-forest",29551.8441181726,15534583.9269229,164,11598
2018,1,0,"A",NA,"Washington","Washington","Forest","Non-forest",13182.6817759662,6141202.11017776,91,6527
2018,1,0,"B",NA,"Oregon","Oregon","Forest","Non-forest",67400.5935759848,35143664.2933186,416,11598
2018,1,0,"B",NA,"Washington","Washington","Forest","Non-forest",33207.7453349598,14597348.2688677,258,6527
2018,1,0,"C",NA,"Oregon","Oregon","Forest","Non-forest",4380.77998373378,1726991.27858538,33,11598
2018,1,0,"C",NA,"Washington","Washington","Forest","Non-forest",2907.79447682706,775385.899339076,29,6527
2018,1,0,"D",NA,"Oregon","Oregon","Forest","Non-forest",38.9952489036264,475.379487316376,3,11339
2018,1,0,"D",NA,"Washington","Washington","Forest","Non-forest",80.3286934401571,8530.76233647456,1,219
2018,1,0,"E",NA,"Oregon","Oregon","Forest","Non-forest",16642.8401596466,5035740.90336323,235,11598
2018,1,0,"E",NA,"Washington","Washington","Forest","Non-forest",15479.5404551547,5045516.05767367,134,6527
2018,1,1,"A","B","Oregon","Oregon","Forest","Forest",172345.563095108,94916875.218334,516,11598
2018,1,1,"A","B","Washington","Washington","Forest","Forest",124846.111514249,79917985.3403084,285,6527
2018,1,1,"A","C","Oregon","Oregon","Forest","Forest",3549.30171387125,998939.115067263,30,11598
2018,1,1,"A","C","Washington","Washington","Forest","Forest",7051.32613169032,4433827.43741873,26,6527
2018,1,1,"A","D","Oregon","Oregon","Forest","Forest",803.312821211678,622089.256911079,4,5728
2018,1,1,"A","D","Washington","Washington","Forest","Forest",988.260535994568,377606.053073002,6,4031
2018,1,1,"A","E","Oregon","Oregon","Forest","Forest",5916.09623345232,2010356.75855356,98,11598
2018,1,1,"A","E","Washington","Washington","Forest","Forest",1182.75488453385,177849.033908996,20,6308
2018,1,1,"B","A","Oregon","Oregon","Forest","Forest",107525.399308946,55088730.0200104,395,11598
2018,1,1,"B","A","Washington","Washington","Forest","Forest",91462.4914344733,59933884.5294409,255,6527
2018,1,1,"B","C","Oregon","Oregon","Forest","Forest",15569.0286515381,6730771.17179409,79,11598
2018,1,1,"B","C","Washington","Washington","Forest","Forest",22420.642597865,14836538.8426002,73,6527
2018,1,1,"B","D","Oregon","Oregon","Forest","Forest",402.813681435205,69895.8696509059,5,11339
2018,1,1,"B","D","Washington","Washington","Forest","Forest",2257.77974762215,2968327.09122905,4,4250
2018,1,1,"B","E","Oregon","Oregon","Forest","Forest",181977.169311982,86764880.8098337,555,11598
2018,1,1,"B","E","Washington","Washington","Forest","Forest",126994.023590274,85660325.8202069,255,6527
2018,1,1,"C","A","Oregon","Oregon","Forest","Forest",15250.0280360481,7963931.39149769,60,11598
2018,1,1,"C","A","Washington","Washington","Forest","Forest",7719.26754668757,4164891.7296986,31,6527
2018,1,1,"C","B","Oregon","Oregon","Forest","Forest",25713.9410993571,11556129.5021287,118,11598
2018,1,1,"C","B","Washington","Washington","Forest","Forest",15648.4246491744,9316957.31479798,61,6527
2018,1,1,"C","D","Oregon","Oregon","Forest","Forest",64.3495553345735,4389.98852325161,1,5469
2018,1,1,"C","D","Washington","Washington","Forest","Forest",1008.40885718048,799588.522619271,5,6527
2018,1,1,"C","E","Oregon","Oregon","Forest","Forest",6359.32692157774,3403827.08843569,30,11598
2018,1,1,"C","E","Washington","Washington","Forest","Forest",7378.93494726102,5531401.21123247,28,6527
2018,1,1,"D","A","Oregon","Oregon","Forest","Forest",782.714725226303,413024.71050017,1,5870
2018,1,1,"D","A","Washington","Washington","Forest","Forest",999.921702237407,883704.749507555,1,4031
2018,1,1,"D","B","Oregon","Oregon","Forest","Forest",686.338748760272,167461.677822497,3,5469
2018,1,1,"D","B","Washington","Washington","Forest","Forest",1183.14032677485,824327.707720368,3,4031
2018,1,1,"D","C","Oregon","Oregon","Forest","Forest",249.507298435204,35069.8532499956,2,5469
2018,1,1,"D","C","Washington","Washington","Forest","Forest",602.707938990912,122906.255260363,5,6308
2018,1,1,"D","E","Oregon","Oregon","Forest","Forest",1022.14279347556,213537.891531285,8,11339
2018,1,1,"D","E","Washington","Washington","Forest","Forest",295.360706129121,34519.4359240973,4,2277
2018,1,1,"E","A","Oregon","Oregon","Forest","Forest",54158.4669310158,33865176.8123019,192,11598
2018,1,1,"E","A","Washington","Washington","Forest","Forest",42141.6530607932,29744785.9426732,102,6527
2018,1,1,"E","B","Oregon","Oregon","Forest","Forest",86717.850855472,42776917.675294,321,11598
2018,1,1,"E","B","Washington","Washington","Forest","Forest",57972.5171240161,36486918.6808516,143,6527
2018,1,1,"E","C","Oregon","Oregon","Forest","Forest",11311.9635184499,6105287.61982732,43,11598
