"YEAR","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N"
2002,100,52165926.9222652,4.48576170534238e-16,452956601185.728,1568,2438
2003,100,52920039.4866807,0,428503275191.917,1549,2421
2004,100,51994843.8287311,0,394886388930.85,1563,2464
2005,100,51582373.8698803,9.17566189338882e-16,400427287367.582,1559,2450
2006,100,51372333.8838906,0,389699342591.912,1546,2449
2007,100,52108225.3916014,0,398662315992.251,1571,2470
2008,100,50783828.961761,0,392926296019.312,1529,2447
2009,100,50988391.5480576,4.69534417391289e-16,368287971078.272,1539,2435
2010,100,50533765.8105267,0,418399704863.076,1497,2409
2011,100,50639016.7531394,0,354214773680.341,1438,2347
2012,100,50366053.434514,0,425548359338.387,1564,2462
2013,100,50725860.8972361,0,397638411997.225,1563,2457
2014,100,51239649.6658377,0,383716681739.217,1578,2476
2015,100,50539053.1819337,0,367153239804.929,1562,2466
2016,100,50292494.6302199,0,389341264060.603,1547,2465
2017,100,50235856.1754232,0,337705948579.833,1578,2482
2018,100,50034747.912313,0,359341073862.824,1643,2555
2019,100,49561251.0444873,0,388318421298.438,1627,2529
