"type","REST_ACRES","YEAR","BpS_Code","AREA_STRATA","REST_PCT"
"active",26186.2575563162,2002,"Na0210290_fdw",57447.29724,0.455830975771006
"both",18486.2829102368,2002,"Na0210290_fdw",57447.29724,0.32179552038812
"active",19318.5356984071,2002,"Na0210290_fwo",216308.93843,0.0893099279143234
"both",126815.031981571,2002,"Na0210290_fwo",216308.93843,0.586268107559547
"active",21773.2431940402,2002,"Na0210350_fvg",93108.557885,0.233847926427265
"both",10802.999544691,2002,"Na0210350_fvg",93108.557885,0.116025849718712
"passive",7542.61257124645,2002,"Na0210350_fvg",93108.557885,0.0810088002926913
"active",115099.733884731,2002,"Na0710270_fdd",1403267.971,0.0820226330703668
"both",551037.467968274,2002,"Na0710270_fdd",1403267.971,0.392681568564265
"passive",250858.172497819,2002,"Na0710270_fdd",1403267.971,0.178767119097753
"passive",221727.979675212,2002,"Na0710411_fmt",503602.80254,0.440283450681553
"active",161700.929973092,2002,"Na0710412_fmc",833037.183225,0.194110098839871
"active",207803.180725254,2002,"Na0710412_fmh",1420041.44669,0.146335996889123
"active",16654.1278019217,2002,"Na0710412_fmi",107664.08824,0.154686006022705
"active",50845.6583673192,2002,"Na1010471_frn",685999.617,0.074119076902224
"both",50259.2900412447,2002,"Na1010471_frn",685999.617,0.0732643121012773
"passive",210693.870139667,2002,"Na1010471_frn",685999.617,0.307134092962134
"active",42322.2062546276,2002,"R1RFWF_fcw",149554.85523,0.282987845426619
"active",1124.68961467504,2002,"R1RFWF_frm",3802.50971,0.295775606231138
"active",150046.542194582,2002,"RaABAMlw_fsi",2302986.736655,0.0651530205564792
"both",111786.65475819,2002,"RaABAMlw_fsi",2302986.736655,0.0485398604251434
"passive",335929.917284607,2002,"RaABAMlw_fsi",2302986.736655,0.145867065553548
"active",20920.0335931996,2002,"RaABAMlw_fsw",305406.380095,0.0684990064277381
"both",11055.0075300998,2002,"RaABAMlw_fsw",305406.380095,0.0361976967431428
"passive",34526.8876328653,2002,"RaABAMlw_fsw",305406.380095,0.113052280119771
