"type","REST_ACRES","YEAR","STATE","BpS_Code","AREA_STRATA","REST_PCT"
"active",26186.2575563162,2002,"Oregon","Na0210290_fdw",57447.29724,0.455830975771006
"both",18486.2829102368,2002,"Oregon","Na0210290_fdw",57447.29724,0.32179552038812
"active",19318.5356984071,2002,"Oregon","Na0210290_fwo",216308.93843,0.0893099279143234
"both",126815.031981571,2002,"Oregon","Na0210290_fwo",216308.93843,0.586268107559547
"active",21773.2431940402,2002,"Oregon","Na0210350_fvg",93108.557885,0.233847926427265
"both",10802.999544691,2002,"Oregon","Na0210350_fvg",93108.557885,0.116025849718712
"passive",7542.61257124645,2002,"Oregon","Na0210350_fvg",93108.557885,0.0810088002926913
"active",115099.733884731,2002,"Oregon","Na0710270_fdd",1403267.971,0.0820226330703668
"both",551037.467968274,2002,"Oregon","Na0710270_fdd",1403267.971,0.392681568564265
"passive",250858.172497819,2002,"Oregon","Na0710270_fdd",1403267.971,0.178767119097753
"active",64417.9472275291,2002,"Oregon","Na0710412_fmc",296241.037355,0.217451126294612
"active",143699.8206341,2002,"Oregon","Na0710412_fmh",662575.19644,0.216880772788047
"active",9906.46950340774,2002,"Oregon","Na0710412_fmi",70280.37832,0.140956405474963
"active",42322.2062546276,2002,"Oregon","R1RFWF_fcw",149554.85523,0.282987845426619
"active",1124.68961467504,2002,"Oregon","R1RFWF_frm",3802.50971,0.295775606231138
"active",62372.7669384648,2002,"Oregon","RaABAMlw_fsi",935569.284445,0.0666682499901284
"both",35565.1039584217,2002,"Oregon","RaABAMlw_fsi",935569.284445,0.0380143988796294
"passive",123170.202029915,2002,"Oregon","RaABAMlw_fsi",935569.284445,0.131652678297345
"active",20919.4922217383,2002,"Oregon","RaABAMlw_fsw",305401.487405,0.0684983311623381
"both",11054.9437023189,2002,"Oregon","RaABAMlw_fsw",305401.487405,0.0361980676526919
"passive",34528.9948191266,2002,"Oregon","RaABAMlw_fsw",305401.487405,0.113060991000797
"active",6800.07391030455,2002,"Oregon","RaABAMlw_fwc",91820.001255,0.0740587433822787
"both",2716.08157811761,2002,"Oregon","RaABAMlw_fwc",91820.001255,0.0295805003375526
"passive",7631.3938377905,2002,"Oregon","RaABAMlw_fwc",91820.001255,0.0831125433836229
"active",1357.24502317606,2002,"Oregon","RaABAMup_fsi",49085.467635,0.0276506487270029
"passive",9333.6564779725,2002,"Oregon","RaABAMup_fsi",49085.467635,0.190151116566265
"active",134.268901454437,2002,"Oregon","RaABAMup_fst",2646.722895,0.0507302452055289
"both",12.4787189145752,2002,"Oregon","RaABAMup_fst",2646.722895,0.00471478103663558
"passive",0.239139815646467,2002,"Oregon","RaABAMup_fst",2646.722895,9.03531745231937e-05
