"type","REST_ACRES","YEAR","STATE","ew","BpS_Code","AREA_STRATA","REST_PCT"
"active",6748.66138539748,2002,"Oregon","eastside","Na0210290_fdw",9646.16073,0.699621494426154
"both",1036.108229188,2002,"Oregon","eastside","Na0210290_fdw",9646.16073,0.107411462258311
"active",19318.5356984071,2002,"Oregon","eastside","Na0210290_fwo",216308.93843,0.0893099279143234
"both",126815.031981571,2002,"Oregon","eastside","Na0210290_fwo",216308.93843,0.586268107559547
"active",223.845586385819,2002,"Oregon","eastside","Na0210350_fvg",1960.63432,0.1141699826951
"both",285.250635724337,2002,"Oregon","eastside","Na0210350_fvg",1960.63432,0.145488953658802
"passive",166.554211326465,2002,"Oregon","eastside","Na0210350_fvg",1960.63432,0.0849491461143376
"active",115099.733884731,2002,"Oregon","eastside","Na0710270_fdd",1403267.971,0.0820226330703668
"both",551037.467968274,2002,"Oregon","eastside","Na0710270_fdd",1403267.971,0.392681568564265
"passive",250858.172497819,2002,"Oregon","eastside","Na0710270_fdd",1403267.971,0.178767119097753
"active",3177.02962160926,2002,"Oregon","eastside","Na0710412_fmc",16639.371505,0.190934472534289
"both",468.622403249438,2002,"Oregon","eastside","Na0710412_fmc",16639.371505,0.0281634677793341
"active",143532.155911497,2002,"Oregon","eastside","Na0710412_fmh",661932.697285,0.216837990478809
"active",5785.40443653998,2002,"Oregon","eastside","Na0710412_fmi",48558.391485,0.119143247121914
"active",42231.7659164228,2002,"Oregon","eastside","R1RFWF_fcw",149284.8677,0.282893816145458
"active",1124.68961467504,2002,"Oregon","eastside","R1RFWF_frm",3802.50971,0.295775606231138
"active",5217.34398714856,2002,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.0386419658173831
"both",5451.52662549521,2002,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.0403764264027511
"passive",16571.1118759829,2002,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.122733011326272
"both",975.859564796725,2002,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.0443729917227571
"passive",2724.328940169,2002,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.123877071940539
"active",629.518394821594,2002,"Oregon","eastside","RaABAMlw_fwc",11407.52913,0.0551844652463836
"both",219.882683744976,2002,"Oregon","eastside","RaABAMlw_fwc",11407.52913,0.0192752243925216
"passive",1547.00810401311,2002,"Oregon","eastside","RaABAMlw_fwc",11407.52913,0.135612899724685
"both",47591.5853400253,2002,"Oregon","eastside","RaDFHEdy_fwi",491309.474125,0.0968668178540292
"passive",80609.9093700487,2002,"Oregon","eastside","RaDFHEdy_fwi",491309.474125,0.164071554926986
"active",2476.50433234667,2002,"Oregon","eastside","RaDFHEdy_fwx",110789.849965,0.0223531698357659
"both",8191.2882541367,2002,"Oregon","eastside","RaDFHEdy_fwx",110789.849965,0.0739353673348636
"passive",17381.0221624983,2002,"Oregon","eastside","RaDFHEdy_fwx",110789.849965,0.156882802603209
"active",49.4042773899006,2002,"Oregon","eastside","RaDFHEwt_fdm",18634.92184,0.00265116633244224
"passive",5733.34976350574,2002,"Oregon","eastside","RaDFHEwt_fdm",18634.92184,0.307666960598625
"passive",11775.3115367096,2002,"Oregon","eastside","RaDFHEwt_fhc",31311.659235,0.376067951185009
"passive",126379.617037205,2002,"Oregon","eastside","RaDFHEwt_fwm",306700.94139,0.412061392653181
"passive",85852.4591389687,2002,"Oregon","eastside","RaDFHEwt_fwn",176075.681375,0.487588396469828
"passive",15915.4212410131,2002,"Oregon","eastside","RaDFHEwt_fww",32217.696465,0.493996250113753
"active",12422.1147247827,2002,"Oregon","eastside","RaDFWV_fwx",38027.543445,0.32666098305164
"both",507191.129374376,2002,"Oregon","eastside","RaMCONdy_fdd",1523190.91643,0.332979355314902
"passive",114069.952226315,2002,"Oregon","eastside","RaMCONdy_fdd",1523190.91643,0.0748888080908914
"active",11707.3615088386,2002,"Oregon","eastside","RaMCONdy_fdg",1043084.14564,0.0112237939362556
"both",389325.516655749,2002,"Oregon","eastside","RaMCONdy_fdg",1043084.14564,0.373244592282507
"passive",1480.2586189814,2002,"Oregon","eastside","RaMCONdy_fdg",1043084.14564,0.00141911716822536
"active",1190.15958543638,2002,"Oregon","eastside","RaMCONdy_fdx",4451.680715,0.267350616908828
"both",1028.65727409306,2002,"Oregon","eastside","RaMCONdy_fdx",4451.680715,0.231071664826947
"active",19951.9220210487,2002,"Oregon","eastside","RaMCONdy_fmd",595788.865965,0.0334882424980072
"both",206404.456295186,2002,"Oregon","eastside","RaMCONdy_fmd",595788.865965,0.346438928429574
"both",223262.735960191,2002,"Oregon","eastside","RaMCONdy_fmx",596169.8286,0.374495194573138
"passive",4893.99417952292,2002,"Oregon","eastside","RaMCONdy_fmx",596169.8286,0.00820906048032589
"active",6390.51159683024,2002,"Oregon","eastside","RaMCONms_fcm",1811014.747825,0.00352869108576015
"both",299730.768268906,2002,"Oregon","eastside","RaMCONms_fcm",1811014.747825,0.165504322164619
"passive",145638.407521751,2002,"Oregon","eastside","RaMCONms_fcm",1811014.747825,0.0804181234286804
"active",7225.3174132659,2002,"Oregon","eastside","RaMCONms_fmm",842058.6364,0.00858053952650595
"both",103900.963856959,2002,"Oregon","eastside","RaMCONms_fmm",842058.6364,0.123389226552156
"passive",50352.3553672141,2002,"Oregon","eastside","RaMCONms_fmm",842058.6364,0.0597967329003148
"active",51605.8283941845,2002,"Oregon","eastside","RaMCONsw_fdm",252622.9284,0.204280065633918
"both",101993.439241087,2002,"Oregon","eastside","RaMCONsw_fdm",252622.9284,0.403737855020001
"active",255888.928482903,2002,"Oregon","eastside","RaMCONsw_fiw",1105278.24176,0.231515394780084
"both",376526.080270906,2002,"Oregon","eastside","RaMCONsw_fiw",1105278.24176,0.340661804462323
"active",17207.2883984087,2002,"Oregon","eastside","RaMCONsw_fvw",110519.19525,0.155695020756213
"both",45641.6708183655,2002,"Oregon","eastside","RaMCONsw_fvw",110519.19525,0.412975055736895
"active",272863.42178582,2002,"Oregon","eastside","RaMEVG_ftd",430468.873975,0.633874917055365
"active",33567.2587370339,2002,"Oregon","eastside","RaMEVG_fuc",108908.16587,0.308216178914463
"passive",11579.7152772641,2002,"Oregon","eastside","RaMEVG_fuc",108908.16587,0.106325500799329
"active",31485.4963728849,2002,"Oregon","eastside","RaOAPI_fop",77063.648215,0.408564830528701
