"strataID","BpS","SCLASS","YEAR","ew","MAP_ZONE","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2011_Na0210290_fdw","Na0210290","A",2011,"eastside","OSW","fdw","Na0210290_fdw","A",1091.292265,50778.783165,4701.09172236796,3782.06622803249,5620.11716592464,-2690.77396303249
"2011_Na0210290_fdw","Na0210290","A",2011,"westside","OCR","fdw","Na0210290_fdw","A",2416.98886,50778.783165,4701.09172236796,3782.06622803249,5620.11716592464,-1365.07736803249
"2011_Na0210290_fdw","Na0210290","A",2011,"westside","OWC","fdw","Na0210290_fdw","A",435.671805,50778.783165,4701.09172236796,3782.06622803249,5620.11716592464,-3346.39442303249
"2011_Na0210290_fdw","Na0210290","B",2011,"eastside","OSW","fdw","Na0210290_fdw","B",3882.84138223411,50778.783165,554.968531797495,240.547931360876,869.389132234113,3013.45225
"2011_Na0210290_fdw","Na0210290","B",2011,"westside","OCR","fdw","Na0210290_fdw","B",12668.5558572341,50778.783165,554.968531797495,240.547931360876,869.389132234113,11799.166725
"2011_Na0210290_fdw","Na0210290","B",2011,"westside","OWC","fdw","Na0210290_fdw","B",869.389132234113,50778.783165,554.968531797495,240.547931360876,869.389132234113,0
"2011_Na0210290_fdw","Na0210290","C",2011,"eastside","OSW","fdw","Na0210290_fdw","C",694.492507765887,50778.783165,10754.8040429754,9506.79220658874,12002.8168441589,-8812.29969882285
"2011_Na0210290_fdw","Na0210290","C",2011,"westside","OCR","fdw","Na0210290_fdw","C",3229.79550776589,50778.783165,10754.8040429754,9506.79220658874,12002.8168441589,-6276.99669882285
"2011_Na0210290_fdw","Na0210290","C",2011,"westside","OWC","fdw","Na0210290_fdw","C",372.464547765887,50778.783165,10754.8040429754,9506.79220658874,12002.8168441589,-9134.32765882285
"2011_Na0210290_fdw","Na0210290","D",2011,"eastside","OSW","fdw","Na0210290_fdw","D",-258.939506530274,50778.783165,32966.619480513,31414.1807652257,34519.0581958003,-31673.1202717559
"2011_Na0210290_fdw","Na0210290","D",2011,"westside","OCR","fdw","Na0210290_fdw","D",3583.60130346973,50778.783165,32966.619480513,31414.1807652257,34519.0581958003,-27830.5794617559
"2011_Na0210290_fdw","Na0210290","D",2011,"westside","OWC","fdw","Na0210290_fdw","D",-215.127691530274,50778.783165,32966.619480513,31414.1807652257,34519.0581958003,-31629.3084567559
"2011_Na0210290_fdw","Na0210290","E",2011,"eastside","OSW","fdw","Na0210290_fdw","E",2812.25650153027,50778.783165,1801.2988287796,1228.80410153027,2373.79345447136,438.46304705891
"2011_Na0210290_fdw","Na0210290","E",2011,"westside","OCR","fdw","Na0210290_fdw","E",17966.6965915303,50778.783165,1801.2988287796,1228.80410153027,2373.79345447136,15592.9031370589
"2011_Na0210290_fdw","Na0210290","E",2011,"westside","OWC","fdw","Na0210290_fdw","E",1228.80410153027,50778.783165,1801.2988287796,1228.80410153027,2373.79345447136,0
"2011_Na0210290_fwo","Na0210290","A",2011,"eastside","OSW","fwo","Na0210290_fwo","A",14561.8337115545,195510.11324,18100.2953931613,14561.8337115545,21638.756879258,0
"2011_Na0210290_fwo","Na0210290","B",2011,"eastside","OSW","fwo","Na0210290_fwo","B",14253.3695854912,195510.11324,2136.75779003604,926.165425177584,3347.3501548945,10906.0194305967
"2011_Na0210290_fwo","Na0210290","C",2011,"eastside","OSW","fwo","Na0210290_fwo","C",36603.358824487,195510.11324,41408.4943604048,36603.358824487,46213.6336110148,0
"2011_Na0210290_fwo","Na0210290","D",2011,"eastside","OSW","fwo","Na0210290_fwo","D",120951.894786333,195510.11324,126929.144537233,120951.894786333,132906.394288132,-1.45519152283669e-11
"2011_Na0210290_fwo","Na0210290","E",2011,"eastside","OSW","fwo","Na0210290_fwo","E",9139.65633213431,195510.11324,6935.41900855393,4731.18129395333,9139.65633213431,0
"2011_Na0210350_fvg","Na0210350","A",2011,"eastside","OEC","fvg","Na0210350_fvg","A",12.00933,77698.363545,3928.17192385514,2898.4618515385,4957.88184077506,-2886.4525215385
"2011_Na0210350_fvg","Na0210350","A",2011,"eastside","OSW","fvg","Na0210350_fvg","A",58.489885,77698.363545,3928.17192385514,2898.4618515385,4957.88184077506,-2839.9719665385
"2011_Na0210350_fvg","Na0210350","A",2011,"westside","OCR","fvg","Na0210350_fvg","A",3719.33398,77698.363545,3928.17192385514,2898.4618515385,4957.88184077506,0
"2011_Na0210350_fvg","Na0210350","A",2011,"westside","OWC","fvg","Na0210350_fvg","A",141.44322,77698.363545,3928.17192385514,2898.4618515385,4957.88184077506,-2757.0186315385
