"type","REST_ACRES","YEAR","BpS_Code","AREA_STRATA","REST_PCT"
"active",-46.8217537643872,2016,"Na0210290_fdw",50778.783165,-0.000922073173991686
"both",0,2016,"Na0210290_fdw",50778.783165,0
"active",52461.6439739072,2016,"Na0210290_fwo",195510.11324,0.268332124126528
"both",94030.4242634673,2016,"Na0210290_fwo",195510.11324,0.480949157591861
"active",11016.6920572586,2016,"Na0710270_fdd",1233970.22204,0.00892784271491233
"active",-11311.1108793283,2016,"Na0710411_fmt",378447.125155,-0.0298882198528938
"both",0,2016,"Na0710411_fmt",378447.125155,0
"passive",0,2016,"Na0710411_fmt",378447.125155,0
"active",-26402.0693897411,2016,"R1RFWF_fcw",117672.75282,-0.224368587944292
"both",0,2016,"R1RFWF_fcw",117672.75282,0
"passive",0,2016,"R1RFWF_fcw",117672.75282,0
"active",789.217395217469,2016,"R1RFWF_frm",3843.87518,0.205318164159917
"both",24.16570498977,2016,"R1RFWF_frm",3843.87518,0.00628680793682016
"active",-1441.27602517053,2016,"RaABAMup_fsi",8184.136,-0.17610606973913
"passive",0,2016,"RaABAMup_fsi",8184.136,0
"active",-78451.810273289,2016,"RaDFHEdy_fdg",912222.92453,-0.0860007002276437
"both",0,2016,"RaDFHEdy_fdg",912222.92453,0
"passive",0,2016,"RaDFHEdy_fdg",912222.92453,0
"active",371.753266776335,2016,"RaDFHEdy_fwx",103787.076205,0.00358188399143308
"both",11525.7497465551,2016,"RaDFHEdy_fwx",103787.076205,0.111051878210631
"passive",18426.4280107681,2016,"RaDFHEdy_fwx",103787.076205,0.177540679288164
"both",5.6843418860808e-14,2016,"RaDFHEwt_fhc",39601.655255,1.43537987224994e-18
"passive",1815.81983623835,2016,"RaDFHEwt_fhc",39601.655255,0.0458521196789896
"passive",2.69949301900744,2016,"RaDFHEwt_fwc",350.49452,0.00770195499492386
"active",-2895.38166658546,2016,"RaMCONdy_fdd",2046685.839745,-0.00141466834350415
"both",0,2016,"RaMCONdy_fdd",2046685.839745,0
"passive",0,2016,"RaMCONdy_fdd",2046685.839745,0
"active",6825.02667067735,2016,"RaMCONdy_fdg",471584.371995,0.0144725463267678
"both",163257.126002166,2016,"RaMCONdy_fdg",471584.371995,0.346188584052351
"active",-174.539664123842,2016,"RaMCONdy_fdx",2614.253225,-0.0667646356729051
"both",0,2016,"RaMCONdy_fdx",2614.253225,0
"active",-2612.33839420279,2016,"RaMCONdy_fmd",1792880.43713,-0.00145706224469969
"both",0,2016,"RaMCONdy_fmd",1792880.43713,0
"passive",0,2016,"RaMCONdy_fmd",1792880.43713,0
"active",162423.40850316,2016,"RaMCONdy_fmx",516776.370365,0.314301151944003
"both",110421.170877205,2016,"RaMCONdy_fmx",516776.370365,0.213673026108401
"active",-75409.5605678256,2016,"RaMCONms_fcm",721828.118685,-0.104470245222926
"both",0,2016,"RaMCONms_fcm",721828.118685,0
"passive",0,2016,"RaMCONms_fcm",721828.118685,0
"active",-269844.73308251,2016,"RaMCONms_fmm",1617869.583015,-0.166790164000511
"both",0,2016,"RaMCONms_fmm",1617869.583015,0
"active",15363.3829206808,2016,"RaMCONsw_fdm",199044.85937,0.0771855297811143
"both",83985.8530955019,2016,"RaMCONsw_fdm",199044.85937,0.421944346421841
"active",-11787.2730174168,2016,"RaMCONsw_fvw",83731.27271,-0.140775037043108
"both",0,2016,"RaMCONsw_fvw",83731.27271,0
"active",190484.748107685,2016,"RaMEVG_ftd",313014.957835,0.608548388310874
"active",45625.7586667169,2016,"RaMEVG_fuc",68039.08151,0.670581637114121
"active",-103.068138171611,2016,"RaOAPI_fop",82494.089325,-0.00124940027843153
"both",0,2016,"RaOAPI_fop",82494.089325,0
"active",173818.456885767,2016,"RaPICOpu_fld",336773.415685,0.516128793991113
"both",21769.9789050052,2016,"RaPICOpu_fld",336773.415685,0.0646428069766876
"active",14081.4379780358,2016,"RaPICOpu_flp",24324.008335,0.57891108176336
"active",36251.2954522711,2016,"RaPICOpu_flw",69489.98649,0.521676536194001
"both",4212.60168460547,2016,"RaPICOpu_flw",69489.98649,0.0606217082113217
"active",50282.4032686702,2016,"RaPIJEsp_fjp",67698.37237,0.742741686518781
"active",-19436.8841868745,2016,"RaPIPOm_fdp",455390.68007,-0.0426817786079566
"both",0,2016,"RaPIPOm_fdp",455390.68007,0
"active",464230.664399418,2016,"RaPIPOm_fpl",864201.17218,0.537178933960907
"both",60664.0821477486,2016,"RaPIPOm_fpl",864201.17218,0.0701967135669578
"active",294478.043348941,2016,"RaPIPOxe_fpd",552172.98096,0.533307592915839
"both",41469.006794637,2016,"RaPIPOxe_fpd",552172.98096,0.0751014776611118
"active",-21094.9832273864,2016,"RaPIPOxe_fxp",525258.29327,-0.0401611616564099
"both",0,2016,"RaPIPOxe_fxp",525258.29327,0
"active",11043.334655683,2016,"RaREFI_frf",54809.24775,0.201486703595253
"active",-8108.93161496617,2016,"RaSAWD_fsw",43030.76376,-0.188444984620607
"active",-13229.5692148382,2016,"RaSPFI_fcd",693798.787255,-0.0190683083595183
"passive",0,2016,"RaSPFI_fcd",693798.787255,0
"passive",41228.6139759496,2016,"RaSPFI_fmz",223891.71835,0.184145328285429
"active",25484.0923477449,2016,"RaTAOAco_ftm",56320.19938,0.452485833294025
"passive",2252.74925542529,2016,"RaTAOAco_ftm",56320.19938,0.0399989573940548
