"type","REST_ACRES","YEAR","BpS_Code","BPS_LLID","AREA_STRATA","REST_PCT"
"active",4.87412469891475,2006,"Na0210290_fdw","Na0210290_fdw_1709000105",7.783825,0.626186315714286
"both",1.1762121900581,2006,"Na0210290_fdw","Na0210290_fdw_1709000105",7.783825,0.151109793714286
"active",35.9048175433712,2006,"Na0210290_fdw","Na0210290_fdw_1709000107",78.28304,0.458653848181818
"both",10.9133695607587,2006,"Na0210290_fdw","Na0210290_fdw_1709000107",78.28304,0.139409118
"passive",15.6003886078256,2006,"Na0210290_fdw","Na0210290_fdw_1709000107",78.28304,0.199281844545455
"active",6.37802610629192,2006,"Na0210290_fdw","Na0210290_fdw_1709000109",11.56454,0.551515763384615
"passive",2.9414612716106,2006,"Na0210290_fdw","Na0210290_fdw_1709000109",11.56454,0.254351774615385
"active",50.5512586532363,2006,"Na0210290_fdw","Na0210290_fdw_1709000110",171.466545,0.294817036485084
"both",62.3713849612073,2006,"Na0210290_fdw","Na0210290_fdw_1709000110",171.466545,0.363752503214008
"passive",9.02184385407254,2006,"Na0210290_fdw","Na0210290_fdw_1709000110",171.466545,0.0526157674319066
"active",1.9578516425936,2006,"Na0210290_fdw","Na0210290_fdw_1709000201",2.22395,0.880348768
"both",0.0105352381173,2006,"Na0210290_fdw","Na0210290_fdw_1709000201",2.22395,0.004737174
"active",8.18777133761245,2006,"Na0210290_fdw","Na0210290_fdw_1709000202",17.124415,0.478134367662338
"both",3.83981693516597,2006,"Na0210290_fdw","Na0210290_fdw_1709000202",17.124415,0.224230546571429
"passive",1.10523688296185,2006,"Na0210290_fdw","Na0210290_fdw_1709000202",17.124415,0.0645415848051948
"active",13.3260290248241,2006,"Na0210290_fdw","Na0210290_fdw_1709000203",47.370135,0.281317100422535
"both",16.3405598336409,2006,"Na0210290_fdw","Na0210290_fdw_1709000203",47.370135,0.344954892647887
"passive",5.83872520871266,2006,"Na0210290_fdw","Na0210290_fdw_1709000203",47.370135,0.123257516760563
"active",187.43324378161,2006,"Na0210290_fdw","Na0210290_fdw_1709000204",685.198995,0.273545707377475
"both",206.477243016186,2006,"Na0210290_fdw","Na0210290_fdw_1709000204",685.198995,0.301339092034404
"passive",111.343795342928,2006,"Na0210290_fdw","Na0210290_fdw_1709000204",685.198995,0.162498480230445
"active",992.26450166151,2006,"Na0210290_fdw","Na0210290_fdw_1709000301",3063.046335,0.323946944688158
"both",861.249775299233,2006,"Na0210290_fdw","Na0210290_fdw_1709000301",3063.046335,0.281174256314093
"passive",470.338581805631,2006,"Na0210290_fdw","Na0210290_fdw_1709000301",3063.046335,0.153552552056197
"active",204.209272590673,2006,"Na0210290_fdw","Na0210290_fdw_1709000302",804.62511,0.253794307501382
"both",267.695680343253,2006,"Na0210290_fdw","Na0210290_fdw_1709000302",804.62511,0.332696155037037
"passive",132.926883474753,2006,"Na0210290_fdw","Na0210290_fdw_1709000302",804.62511,0.165203498899945
"active",185.093683201995,2006,"Na0210290_fdw","Na0210290_fdw_1709000303",600.4665,0.308249807777778
"both",193.768230778547,2006,"Na0210290_fdw","Na0210290_fdw_1709000303",600.4665,0.322696155037037
"passive",76.3455910259351,2006,"Na0210290_fdw","Na0210290_fdw_1709000303",600.4665,0.127143797407407
"active",117.300221704302,2006,"Na0210290_fdw","Na0210290_fdw_1709000304",358.50074,0.327196595756824
"both",121.116872590747,2006,"Na0210290_fdw","Na0210290_fdw_1709000304",358.50074,0.337842740828784
"passive",12.4574694199286,2006,"Na0210290_fdw","Na0210290_fdw_1709000304",358.50074,0.0347487969478908
"active",147.085522237388,2006,"Na0210290_fdw","Na0210290_fdw_1709000305",551.5396,0.266681707419355
"both",206.657131678073,2006,"Na0210290_fdw","Na0210290_fdw_1709000305",551.5396,0.374691376064516
"passive",62.4810406460441,2006,"Na0210290_fdw","Na0210290_fdw_1709000305",551.5396,0.113284777096774
"active",512.133736628257,2006,"Na0210290_fdw","Na0210290_fdw_1709000306",1682.64057,0.304363121726143
"both",529.512906837217,2006,"Na0210290_fdw","Na0210290_fdw_1709000306",1682.64057,0.314691631877875
"passive",185.349670019343,2006,"Na0210290_fdw","Na0210290_fdw_1709000306",1682.64057,0.110154047943431
"active",46.0579076047224,2006,"Na0210290_fdw","Na0210290_fdw_1709000406",150.561415,0.305907775937962
"both",45.960422663732,2006,"Na0210290_fdw","Na0210290_fdw_1709000406",150.561415,0.3052602996839
"passive",25.3111165553919,2006,"Na0210290_fdw","Na0210290_fdw_1709000406",150.561415,0.168111574638109
