"strataID","BpS","SCLASS","YEAR","ew","PVT","BpS_Code","BPS_LLID","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2009_Na0210290_fdw_Na0210290_fdw_1709000105","Na0210290","A",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000105","A",0.88958,7.783825,0.72062528865565,0.57974886010475,0.861501709422725,0.028078290577275
"2009_Na0210290_fdw_Na0210290_fdw_1709000105","Na0210290","B",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000105","B",0.257636868154,7.783825,0.08507052872815,0.03687333341055,0.13326772404575,0.12436914410825
"2009_Na0210290_fdw_Na0210290_fdw_1709000105","Na0210290","C",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000105","C",1.4572859417879,7.783825,1.64859233250617,1.4572859417879,1.83989887111712,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000105","Na0210290","D",NA,NA,NA,NA,NA,NA,4.81544594718495,7.783825,5.0534176064064,4.81544594718495,5.29138926562785,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000105","Na0210290","E",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000105","E",0.36387624287315,7.783825,0.27611915808155,0.1883620577223,0.36387624287315,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000107","Na0210290","A",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000107","A",10.1974313921744,78.28304,7.24743147447968,5.8306171073392,8.66424576333712,1.53318562883728
"2009_Na0210290_fdw_Na0210290_fdw_1709000107","Na0210290","B",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000107","B",1.3402925389744,78.28304,0.85556646035168,0.37084038172896,1.3402925389744,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000107","Na0210290","C",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000107","C",14.6561329002669,78.28304,16.580128601205,14.6561329002669,18.5041257895208,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000107","Na0210290","D",NA,NA,NA,NA,NA,NA,48.4296278116886,78.28304,50.8229427844301,48.4296278116886,53.2162577571715,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000107","Na0210290","E",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000107","E",3.65955535689568,78.28304,2.77696981842016,1.89438412337856,3.65955535689568,0
