"type","REST_ACRES","YEAR","ew","BpS_Code","AREA_STRATA","REST_PCT"
"active",6504.47167539748,2010,"eastside","Na0210290_fdw",9646.16073,0.674306789764375
"both",1210.465909188,2010,"eastside","Na0210290_fdw",9646.16073,0.125486806934846
"active",22662.2445234071,2010,"eastside","Na0210290_fwo",216308.93843,0.10476795220712
"both",127467.316516571,2010,"eastside","Na0210290_fwo",216308.93843,0.589283630356405
"active",105.086656385819,2010,"eastside","Na0210350_fvg",1960.63432,0.0535982948548094
"both",317.720305724337,2010,"eastside","Na0210350_fvg",1960.63432,0.162049752206897
"passive",261.516876326465,2010,"eastside","Na0210350_fvg",1960.63432,0.133383810361162
"active",124299.770244731,2010,"eastside","Na0710270_fdd",1403267.971,0.0885787838199943
"both",549993.101048274,2010,"eastside","Na0710270_fdd",1403267.971,0.391937329444166
"passive",249718.620517819,2010,"eastside","Na0710270_fdd",1403267.971,0.177955048984595
"active",3037.58795660926,2010,"eastside","Na0710412_fmc",16639.371505,0.182554248259707
"both",497.533753249438,2010,"eastside","Na0710412_fmc",16639.371505,0.0299009943434422
"active",170908.813879286,2010,"eastside","Na0710412_fmh",1419398.947535,0.120409286040471
"active",4194.39060653998,2010,"eastside","Na0710412_fmi",48558.391485,0.086378285570593
"active",47433.0070923192,2010,"eastside","Na1010471_frn",685999.617,0.0691443638113856
"both",50529.2775712447,2010,"eastside","Na1010471_frn",685999.617,0.0736578801489983
"passive",211116.420639667,2010,"eastside","Na1010471_frn",685999.617,0.307750056134021
"active",42268.6834864228,2010,"eastside","R1RFWF_fcw",149284.8677,0.283141112275124
"active",1143.37079467504,2010,"eastside","R1RFWF_frm",3802.50971,0.300688461535852
"active",31554.1362276052,2010,"eastside","RaABAMlw_fsi",470463.056405,0.0670703805495871
"both",24102.5832690523,2010,"eastside","RaABAMlw_fsi",470463.056405,0.0512316173202418
"passive",47835.0113744328,2010,"eastside","RaABAMlw_fsi",470463.056405,0.10167644562776
"active",528.921304430807,2010,"eastside","RaABAMlw_fsw",21997.08945,0.02404505858073
"both",1032.8565125776,2010,"eastside","RaABAMlw_fsw",21997.08945,0.0469542352375897
"passive",2894.57787890762,2010,"eastside","RaABAMlw_fsw",21997.08945,0.131589130711455
"active",255.894794821594,2010,"eastside","RaABAMlw_fwc",11407.52913,0.0224320965482903
"both",238.119073744976,2010,"eastside","RaABAMlw_fwc",11407.52913,0.0208738519123094
"passive",1674.44043901312,2010,"eastside","RaABAMlw_fwc",11407.52913,0.146783796905642
"active",1459.85235966492,2010,"eastside","RaABLA_faf",15372.83198,0.0949631376680748
"both",192.383560618778,2010,"eastside","RaABLA_faf",15372.83198,0.0125145165750246
"passive",2326.53936127399,2010,"eastside","RaABLA_faf",15372.83198,0.151340973758174
"both",43000.8899994925,2010,"eastside","RaDFHEdy_fwi",499288.78433,0.0861242858823592
"passive",90677.6284648898,2010,"eastside","RaDFHEdy_fwi",499288.78433,0.181613589791669
"active",2489.62563734667,2010,"eastside","RaDFHEdy_fwx",110789.849965,0.0224716040154687
"both",8070.9725591367,2010,"eastside","RaDFHEdy_fwx",110789.849965,0.0728493861277584
"passive",15241.1374724983,2010,"eastside","RaDFHEdy_fwx",110789.849965,0.137567994516764
"passive",5562.43150120035,2010,"eastside","RaDFHEwt_fdm",18634.92184,0.298495027183884
"passive",12180.9600167096,2010,"eastside","RaDFHEwt_fhc",31311.659235,0.38902314071858
"passive",124239.732347205,2010,"eastside","RaDFHEwt_fwm",306700.94139,0.405084287593438
"passive",85546.7066562117,2010,"eastside","RaDFHEwt_fwn",177401.37797,0.482221207270883
"passive",15957.1990920202,2010,"eastside","RaDFHEwt_fww",32283.30299,0.494286445750706
"active",12058.0434679084,2010,"eastside","RaDFWV_fwx",38536.827995,0.312896626299208
"active",232655.386471537,2010,"eastside","RaMCONdy_fdd",4248197.74101,0.0547656678561822
"both",1606866.6724798,2010,"eastside","RaMCONdy_fdd",4248197.74101,0.378246675517927
"passive",126624.762128994,2010,"eastside","RaMCONdy_fdd",4248197.74101,0.0298067015352467
"active",27958.759857315,2010,"eastside","RaMCONdy_fdg",1049415.73129,0.0266422153048407
"both",392047.448761877,2010,"eastside","RaMCONdy_fdg",1049415.73129,0.373586403436082
"active",753.53018222842,2010,"eastside","RaMCONdy_fdx",4451.680715,0.169268694335915
"both",1239.26533909306,2010,"eastside","RaMCONdy_fdx",4451.680715,0.278381451508268
"active",31281.1219030446,2010,"eastside","RaMCONdy_fmd",2050495.021305,0.0152554000756053
"both",756063.058665348,2010,"eastside","RaMCONdy_fmd",2050495.021305,0.368722211373215
"active",6623.49035084601,2010,"eastside","RaMCONdy_fmx",596169.8286,0.0111100730582091
"both",222252.395475191,2010,"eastside","RaMCONdy_fmx",596169.8286,0.372800475322799
"passive",2878.20589952292,2010,"eastside","RaMCONdy_fmx",596169.8286,0.00482782885252995
"active",29775.4158642821,2010,"eastside","RaMCONms_fcm",2203967.80925,0.0135099141372734
"both",275665.476452668,2010,"eastside","RaMCONms_fcm",2203967.80925,0.125076906883897
"passive",156114.034860734,2010,"eastside","RaMCONms_fcm",2203967.80925,0.0708331737902554
"active",68631.3019576196,2010,"eastside","RaMCONms_fmm",1769570.105205,0.0387841667056581
"both",78343.7878296629,2010,"eastside","RaMCONms_fmm",1769570.105205,0.0442727799250355
"passive",114381.212661402,2010,"eastside","RaMCONms_fmm",1769570.105205,0.0646378531853368
"active",48823.2221541845,2010,"eastside","RaMCONsw_fdm",252622.9284,0.193265205432495
"both",102462.470296087,2010,"eastside","RaMCONsw_fdm",252622.9284,0.405594499854145
"active",263388.310277903,2010,"eastside","RaMCONsw_fiw",1105278.24176,0.238300457139638
"both",369228.410740906,2010,"eastside","RaMCONsw_fiw",1105278.24176,0.334059241185244
"active",18077.2976384087,2010,"eastside","RaMCONsw_fvw",110519.19525,0.163567040074052
"both",44207.8902533655,2010,"eastside","RaMCONsw_fvw",110519.19525,0.4000019196065
"active",255567.76263582,2010,"eastside","RaMEVG_ftd",430468.873975,0.593696264902679
"active",17246.8016620339,2010,"eastside","RaMEVG_fuc",108908.16587,0.158360959660462
"passive",37271.4528622641,2010,"eastside","RaMEVG_fuc",108908.16587,0.342228266948814
"active",39106.6114213608,2010,"eastside","RaOAPI_fop",84077.096935,0.465127993793532
"active",33467.5101879261,2010,"eastside","RaPICOpu_fld",357333.388645,0.0936590625209532
"both",19664.912263741,2010,"eastside","RaPICOpu_fld",357333.388645,0.0550323952046851
"active",13838.1363803503,2010,"eastside","RaPICOpu_flp",24914.91185,0.555415827423458
"both",2229.46925882101,2010,"eastside","RaPICOpu_flp",24914.91185,0.0894833291903062
"active",16423.0011212501,2010,"eastside","RaPICOpu_flw",75354.765035,0.21794243686676
"both",2980.62811904494,2010,"eastside","RaPICOpu_flw",75354.765035,0.0395546070332848
"active",32595.6329584268,2010,"eastside","RaPIJEsp_fjp",81797.103395,0.398493731508093
"both",701.914075410274,2010,"eastside","RaPIJEsp_fjp",81797.103395,0.00858116053353033
"passive",11993.0557064797,2010,"eastside","RaPIJEsp_fjp",81797.103395,0.146619564858733
"active",454636.774132176,2010,"eastside","RaPIPOm_fdp",1048723.860445,0.433514284627092
"both",198793.090531492,2010,"eastside","RaPIPOm_fdp",1048723.860445,0.189557135132922
"passive",11022.0555578792,2010,"eastside","RaPIPOm_fdp",1048723.860445,0.0105099692813342
"active",261605.724760273,2010,"eastside","RaPIPOm_fpd",608117.110395,0.430189712291351
"both",33886.8126447314,2010,"eastside","RaPIPOm_fpd",608117.110395,0.0557241558664915
"passive",33459.887399255,2010,"eastside","RaPIPOm_fpd",608117.110395,0.0550221114112729
"active",396229.942793649,2010,"eastside","RaPIPOm_fpl",962769.74971,0.411552131662839
"both",145863.269747302,2010,"eastside","RaPIPOm_fpl",962769.74971,0.151503793914628
"active",169808.443301639,2010,"eastside","RaPIPOxe_fpd",643144.1005,0.264028610648259
"both",193461.13519296,2010,"eastside","RaPIPOxe_fpd",643144.1005,0.300805270611294
"active",131046.767571814,2010,"eastside","RaPIPOxe_fxp",1012933.16591,0.129373557883341
"both",306204.27070621,2010,"eastside","RaPIPOxe_fxp",1012933.16591,0.302294643922654
"passive",33602.9183437691,2010,"eastside","RaPIPOxe_fxp",1012933.16591,0.0331738751130543
"active",22650.4277820516,2010,"eastside","RaREFI_fcw",265840.30804,0.0852031354802802
"both",34770.9695978401,2010,"eastside","RaREFI_fcw",265840.30804,0.130796453909496
"active",427.998585619059,2010,"eastside","RaREFI_frf",56680.256885,0.00755110525499974
"both",10879.9403878919,2010,"eastside","RaREFI_frf",56680.256885,0.191952912457093
"passive",10193.4297297977,2010,"eastside","RaREFI_frf",56680.256885,0.179840923277384
"active",25888.144742213,2010,"eastside","RaREFI_frm",88214.533515,0.293468022905896
"both",2073.98497075391,2010,"eastside","RaREFI_frm",88214.533515,0.0235106947587185
"active",97476.4507246334,2010,"eastside","RaSAWD_fal",625052.934435,0.155949113034314
"passive",142735.689480227,2010,"eastside","RaSAWD_fal",625052.934435,0.228357762385756
"active",13903.5121093502,2010,"eastside","RaSAWD_fsw",57322.75604,0.242547865277942
"passive",7320.29188864845,2010,"eastside","RaSAWD_fsw",57322.75604,0.127703069328005
"active",148502.201279432,2010,"eastside","RaSPFI_fcd",1397847.76006,0.106236319520989
"passive",123186.160983186,2010,"eastside","RaSPFI_fcd",1397847.76006,0.0881255917152939
"active",22236.0596555899,2010,"eastside","RaSPFI_fmz",240805.525285,0.0923403216320426
"passive",679.62816869442,2010,"eastside","RaSPFI_fmz",240805.525285,0.00282231135639459
"passive",21829.8876837394,2010,"eastside","RaSSHE_fss",38677.826425,0.564403165882903
"active",341715.643929361,2010,"eastside","RaTAOAco_ftm",586701.13908,0.582435623808744
"active",8411.2701029802,2010,"eastside","RaTAOAco_fto",26825.72969,0.313552332040225
"passive",1976.82090265739,2010,"eastside","RaTAOAco_fto",26825.72969,0.0736912257560809
"active",20314.6217218668,2010,"westside","Na0210290_fdw",47801.13651,0.424981981707004
"both",16212.2351099442,2010,"westside","Na0210290_fdw",47801.13651,0.339160034543375
"passive",820.0593661046,2010,"westside","Na0210290_fdw",47801.13651,0.0171556457853893
"active",19114.1400462549,2010,"westside","Na0210350_fvg",91147.923565,0.209704613102065
"both",12855.8198553661,2010,"westside","Na0210350_fvg",91147.923565,0.141043474744636
"passive",7759.79089691144,2010,"westside","Na0210350_fvg",91147.923565,0.0851340391904564
"passive",223362.138135212,2010,"westside","Na0710411_fmt",503602.80254,0.443528385880003
"active",158579.453269915,2010,"westside","Na0710412_fmc",816397.81172,0.194242869093214
"active",159.266166915959,2010,"westside","Na0710412_fmh",642.499155,0.247885410706819
"active",11434.795196829,2010,"westside","Na0710412_fmi",59105.696755,0.193463503936475
"both",1066.09538370663,2010,"westside","Na0710412_fmi",59105.696755,0.018037100351354
"active",80.4325632047899,2010,"westside","R1RFWF_fcw",269.98753,0.297912141367381
"active",140176.808046977,2010,"westside","RaABAMlw_fsi",1832523.68025,0.0764938590195208
"both",87466.3467841378,2010,"westside","RaABAMlw_fsi",1832523.68025,0.0477299953756698
"passive",290001.720640174,2010,"westside","RaABAMlw_fsi",1832523.68025,0.158252645663281
"active",23422.1337437688,2010,"westside","RaABAMlw_fsw",283409.290645,0.0826441987503773
"both",10471.3889175222,2010,"westside","RaABAMlw_fsw",283409.290645,0.0369479380640302
"passive",31347.8665489576,2010,"westside","RaABAMlw_fsw",283409.290645,0.110609876188654
"active",14853.6534996899,2010,"westside","RaABAMlw_fwc",370409.99225,0.040100574526793
"both",15876.0710714743,2010,"westside","RaABAMlw_fwc",370409.99225,0.042860806683528
"passive",79860.5424042167,2010,"westside","RaABAMlw_fwc",370409.99225,0.215600399760049
"passive",9233.9795044439,2010,"westside","RaABAMup_fsi",49085.467635,0.18812043460822
"active",74042.2844636737,2010,"westside","RaABAMup_fst",1466341.86174,0.0504945581897342
"passive",235789.859466731,2010,"westside","RaABAMup_fst",1466341.86174,0.160801424019182
"active",19.6957587897218,2010,"westside","RaABAMup_fsw",510.17413,0.0386059535980819
"passive",225.813829501061,2010,"westside","RaABAMup_fsw",510.17413,0.442621089981691
"active",11400.6127041429,2010,"westside","RaABLA_faf",156228.92918,0.0729737620553465
"both",1998.09970986838,2010,"westside","RaABLA_faf",156228.92918,0.0127895628572494
"passive",17172.4866618934,2010,"westside","RaABLA_faf",156228.92918,0.10991873753489
"both",167942.803203249,2010,"westside","RaDFHEdy_fdg",1480643.6394,0.113425539227862
"passive",431766.475578288,2010,"westside","RaDFHEdy_fdg",1480643.6394,0.291607287593693
"both",572400.815177005,2010,"westside","RaDFHEdy_fwi",5429032.01528,0.105433309946595
"passive",1280665.27862042,2010,"westside","RaDFHEdy_fwi",5429032.01528,0.235892010770242
"passive",36033.7838129374,2010,"westside","RaDFHEwt_fdm",124423.77544,0.289605291958961
"passive",37395.3093641184,2010,"westside","RaDFHEwt_fhc",104850.569095,0.356653375245263
"passive",184.958256687683,2010,"westside","RaDFHEwt_fwc",365.394985,0.50618717902678
"passive",708583.835735146,2010,"westside","RaDFHEwt_fwm",1897063.821225,0.37351607669034
"passive",1187456.33832749,2010,"westside","RaDFHEwt_fwn",2821322.54076,0.420886418044076
"passive",293405.104574991,2010,"westside","RaDFHEwt_fww",890590.785275,0.329449966725618
"active",178723.27860488,2010,"westside","RaDFWV_fwx",1236272.45508,0.14456625468802
"both",119411.274119118,2010,"westside","RaDFWV_fwx",1236272.45508,0.0965897716384784
"passive",18312.1418072323,2010,"westside","RaDFWV_fwx",1236272.45508,0.0148123835744988
"active",72.9194880968437,2010,"westside","RaMCONdy_fdx",145.00154,0.502887680343558
"both",38.9259768111444,2010,"westside","RaMCONdy_fdx",145.00154,0.268452161343558
"active",48750.7048336127,2010,"westside","RaMCONsw_fiw",106240.76024,0.458870067603845
"both",21049.0908301327,2010,"westside","RaMCONsw_fiw",106240.76024,0.198126319715544
"active",269.936151822279,2010,"westside","RaMCONsw_fvw",3929.71965,0.0686909438494624
"both",1642.85496126339,2010,"westside","RaMCONsw_fvw",3929.71965,0.418059074840973
"passive",114.094200461562,2010,"westside","RaMCONsw_fvw",3929.71965,0.0290336743135257
"active",163740.674921449,2010,"westside","RaSAWD_fal",521709.091465,0.313854363667791
"passive",60764.4816611081,2010,"westside","RaSAWD_fal",521709.091465,0.116471962354493
"both",79194.0647591381,2010,"westside","RaSSHE_fss",1814996.507905,0.0436331774822805
