"type","REST_ACRES","YEAR","STATE","BpS_Code","BPS_LLID","AREA_STRATA","REST_PCT"
"active",1.88555580736215,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000105",8.673405,0.217395106923077
"both",3.54729472606474,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000105",8.673405,0.408985251589744
"active",27.9397828253839,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000107",39.58631,0.705794069348315
"passive",1.5151943528209,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000107",39.58631,0.0382757158426967
"active",0.21868193978295,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000109",1.556765,0.14047203
"both",0.79386426683327,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000109",1.556765,0.509944832285714
"passive",0.01960517117835,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000109",1.556765,0.0125935328571429
"active",68.1235352439872,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000110",196.819575,0.346121747514124
"both",77.8104560914691,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000110",196.819575,0.395339010824859
"active",0.4163674119394,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000201",2.22395,0.187219772
"both",1.3758416991957,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000201",2.22395,0.618647766
"passive",0.0538177307778,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000201",2.22395,0.024199164
"active",11.4225493858428,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000202",19.57076,0.583653848181818
"both",3.01452079214608,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000202",19.57076,0.154031871636364
"passive",4.44089209850063e-16,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000202",19.57076,2.26914647080677e-17
"active",13.3922226392648,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000203",46.25816,0.289510491538462
"both",17.2138768723453,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000203",46.25816,0.372126277230769
"active",308.422266963112,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000204",735.905055,0.419106058407374
"both",195.216937911493,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000204",735.905055,0.265274625558175
"active",2014.28136068936,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000301",3382.405555,0.595517399654152
"both",76.2815475312473,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000301",3382.405555,0.0225524545448091
"active",222.514286326399,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000302",855.77596,0.26001464954262
"both",331.078610539203,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000302",855.77596,0.386875334216216
"passive",6.39288409918458,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000302",855.77596,0.00747027773388795
"active",197.757017513082,2012,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000303",459.46807,0.430404266205228
