"strataID","BpS","SCLASS","YEAR","STATE","ew","MAP_ZONE","PVT","BpS_Code","BPS_LLID","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2014_Oregon_Na0210290_fdw_Na0210290_fdw_1709000105","Na0210290","A",2014,"Oregon","westside","OWC","fdw","Na0210290_fdw","Na0210290_fdw_1709000105","A",0.88958,8.673405,0.80298246450201,0.64600587268815,0.959959047642465,0
"2014_Oregon_Na0210290_fdw_Na0210290_fdw_1709000105","Na0210290","B",2014,"Oregon","westside","OWC","fdw","Na0210290_fdw","Na0210290_fdw_1709000105","B",0.388747367371599,8.673405,0.09479287486851,0.04108742865747,0.14849832107955,0.240249046292049
"2014_Oregon_Na0210290_fdw_Na0210290_fdw_1709000105","Na0210290","C",2014,"Oregon","westside","OWC","fdw","Na0210290_fdw","Na0210290_fdw_1709000105","C",1.62383290656366,8.673405,1.83700288479259,1.62383290656366,2.05017302781622,0
"2014_Oregon_Na0210290_fdw_Na0210290_fdw_1709000105","Na0210290","D",NA,NA,NA,NA,NA,NA,NA,NA,5.36578262686323,8.673405,5.63095104713856,5.36578262686323,5.89611946741389,0
"2014_Oregon_Na0210290_fdw_Na0210290_fdw_1709000105","Na0210290","E",2014,"Oregon","westside","OWC","fdw","Na0210290_fdw","Na0210290_fdw_1709000105","E",0.40546209920151,8.673405,0.30767563329087,0.20988915003342,0.40546209920151,0
"2014_Oregon_Na0210290_fdw_Na0210290_fdw_1709000107","Na0210290","A",2014,"Oregon","westside","OWC","fdw","Na0210290_fdw","Na0210290_fdw_1709000107","A",5.1566556471791,39.58631,3.66489432516302,2.9484370599613,4.38135155077843,0.775304096400668
"2014_Oregon_Na0210290_fdw_Na0210290_fdw_1709000107","Na0210290","B",2014,"Oregon","westside","OWC","fdw","Na0210290_fdw","Na0210290_fdw_1709000107","B",0.6777615680041,39.58631,0.43264440324602,0.18752723848794,0.6777615680041,0
"2014_Oregon_Na0210290_fdw_Na0210290_fdw_1709000107","Na0210290","C",2014,"Oregon","westside","OWC","fdw","Na0210290_fdw","Na0210290_fdw_1709000107","C",7.41133993252132,39.58631,8.38426957674569,7.41133993252132,9.35719997310995,0
"2014_Oregon_Na0210290_fdw_Na0210290_fdw_1709000107","Na0210290","D",NA,NA,NA,NA,NA,NA,NA,NA,24.4899822456835,39.58631,25.7002381125811,24.4899822456835,26.9104939794788,0
"2014_Oregon_Na0210290_fdw_Na0210290_fdw_1709000107","Na0210290","E",2014,"Oregon","westside","OWC","fdw","Na0210290_fdw","Na0210290_fdw_1709000107","E",1.85057060661202,39.58631,1.40426314681474,0.95795560784484,1.85057060661202,4.44089209850063e-16
