"type","REST_ACRES","YEAR","STATE","ew","BpS_Code","AREA_STRATA","REST_PCT"
"active",6652.58674539748,2017,"Oregon","eastside","Na0210290_fdw",9646.16073,0.689661610624798
"both",1105.940259188,2017,"Oregon","eastside","Na0210290_fdw",9646.16073,0.114650822243556
"active",23236.4684134071,2017,"Oregon","eastside","Na0210290_fwo",216308.93843,0.107422599278886
"both",127417.500036571,2017,"Oregon","eastside","Na0210290_fwo",216308.93843,0.589053327899366
"both",380.880485724337,2017,"Oregon","eastside","Na0210350_fvg",1960.63432,0.194263908286751
"passive",299.768816326465,2017,"Oregon","eastside","Na0210350_fvg",1960.63432,0.152893792212341
"active",115129.312419731,2017,"Oregon","eastside","Na0710270_fdd",1403267.971,0.082043711392976
"both",548038.693788274,2017,"Oregon","eastside","Na0710270_fdd",1403267.971,0.390544575315668
"passive",248524.359367819,2017,"Oregon","eastside","Na0710270_fdd",1403267.971,0.177103991898792
"active",2716.22718160926,2017,"Oregon","eastside","Na0710412_fmc",16639.371505,0.163240972220198
"both",113.235193249438,2017,"Oregon","eastside","Na0710412_fmc",16639.371505,0.0068052566297598
"active",84357.5167064969,2017,"Oregon","eastside","Na0710412_fmh",661932.697285,0.127441229376491
"active",4415.8194700927,2017,"Oregon","eastside","Na0710412_fmi",48558.391485,0.0909383390810377
"active",42771.0737914228,2017,"Oregon","eastside","R1RFWF_fcw",149284.8677,0.286506425268599
"active",1180.73315467504,2017,"Oregon","eastside","R1RFWF_frm",3802.50971,0.31051417214528
"active",5888.97688714856,2017,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.0436163772473287
"both",5711.06159049521,2017,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.0422986575745215
"passive",19180.6948059829,2017,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.142060741034544
"active",757.669177969504,2017,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.0344517278668393
"both",1041.24369479672,2017,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.047346052154761
"passive",3022.115845169,2017,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.13741764309174
"active",274.798369821594,2017,"Oregon","eastside","RaABAMlw_fwc",11407.52913,0.0240892104407533
"both",256.800253744976,2017,"Oregon","eastside","RaABAMlw_fwc",11407.52913,0.0225114703472141
"passive",1632.40778401312,2017,"Oregon","eastside","RaABAMlw_fwc",11407.52913,0.143099155427107
"both",39150.3607200253,2017,"Oregon","eastside","RaDFHEdy_fwi",491309.474125,0.0796857434710582
"passive",91034.6749950487,2017,"Oregon","eastside","RaDFHEdy_fwi",491309.474125,0.185289883035896
"active",2152.69721234667,2017,"Oregon","eastside","RaDFHEdy_fwx",110789.849965,0.0194304551637784
"both",8091.2105041367,2017,"Oregon","eastside","RaDFHEdy_fwx",110789.849965,0.0730320557947576
"passive",14039.9820774983,2017,"Oregon","eastside","RaDFHEdy_fwx",110789.849965,0.126726248676514
"passive",4967.08008620035,2017,"Oregon","eastside","RaDFHEwt_fdm",18634.92184,0.266546869841894
"passive",10457.8423169698,2017,"Oregon","eastside","RaDFHEwt_fhc",31311.659235,0.333991956110716
"passive",115016.557967231,2017,"Oregon","eastside","RaDFHEwt_fwm",306700.94139,0.375012079995464
"passive",76829.9171134062,2017,"Oregon","eastside","RaDFHEwt_fwn",176075.681375,0.436345987778837
"passive",15145.6284537918,2017,"Oregon","eastside","RaDFHEwt_fww",32217.696465,0.470102773183844
"active",11770.4973747827,2017,"Oregon","eastside","RaDFWV_fwx",38027.543445,0.309525578264254
"both",567152.716115645,2017,"Oregon","eastside","RaMCONdy_fdd",1523190.91643,0.37234512758579
"passive",34167.3178100454,2017,"Oregon","eastside","RaMCONdy_fdd",1523190.91643,0.0224314085919876
"active",38694.3173311878,2017,"Oregon","eastside","RaMCONdy_fdg",1043084.14564,0.037096065061411
"both",389312.840140749,2017,"Oregon","eastside","RaMCONdy_fdg",1043084.14564,0.373232439365551
"active",468.19739722842,2017,"Oregon","eastside","RaMCONdy_fdx",4451.680715,0.105173175526902
"both",1327.77532635044,2017,"Oregon","eastside","RaMCONdy_fdx",4451.680715,0.298263826935405
"passive",72.5039927426255,2017,"Oregon","eastside","RaMCONdy_fdx",4451.680715,0.0162868807051508
"active",6442.09295604865,2017,"Oregon","eastside","RaMCONdy_fmd",595788.865965,0.0108127112204663
"both",216050.172235186,2017,"Oregon","eastside","RaMCONdy_fmd",595788.865965,0.362628750849933
"active",7907.52833837538,2017,"Oregon","eastside","RaMCONdy_fmx",596169.8286,0.0132638854887119
"both",221002.757970191,2017,"Oregon","eastside","RaMCONdy_fmx",596169.8286,0.370704365380545
"passive",5797.58506452291,2017,"Oregon","eastside","RaMCONdy_fmx",596169.8286,0.00972472068594535
"active",32717.1869068302,2017,"Oregon","eastside","RaMCONms_fcm",1811014.747825,0.0180656656419408
"both",212617.090003906,2017,"Oregon","eastside","RaMCONms_fcm",1811014.747825,0.117402185851471
"passive",141094.655276751,2017,"Oregon","eastside","RaMCONms_fcm",1811014.747825,0.0779091696774992
"active",27911.8331282659,2017,"Oregon","eastside","RaMCONms_fmm",842058.6364,0.0331471371727693
"both",72647.7945069593,2017,"Oregon","eastside","RaMCONms_fmm",842058.6364,0.0862740329076676
"passive",57143.8414731063,2017,"Oregon","eastside","RaMCONms_fmm",842058.6364,0.0678620692228866
"active",43058.2989641845,2017,"Oregon","eastside","RaMCONsw_fdm",252622.9284,0.170444936399465
"both",102502.501396087,2017,"Oregon","eastside","RaMCONsw_fdm",252622.9284,0.405752961717656
"active",265839.992757903,2017,"Oregon","eastside","RaMCONsw_fiw",1105278.24176,0.240518615778223
"both",365306.030125906,2017,"Oregon","eastside","RaMCONsw_fiw",1105278.24176,0.330510469059996
"active",15709.0132834087,2017,"Oregon","eastside","RaMCONsw_fvw",110519.19525,0.142138324911561
"both",43539.1484883655,2017,"Oregon","eastside","RaMCONsw_fvw",110519.19525,0.393951009052118
"active",271294.86985082,2017,"Oregon","eastside","RaMEVG_ftd",430468.873975,0.630231095097889
"active",20019.1777320339,2017,"Oregon","eastside","RaMEVG_fuc",108908.16587,0.183817049640981
"passive",33478.7285322641,2017,"Oregon","eastside","RaMEVG_fuc",108908.16587,0.30740329033019
"active",37201.9374528849,2017,"Oregon","eastside","RaOAPI_fop",77063.648215,0.482743009377069
"active",44194.5106179261,2017,"Oregon","eastside","RaPICOpu_fld",357333.388645,0.123678648629815
"both",17787.231278741,2017,"Oregon","eastside","RaPICOpu_fld",357333.388645,0.0497776917689941
"active",11251.2377403503,2017,"Oregon","eastside","RaPICOpu_flp",24914.91185,0.451586495994377
"both",2222.57501382101,2017,"Oregon","eastside","RaPICOpu_flp",24914.91185,0.0892066175951977
"active",17460.02900625,2017,"Oregon","eastside","RaPICOpu_flw",75354.765035,0.231704378590264
"both",3029.77741404494,2017,"Oregon","eastside","RaPICOpu_flw",75354.765035,0.0402068457467513
"active",33419.6064334268,2017,"Oregon","eastside","RaPIJEsp_fjp",81797.103395,0.408567113581551
"both",616.292000410275,2017,"Oregon","eastside","RaPIJEsp_fjp",81797.103395,0.00753439883358934
"passive",11277.3885964797,2017,"Oregon","eastside","RaPIJEsp_fjp",81797.103395,0.137870268364162
"active",472365.983928385,2017,"Oregon","eastside","RaPIPOm_fdp",1034738.10608,0.456507768635192
"both",177162.395060912,2017,"Oregon","eastside","RaPIPOm_fdp",1034738.10608,0.171214719956602
"passive",9393.87000857556,2017,"Oregon","eastside","RaPIPOm_fdp",1034738.10608,0.00907850010875049
"active",32212.7377745441,2017,"Oregon","eastside","RaPIPOm_fpd",82094.00072,0.392388450946773
"both",12841.3268575104,2017,"Oregon","eastside","RaPIPOm_fpd",82094.00072,0.15642223237857
"active",428773.670328649,2017,"Oregon","eastside","RaPIPOm_fpl",962769.74971,0.445354323251018
"both",129378.462767302,2017,"Oregon","eastside","RaPIPOm_fpl",962769.74971,0.134381520406382
"active",157731.282826639,2017,"Oregon","eastside","RaPIPOxe_fpd",643144.1005,0.24525029881175
"both",194488.15530296,2017,"Oregon","eastside","RaPIPOxe_fpd",643144.1005,0.30240214463875
"active",140347.378168165,2017,"Oregon","eastside","RaPIPOxe_fxp",1010173.466355,0.13893393842008
"both",294141.862866826,2017,"Oregon","eastside","RaPIPOxe_fxp",1010173.466355,0.291179557435987
