"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES"
"Na0210290_fdw",1,"B","C","Thin / low fire","None",1,0,0,1463.73672670021
"Na0210290_fdw",2,"E","D","Thin / low fire","None",1,0,0,4327.66200530594
"Na0210290_fdw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1378.23652405524
"Na0210290_fdw",6,"B","A","Regen / high fire","None",1,0,0,0.741756554339531
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,4721.81623205499
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,130675.152611446
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,321.374212991039
"Na0210350_fvg",2,"E","D","Thin / low fire","None",1,0,0,40.358202525743
"Na0210350_fvg",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,427.486874089548
"Na0210350_fvg",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,134.377987767598
"Na0710270_fdd",1,"B","C","Thin / low fire","None",1,0,0,34062.0060105714
"Na0710270_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,557192.173928133
"Na0710270_fdd",13,"B","E","Grow w/o fire","None",0,0,1,242191.148684117
"Na0710412_fmc",1,"B","A","Regen / high fire","None",1,0,0,662.64088466247
"Na0710412_fmc",4,"E","A","Regen / high fire","None",1,0,0,308.149558076457
"Na0710412_fmc",6,"E","C","Overstory removal","None",1,0,0,1909.96134336834
"Na0710412_fmh",1,"B","A","Regen / high fire","None",1,0,0,88811.7434597189
"Na0710412_fmh",5,"D","C","Overstory removal","None",1,0,0,26671.4752329047
"Na0710412_fmh",7,"B","C","Thin / low fire","None",1,0,0,94184.2000561246
"Na0710412_fmi",1,"B","A","Regen / high fire","None",1,0,0,2041.24481660053
"Na0710412_fmi",5,"D","C","Overstory removal","None",1,0,0,1919.75619627513
"Na0710412_fmi",7,"B","C","Thin / low fire","None",1,0,0,1738.19983152045
"Na1010471_frn",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,50186.9430115587
"Na1010471_frn",6,"B","A","Regen / high fire","None",1,0,0,44983.2333761817
"Na1010471_frn",13,"B","E","Grow w/o fire","None",0,0,1,98204.0412329441
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,109523.30472819
"R1RFWF_fcw",1,"B","C","Thin / low fire","None",1,0,0,6500.55520636472
"R1RFWF_fcw",2,"E","D","Thin / low fire","None",1,0,0,13393.6175378632
