"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","BPS_LLID"
"Na0210290_fdw",1,"B","C","Thin / low fire","None",1,0,0,124.091456875493,"Na0210290_fdw_1710030104"
"Na0210290_fdw",2,"E","D","Thin / low fire","None",1,0,0,245.182534028536,"Na0210290_fdw_1710030104"
"Na0210290_fdw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,248.495902838056,"Na0210290_fdw_1710030104"
"Na0210290_fdw",6,"B","A","Regen / high fire","None",1,0,0,32.1822304760608,"Na0210290_fdw_1710030104"
"Na0210290_fdw",1,"B","C","Thin / low fire","None",1,0,0,182.373425780985,"Na0210290_fdw_1710030105"
"Na0210290_fdw",2,"E","D","Thin / low fire","None",1,0,0,460.59388879252,"Na0210290_fdw_1710030105"
"Na0210290_fdw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,300.638684573372,"Na0210290_fdw_1710030105"
"Na0210290_fdw",6,"B","A","Regen / high fire","None",1,0,0,19.9090282614691,"Na0210290_fdw_1710030105"
"Na0210290_fdw",1,"B","C","Thin / low fire","None",1,0,0,160.405172539942,"Na0210290_fdw_1710030106"
"Na0210290_fdw",2,"E","D","Thin / low fire","None",1,0,0,475.572017594103,"Na0210290_fdw_1710030106"
"Na0210290_fdw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,67.7460019865902,"Na0210290_fdw_1710030106"
"Na0210290_fdw",1,"B","C","Thin / low fire","None",1,0,0,538.28677828653,"Na0210290_fdw_1710030107"
"Na0210290_fdw",2,"E","D","Thin / low fire","None",1,0,0,1567.25803036271,"Na0210290_fdw_1710030107"
"Na0210290_fdw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,286.053705894755,"Na0210290_fdw_1710030107"
"Na0210290_fdw",6,"B","A","Regen / high fire","None",1,0,0,63.3800621233118,"Na0210290_fdw_1710030107"
"Na0210290_fdw",1,"B","C","Thin / low fire","None",1,0,0,205.34445487632,"Na0210290_fdw_1710030108"
"Na0210290_fdw",2,"E","D","Thin / low fire","None",1,0,0,727.311593860952,"Na0210290_fdw_1710030108"
"Na0210290_fdw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,83.0644546368417,"Na0210290_fdw_1710030108"
"Na0210290_fdw",1,"B","C","Thin / low fire","None",1,0,0,72.6837901520618,"Na0210290_fdw_1710030109"
"Na0210290_fdw",2,"E","D","Thin / low fire","None",1,0,0,128.746010758283,"Na0210290_fdw_1710030109"
"Na0210290_fdw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,101.511855808792,"Na0210290_fdw_1710030109"
"Na0210290_fdw",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,33.6663081744786,"Na0210290_fdw_1710030109"
"Na0210290_fdw",1,"B","C","Thin / low fire","None",1,0,0,180.551648188883,"Na0210290_fdw_1710030110"
"Na0210290_fdw",2,"E","D","Thin / low fire","None",1,0,0,722.99792990884,"Na0210290_fdw_1710030110"
"Na0210290_fdw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,257.059610142359,"Na0210290_fdw_1710030110"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,844.255297719535,"Na0210290_fwo_1710030111"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,482.512193221866,"Na0210290_fwo_1710030111"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,9713.08972136545,"Na0210290_fwo_1710030111"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,5.85557207341828,"Na0210290_fwo_1710030201"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,14.7730028187014,"Na0210290_fwo_1710030201"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4.84689270826892,"Na0210290_fwo_1710030201"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,2.0162240096277,"Na0210290_fwo_1710030201"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,105.608991815439,"Na0210290_fwo_1710030202"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,254.481116187035,"Na0210290_fwo_1710030202"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,313.042380141057,"Na0210290_fwo_1710030202"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,30.6059351230084,"Na0210290_fwo_1710030202"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,55.8520808027892,"Na0210290_fwo_1710030203"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,167.705828301044,"Na0210290_fwo_1710030203"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,75.0721471236188,"Na0210290_fwo_1710030203"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,2.30603185795299,"Na0210290_fwo_1710030203"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,72.9513159588924,"Na0210290_fwo_1710030204"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,91.7665333021855,"Na0210290_fwo_1710030204"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,229.511371877919,"Na0210290_fwo_1710030204"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,27.5436616773518,"Na0210290_fwo_1710030204"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,10.8364888871404,"Na0210290_fwo_1710030205"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,346.36421047031,"Na0210290_fwo_1710030205"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,47.2799533208843,"Na0210290_fwo_1710030205"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,3.78794630775158,"Na0210290_fwo_1710030206"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,1.77871334321637,"Na0210290_fwo_1710030206"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,12.7066552215943,"Na0210290_fwo_1710030206"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,0.0137426165833485,"Na0210290_fwo_1710030206"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,5.31056534077656,"Na0210290_fwo_1710030207"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,97.0648920410356,"Na0210290_fwo_1710030207"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,80.8710439324751,"Na0210290_fwo_1710030207"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,0.2081837059697,"Na0210290_fwo_1710030208"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,0.17041267958955,"Na0210290_fwo_1710030208"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,0.5175081700083,"Na0210290_fwo_1710030208"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,0.08282126572925,"Na0210290_fwo_1710030208"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,17.0716235474225,"Na0210290_fwo_1710030209"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,69.2682617298177,"Na0210290_fwo_1710030209"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,817.48275791165,"Na0210290_fwo_1710030209"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,28.5044734281227,"Na0210290_fwo_1710030209"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,53.251932928179,"Na0210290_fwo_1710030210"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,49.2476504755275,"Na0210290_fwo_1710030210"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,630.160575964642,"Na0210290_fwo_1710030210"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,26.9961700221838,"Na0210290_fwo_1710030210"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,162.961560245009,"Na0210290_fwo_1710030211"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,11.6452512486877,"Na0210290_fwo_1710030211"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1722.25337390523,"Na0210290_fwo_1710030211"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,97.6431629680515,"Na0210290_fwo_1710030211"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,67.7175711921541,"Na0210290_fwo_1710030212"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,583.894989720557,"Na0210290_fwo_1710030212"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,2.45670498640948,"Na0210290_fwo_1710030212"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,1088.25551719578,"Na0210290_fwo_1710030213"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,7058.49577946622,"Na0210290_fwo_1710030213"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,816.693039801505,"Na0210290_fwo_1710030301"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,184.738463313097,"Na0210290_fwo_1710030301"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,9836.76526868782,"Na0210290_fwo_1710030301"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,1010.68329772983,"Na0210290_fwo_1710030301"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,46.486051492425,"Na0210290_fwo_1710030501"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,70.4025448973875,"Na0210290_fwo_1710030501"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,97.129767502075,"Na0210290_fwo_1710030501"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,130.264663122063,"Na0210290_fwo_1710030502"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,164.966645022834,"Na0210290_fwo_1710030502"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,312.973371562348,"Na0210290_fwo_1710030502"
