"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","stratID"
"Na0210290_fdw",1,"B","C","Thin / low fire","None",1,0,0,1463.73672670021,"Na0210290_fdw OSW"
"Na0210290_fdw",2,"E","D","Thin / low fire","None",1,0,0,4327.66200530594,"Na0210290_fdw OSW"
"Na0210290_fdw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1378.23652405524,"Na0210290_fdw OSW"
"Na0210290_fdw",6,"B","A","Regen / high fire","None",1,0,0,0.741756554339531,"Na0210290_fdw OSW"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,4721.81623205499,"Na0210290_fwo OSW"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,130675.152611446,"Na0210290_fwo OSW"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,321.374212991039,"Na0210290_fwo OSW"
"Na0210350_fvg",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,370.816578830807,"Na0210350_fvg OEC"
"Na0210350_fvg",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,118.075787810035,"Na0210350_fvg OEC"
"Na0210350_fvg",1,"B","C","Thin / low fire","None",1,0,0,2.16691726883471,"Na0210350_fvg OSW"
"Na0210350_fvg",2,"E","D","Thin / low fire","None",1,0,0,90.7475407692222,"Na0210350_fvg OSW"
"Na0210350_fvg",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,54.503377989907,"Na0210350_fvg OSW"
"Na0210350_fvg",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,13.8317861730665,"Na0210350_fvg OSW"
"Na0710270_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,0.17589472568014,"Na0710270_fdd OEC"
"Na0710270_fdd",6,"B","A","Regen / high fire","None",1,0,0,0.01147663125961,"Na0710270_fdd OEC"
"Na0710270_fdd",7,"C","A","Regen / high fire","None",1,0,0,0.02111061097067,"Na0710270_fdd OEC"
"Na0710270_fdd",19,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,0.08880402926965,"Na0710270_fdd OEC"
"Na0710270_fdd",1,"B","C","Thin / low fire","None",1,0,0,34062.1493819201,"Na0710270_fdd OSW"
"Na0710270_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,557191.998033408,"Na0710270_fdd OSW"
"Na0710270_fdd",13,"B","E","Grow w/o fire","None",0,0,1,242191.059880087,"Na0710270_fdd OSW"
"Na0710412_fmc",1,"B","A","Regen / high fire","None",1,0,0,591.630729288957,"Na0710412_fmc OEC"
"Na0710412_fmc",6,"E","C","Overstory removal","None",1,0,0,561.127184228152,"Na0710412_fmc OEC"
"Na0710412_fmc",7,"B","C","Thin / low fire","None",1,0,0,156.774209551453,"Na0710412_fmc OEC"
"Na0710412_fmc",17,"B","D","Thin / low fire","Grow w/ fire",0,1,0,107.653432684186,"Na0710412_fmc OEC"
"Na0710412_fmc",4,"E","A","Regen / high fire","None",1,0,0,379.15971344997,"Na0710412_fmc OSW"
"Na0710412_fmc",6,"E","C","Overstory removal","None",1,0,0,1192.05994958873,"Na0710412_fmc OSW"
"Na0710412_fmh",1,"B","A","Regen / high fire","None",1,0,0,35353.7447331472,"Na0710412_fmh OEC"
"Na0710412_fmh",7,"B","C","Thin / low fire","None",1,0,0,37985.7175315033,"Na0710412_fmh OEC"
"Na0710412_fmh",1,"B","A","Regen / high fire","None",1,0,0,17637.4338567721,"Na0710412_fmh OSW"
"Na0710412_fmh",4,"E","A","Regen / high fire","None",1,0,0,2521.23444084141,"Na0710412_fmh OSW"
"Na0710412_fmh",6,"E","C","Overstory removal","None",1,0,0,20104.4339324038,"Na0710412_fmh OSW"
"Na0710412_fmh",11,"D","E","Grow w/o fire","None",0,0,1,0.88101487378802,"Na0710412_fmh WCB"
"Na0710412_fmh",18,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,7.12844528169792,"Na0710412_fmh WCB"
"Na0710412_fmh",19,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,7.55123097641975,"Na0710412_fmh WCB"
"Na0710412_fmh",1,"B","A","Regen / high fire","None",1,0,0,33313.5830629774,"Na0710412_fmh WEC"
"Na0710412_fmh",5,"D","C","Overstory removal","None",1,0,0,35895.7115910194,"Na0710412_fmh WEC"
"Na0710412_fmh",7,"B","C","Thin / low fire","None",1,0,0,22096.3988678421,"Na0710412_fmh WEC"
"Na0710412_fmh",10,"B","E","Grow w/o fire","None",0,0,1,28746.0218453596,"Na0710412_fmh WEC"
"Na0710412_fmh",5,"D","C","Overstory removal","None",1,0,0,37.9488473534352,"Na0710412_fmh WNE"
"Na0710412_fmh",10,"B","E","Grow w/o fire","None",0,0,1,500.437362186167,"Na0710412_fmh WNE"
"Na0710412_fmh",11,"D","E","Grow w/o fire","None",0,0,1,76.0474441506086,"Na0710412_fmh WNE"
"Na0710412_fmi",1,"B","A","Regen / high fire","None",1,0,0,444.960221866014,"Na0710412_fmi OEC"
"Na0710412_fmi",5,"D","C","Overstory removal","None",1,0,0,545.717599316504,"Na0710412_fmi OEC"
"Na0710412_fmi",7,"B","C","Thin / low fire","None",1,0,0,1427.95319557177,"Na0710412_fmi OEC"
"Na0710412_fmi",10,"B","E","Grow w/o fire","None",0,0,1,1926.27762276282,"Na0710412_fmi OEC"
"Na0710412_fmi",3,"D","A","Regen / high fire","None",1,0,0,1374.03859695863,"Na0710412_fmi OSW"
"Na0710412_fmi",4,"E","A","Regen / high fire","None",1,0,0,222.245997775885,"Na0710412_fmi OSW"
"Na0710412_fmi",6,"E","C","Overstory removal","None",1,0,0,1909.5596340491,"Na0710412_fmi OSW"
"Na1010471_frn",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,2.26348867521495,"Na1010471_frn WCB"
"Na1010471_frn",6,"B","A","Regen / high fire","None",1,0,0,2.35738520638433,"Na1010471_frn WCB"
"Na1010471_frn",13,"B","E","Grow w/o fire","None",0,0,1,0.0420863834080496,"Na1010471_frn WCB"
"Na1010471_frn",20,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,10.4639840680946,"Na1010471_frn WCB"
"Na1010471_frn",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,50184.6795228835,"Na1010471_frn WNE"
"Na1010471_frn",6,"B","A","Regen / high fire","None",1,0,0,44980.8759909753,"Na1010471_frn WNE"
