"","BpS_Code","type","REST_ACRES","AREA_TOTAL","REST_PCT"
"1","Na0210290_fdw","active",5792.1404885605,9812.734585,0.590267721845296
"2","Na0210290_fdw","both",1378.23652405524,9812.734585,0.140453867585704
"3","Na0210290_fwo","active",4721.81623205499,227312.15345,0.0207723879273072
"4","Na0210290_fwo","both",130675.152611446,227312.15345,0.574870945649588
"5","Na0210290_fwo","passive",321.374212991039,227312.15345,0.00141380127772943
"6","Na0210350_fvg","active",40.358202525743,2052.038665,0.0196673694380622
"7","Na0210350_fvg","both",427.486874089548,2052.038665,0.208323011345183
"8","Na0210350_fvg","passive",134.377987767598,2052.038665,0.065485114905278
"9","Na0710270_fdd","active",34062.0060105714,1424152.19587,0.023917391771294
"10","Na0710270_fdd","both",557192.173928133,1424152.19587,0.391244823091222
"11","Na0710270_fdd","passive",242191.148684117,1424152.19587,0.170059878000725
"12","Na0710412_fmc","active",2880.75178610726,17604.121015,0.163640762503998
"13","Na0710412_fmh","active",209667.418748748,1432697.723745,0.146344490728085
"14","Na0710412_fmi","active",5699.20084439611,49975.492425,0.114039913722693
"15","Na1010471_frn","active",44983.2333761817,700526.90319,0.0642134273092737
"16","Na1010471_frn","both",50186.9430115587,700526.90319,0.0716417068110042
"17","Na1010471_frn","passive",207727.345961134,700526.90319,0.296530147543517
"18","R1RFWF_fcw","active",33656.0197787198,149811.276665,0.224656117536329
"19","R1RFWF_fcw","both",4395.22920221761,149811.276665,0.0293384403368111
"20","R1RFWF_frm","active",925.950452899155,3956.629445,0.23402506243522
"21","R1RFWF_frm","both",39.3726415006943,3956.629445,0.00995105608144567
"22","RaABAMlw_fsi","active",27777.9462868846,476499.52389,0.0582958531838894
"23","RaABAMlw_fsi","both",22193.7375850245,476499.52389,0.0465766206938498
"24","RaABAMlw_fsi","passive",86001.1660581649,476499.52389,0.180485313723038
"25","RaABAMlw_fsw","active",710.554798856332,22454.77836,0.0316438126203946
"26","RaABAMlw_fsw","both",914.852207716161,22454.77836,0.0407419834232628
"27","RaABAMlw_fsw","passive",3081.41504091036,22454.77836,0.137227586552333
"28","RaABAMlw_fwc","active",277.342055981548,11571.21185,0.0239682809006343
"29","RaABAMlw_fwc","both",150.507911778007,11571.21185,0.013007100183548
"30","RaABAMlw_fwc","passive",2005.9345518139,11571.21185,0.173355615454738
"31","RaABLA_faf","active",1478.64562000413,15494.037255,0.0954332041203118
"32","RaABLA_faf","both",173.385110062564,15494.037255,0.0111904410199228
"33","RaABLA_faf","passive",2021.71773584475,15494.037255,0.130483598468975
"34","RaDFHEdy_fwi","both",41399.0426213391,504928.499135,0.0819899108334356
"35","RaDFHEdy_fwi","passive",113935.115249122,504928.499135,0.2256460378931
"36","RaDFHEdy_fwx","active",924.157215618794,111348.506205,0.00829968220604019
"37","RaDFHEdy_fwx","both",8814.02433224916,111348.506205,0.0791570954353168
"38","RaDFHEdy_fwx","passive",21070.9503441607,111348.506205,0.189234243568276
"39","RaDFHEwt_fdm","passive",6410.22497579411,18903.797395,0.339097211097364
"40","RaDFHEwt_fhc","passive",15798.2312477906,32364.032375,0.488141621684762
"41","RaDFHEwt_fwc","active",0.007248822469805,0.222395,0.032594359
"42","RaDFHEwt_fwc","both",0.03271156859671,0.222395,0.147087698
"43","RaDFHEwt_fwc","passive",0.163992209107505,0.222395,0.737391619
"44","RaDFHEwt_fwm","passive",130454.438292765,310187.6502,0.420566190203419
"45","RaDFHEwt_fwn","passive",98538.9779536913,189747.636395,0.519315970548173
"46","RaDFHEwt_fww","passive",19422.9143193195,35261.17204,0.550830082938998
"47","RaDFWV_fwx","active",5337.56612509157,41424.62707,0.128850070661398
"48","RaDFWV_fwx","both",3213.30708543803,41424.62707,0.077569970153458
"49","RaMCONdy_fdd","active",120387.160839082,4450739.98415,0.0270487966647806
"50","RaMCONdy_fdd","both",1662164.72660202,4450739.98415,0.373458061473223
"51","RaMCONdy_fdd","passive",169451.106725273,4450739.98415,0.0380725693544722
"52","RaMCONdy_fdg","active",35757.40236614,1068799.67949,0.0334556634440631
"53","RaMCONdy_fdg","both",391297.268709098,1068799.67949,0.36610908126003
"54","RaMCONdy_fdx","active",1055.5987350113,4582.22658,0.230368079051058
"55","RaMCONdy_fdx","both",1167.8393935534,4582.22658,0.254862864846243
"56","RaMCONdy_fmd","active",31597.5647030019,2099708.14367,0.0150485508180074
"57","RaMCONdy_fmd","both",773636.237554911,2099708.14367,0.368449415166196
"58","RaMCONdy_fmx","both",221829.048439724,597623.84711,0.371185068187037
"59","RaMCONdy_fmx","passive",7976.98533533814,597623.84711,0.0133478363922614
"60","RaMCONms_fcm","active",75744.1227718985,2262327.37078,0.0334806198917992
"61","RaMCONms_fcm","both",248865.951409006,2262327.37078,0.110004393980878
"62","RaMCONms_fcm","passive",186068.970724045,2262327.37078,0.0822467044899398
"63","RaMCONms_fmm","active",90283.2375977402,1785060.58414,0.0505771279697135
"64","RaMCONms_fmm","both",6985.11364472681,1785060.58414,0.00391309611941943
"65","RaMCONms_fmm","passive",103639.981145311,1785060.58414,0.0580596435023759
