"BpS_Code","SCLASS","AREA_PCT","AREA","AREA_TOTAL","avg","low","high","departure"
"Na0210290_fdw","A",7.44056387824944,730.86454155434,9812.734585,908.461417467235,730.86454155434,1086.0582835674,0
"Na0210290_fdw","B",36.2600004532783,715.382597690201,9812.734585,107.244769687776,46.4846311449628,168.004908230589,547.377689459612
"Na0210290_fdw","C",3.80527162704259,1837.13793170021,9812.734585,2078.30969963343,1837.13793170021,2319.4816540086,0
"Na0210290_fdw","D",3.71688235160801,6070.62632936119,9812.734585,6370.62700135627,6070.62632936119,6670.62767335136,0
"Na0210290_fdw","E",48.7772816898216,458.723184694057,9812.734585,348.091588915207,237.459973510887,458.723184694057,0
"Na0210290_fwo","A",11.2245257359775,25193.336952009,227312.15345,21044.5232510808,16930.4887829047,25158.5574919446,34.7794600643465
"Na0210290_fwo","B",59.1992055649588,3891.83638355433,227312.15345,2484.32680338084,1076.81722320735,3891.83638355433,0
"Na0210290_fwo","C",20.6651925917954,46974.494295,227312.15345,48144.0773993682,42557.329541738,53730.8295759293,0
"Na0210290_fwo","D",2.15906311453757,140626.155916492,227312.15345,147575.676276687,140626.155916492,154525.196636882,0
"Na0210290_fwo","E",6.75201299273072,10626.329902945,227312.15345,8063.54721904952,5500.76408052972,10626.329902945,0
"Na0210350_fvg","A",12.9294461905278,130.939247232402,2052.038665,103.744278550342,76.549305764204,130.939247232402,0
"Na0210350_fvg","B",32.8600845345183,246.814765910452,2052.038665,208.956526052503,171.098265674167,246.814765910452,2.8421709430404e-14
"Na0210350_fvg","C",8.6160182074347,176.804025,2052.038665,184.545043165543,148.303852868426,220.786214994312,0
"Na0210350_fvg","D",8.82193562371302,783.25259438289,2052.038665,901.892301636997,834.52894080055,969.255662473445,-51.2763464176604
"Na0210350_fvg","E",36.7725154438062,714.228032474257,2052.038665,652.900536115002,591.573078744481,714.228032474257,0
"Na0710270_fdd","A",8.35937814759141,119050.26745,1424152.19587,128553.470597764,104339.559296749,152767.383322931,0
"Na0710270_fdd","B",72.8853729387327,204553.310552179,1424152.19587,89834.4424322673,67528.321140383,112140.556603391,92412.7539487879
"Na0710270_fdd","C",15.3747689228706,253022.115235571,1424152.19587,285550.46346534,253022.115235571,318078.811695109,0
"Na0710270_fdd","D",0.421084290877814,563189.055103133,1424152.19587,602095.185535819,563189.055103133,641001.263274873,0
"Na0710270_fdd","E",2.95939569992751,284337.447529117,1424152.19587,318118.63383881,284337.447529117,351899.845783242,0
"Na0710412_fmc","A",7.11497403893528,2223.31908273893,17604.121015,2596.79051007215,2223.31908273893,2970.26193740538,0
"Na0710412_fmc","B",28.9803807622826,4439.10041533753,17604.121015,3994.59306773815,3550.08538566047,4439.10041533753,0
"Na0710412_fmc","C",2.81844941066488,2406.12458836834,17604.121015,2806.61339470158,2406.12458836834,3207.10204259774,0
"Na0710412_fmc","D",3.681291610344,648.05903,17604.121015,867.240140311185,617.918572486223,1116.56172574027,0
"Na0710412_fmc","E",57.4049041777733,7887.51789855521,17604.121015,7338.88381415633,6862.26223681594,7815.50607805744,72.0118204977716
"Na0710412_fmh","A",6.43062055087051,180943.097714719,1432697.723745,211337.779923969,180943.097714719,241732.462133219,0
"Na0710412_fmh","B",39.1586262371877,378028.803234157,1432697.723745,325096.856046351,288920.943386059,361272.741485387,16756.0617487695
"Na0710412_fmh","C",5.23243007632102,195820.581889029,1432697.723745,228414.052516168,195820.581889029,261007.510249027,0
"Na0710412_fmh","D",8.20424173305386,90870.5093270953,1432697.723745,70579.6656308733,50288.823367349,90870.5093270953,0
"Na0710412_fmh","E",40.974081402567,587034.73158,1432697.723745,597269.36246415,558479.885366061,636058.89543745,0
"Na0710412_fmi","A",8.54504594708853,6311.67360660053,49975.492425,7371.9036783969,6311.67360660053,8432.13375019328,0
"Na0710412_fmi","B",32.7788532140712,12601.948656879,49975.492425,11340.0581277307,10078.166649048,12601.948656879,0
"Na0710412_fmi","C",5.89769263289055,6605.35696279558,49975.492425,7967.55977349275,6830.63136393737,9104.4877332687,-225.274401141789
"Na0710412_fmi","D",10.1840108581982,3169.75337872487,49975.492425,2461.96632174069,1754.17931473201,3169.75337872487,0
"Na0710412_fmi","E",42.5943973477516,21286.75982,49975.492425,20834.0042737615,19480.9462024343,22187.0642941329,0
"Na1010471_frn","A",3.65272536907263,70571.5572861817,700526.90319,84670.7687459143,70571.5572861817,98769.9872109161,0
"Na1010471_frn","B",65.4063179977155,264814.636339316,700526.90319,244663.291351109,224511.945662376,264814.636339316,0
"Na1010471_frn","C",24.485272968664,62002.6197368104,700526.90319,34691.4624765914,24904.02422865,44478.9014250597,17523.7183117506
"Na1010471_frn","D",0.374929918899579,52813.4279615587,700526.90319,65445.0138427744,52813.4279615587,78076.5990234631,0
"Na1010471_frn","E",6.08075374564831,250324.661866134,700526.90319,271056.376580987,250324.661866134,291788.065376345,0
"R1RFWF_fcw","A",5.6221024394806,22184.3904744919,149811.276665,25356.8289751774,22184.3904744919,28529.2689739756,0
"R1RFWF_fcw","B",45.1732190069579,43016.9446619258,149811.276665,37697.9003775184,33720.2527813545,41675.5451272681,1341.39953465774
"R1RFWF_fcw","C",2.55705308724264,10331.3090813647,149811.276665,13143.7115340472,10331.3090813647,15956.114735786,0
"R1RFWF_fcw","D",2.55527168596271,21616.9318750808,149811.276665,24869.3582118484,21616.9318750808,28121.788893143,0
