"YEAR","sclass","AREA_TOTAL"
2002,"A",5730552.04275
2002,"B",22135221.20845
2002,"C",8067074.38864
2002,"D",1260530.4121
2002,"E",12818034.056695
2003,"A",5839786.017295
2003,"B",22078161.990485
2003,"C",8036039.61118
2003,"D",1298683.831115
2003,"E",12758740.65856
2004,"A",5839190.443485
2004,"B",22145724.257115
2004,"C",8000039.64295
2004,"D",1300390.71274
2004,"E",12726067.052345
2005,"A",5777168.036305
2005,"B",22274562.128515
2005,"C",7947234.396545
2005,"D",1300241.2633
2005,"E",12712206.28397
2006,"A",5770541.554885
2006,"B",22402894.05129
2006,"C",7868689.820025
2006,"D",1299369.4749
2006,"E",12669917.207535
2007,"A",5834534.826555
2007,"B",22496582.170545
2007,"C",7776413.241835
2007,"D",1296397.38812
2007,"E",12607484.48158
2008,"A",5778203.507425
2008,"B",22617043.97906
2008,"C",7701517.50008
2008,"D",1296614.223245
2008,"E",12618032.898825
2009,"A",5684881.672735
2009,"B",22767171.946205
2009,"C",7610361.125505
2009,"D",1299892.325545
2009,"E",12649105.038645
2010,"A",5592586.63576
2010,"B",22905226.0888
2010,"C",7526033.834195
2010,"D",1307157.525405
2010,"E",12680408.024475
2011,"A",5509859.25408
2011,"B",23000805.67753
2011,"C",7450443.108065
2011,"D",1317562.053085
2011,"E",12732742.015875
2012,"A",5465028.86998
2012,"B",23033940.975765
2012,"C",7377261.809365
2012,"D",1338526.340155
2012,"E",12796654.11337
2013,"A",5474872.51747
2013,"B",23028619.952995
2013,"C",7323320.346905
2013,"D",1364696.449385
2013,"E",12819902.84188
2014,"A",5474561.60926
2014,"B",22989029.41749
2014,"C",7292119.88517
2014,"D",1401498.59638
2014,"E",12854202.600335
2015,"A",5487834.14286
2015,"B",22948031.34403
2015,"C",7260567.149755
2015,"D",1439671.141365
2015,"E",12875308.330625
2016,"A",5422851.21344
2016,"B",22964998.970555
2016,"C",7266087.21605
2016,"D",1477368.20584
2016,"E",12880106.50275
2017,"A",5585862.522935
2017,"B",22857360.01295
2017,"C",7227789.240285
2017,"D",1508354.94598
2017,"E",12832045.386485
