"YEAR","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
2002,"Na0210290","fdw","Na0210290_fdw","A",7396.190515
2002,"Na0210290","fdw","Na0210290_fdw","B",28843.074735
2002,"Na0210290","fdw","Na0210290_fdw","C",1469.14137
2002,"Na0210290","fdw","Na0210290_fdw","D",153.230155
2002,"Na0210290","fdw","Na0210290_fdw","E",19585.660465
2002,"Na0210290","fwo","Na0210290_fwo","A",23892.33964
2002,"Na0210290","fwo","Na0210290_fwo","B",147719.65169
2002,"Na0210290","fwo","Na0210290_fwo","C",27580.98311
2002,"Na0210290","fwo","Na0210290_fwo","D",601.80087
2002,"Na0210290","fwo","Na0210290_fwo","E",16514.16312
2002,"Na0210350","fvg","Na0210350_fvg","A",13483.80885
2002,"Na0210350","fvg","Na0210350_fvg","B",25466.45145
2002,"Na0210350","fvg","Na0210350_fvg","C",3264.536205
2002,"Na0210350","fvg","Na0210350_fvg","D",177.916
2002,"Na0210350","fvg","Na0210350_fvg","E",50715.84538
2002,"Na0710270","fdd","Na0710270_fdd","A",51303.85776
2002,"Na0710270","fdd","Na0710270_fdd","B",1133044.035115
2002,"Na0710270","fdd","Na0710270_fdd","C",185717.6166
2002,"Na0710270","fdd","Na0710270_fdd","D",3892.80208
2002,"Na0710270","fdd","Na0710270_fdd","E",29309.659445
2002,"Na0710411","fmt","Na0710411_fmt","A",17466.680905
2002,"Na0710411","fmt","Na0710411_fmt","B",184226.458125
2002,"Na0710411","fmt","Na0710411_fmt","C",87400.567815
2002,"Na0710411","fmt","Na0710411_fmt","D",15560.755755
2002,"Na0710411","fmt","Na0710411_fmt","E",198948.33994
2002,"Na0710412","fmc","Na0710412_fmc","A",43364.80105
2002,"Na0710412","fmc","Na0710412_fmc","B",209171.3933
2002,"Na0710412","fmc","Na0710412_fmc","C",21733.551375
2002,"Na0710412","fmc","Na0710412_fmc","D",21508.932425
2002,"Na0710412","fmc","Na0710412_fmc","E",537258.505075
2002,"Na0710412","fmh","Na0710412_fmh","A",78754.96219
2002,"Na0710412","fmh","Na0710412_fmh","B",473083.53669
2002,"Na0710412","fmh","Na0710412_fmh","C",54894.20264
2002,"Na0710412","fmh","Na0710412_fmh","D",93863.811305
2002,"Na0710412","fmh","Na0710412_fmh","E",719444.933865
2002,"Na0710412","fmi","Na0710412_fmi","A",7609.02253
2002,"Na0710412","fmi","Na0710412_fmi","B",34916.682185
2002,"Na0710412","fmi","Na0710412_fmi","C",4049.81295
2002,"Na0710412","fmi","Na0710412_fmi","D",4268.427235
2002,"Na0710412","fmi","Na0710412_fmi","E",56820.14334
2002,"Na1010471","frn","Na1010471_frn","A",18262.410215
2002,"Na1010471","frn","Na1010471_frn","B",486219.07497
2002,"Na1010471","frn","Na1010471_frn","C",145619.575705
2002,"Na1010471","frn","Na1010471_frn","D",1458.9112
2002,"Na1010471","frn","Na1010471_frn","E",34439.64491
2002,"R1RFWF","fcw","R1RFWF_fcw","A",4252.859585
2002,"R1RFWF","fcw","R1RFWF_fcw","B",63900.31056
2002,"R1RFWF","fcw","R1RFWF_fcw","C",5831.864085
2002,"R1RFWF","fcw","R1RFWF_fcw","D",1633.046485
2002,"R1RFWF","fcw","R1RFWF_fcw","E",73936.774515
2002,"R1RFWF","frm","R1RFWF_frm","A",63.60497
2002,"R1RFWF","frm","R1RFWF_frm","B",1585.453955
2002,"R1RFWF","frm","R1RFWF_frm","C",121.205275
2002,"R1RFWF","frm","R1RFWF_frm","D",64.49455
2002,"R1RFWF","frm","R1RFWF_frm","E",1967.75096
2002,"RaABAMlw","fsi","RaABAMlw_fsi","A",104776.733955
2002,"RaABAMlw","fsi","RaABAMlw_fsi","B",1041823.833175
2002,"RaABAMlw","fsi","RaABAMlw_fsi","C",262923.82001
2002,"RaABAMlw","fsi","RaABAMlw_fsi","D",22938.26509
2002,"RaABAMlw","fsi","RaABAMlw_fsi","E",870524.084425
2002,"RaABAMlw","fsw","RaABAMlw_fsw","A",12872.889785
2002,"RaABAMlw","fsw","RaABAMlw_fsw","B",125707.661775
2002,"RaABAMlw","fsw","RaABAMlw_fsw","C",34549.730435
2002,"RaABAMlw","fsw","RaABAMlw_fsw","D",6811.291665
2002,"RaABAMlw","fsw","RaABAMlw_fsw","E",125464.806435
2002,"RaABAMlw","fwc","RaABAMlw_fwc","A",31053.236245
2002,"RaABAMlw","fwc","RaABAMlw_fwc","B",186589.84979
