"YEAR","ew","MAP_ZONE","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
"2003","eastside","OBM","RaMCONdy","fdd","RaMCONdy_fdd","A",78142.48636
"2003","eastside","OBM","RaMCONdy","fdd","RaMCONdy_fdd","B",170581.190505
"2003","eastside","OBM","RaMCONdy","fdd","RaMCONdy_fdd","C",185502.560635
"2003","eastside","OBM","RaMCONdy","fdd","RaMCONdy_fdd","D",18233.054075
"2003","eastside","OBM","RaMCONdy","fdd","RaMCONdy_fdd","E",80390.232625
"2003","eastside","OBM","RaMCONdy","fdg","RaMCONdy_fdg","A",66981.593285
"2003","eastside","OBM","RaMCONdy","fdg","RaMCONdy_fdg","B",171419.174865
"2003","eastside","OBM","RaMCONdy","fdg","RaMCONdy_fdg","C",157911.12496
"2003","eastside","OBM","RaMCONdy","fdg","RaMCONdy_fdg","D",11440.44359
"2003","eastside","OBM","RaMCONdy","fdg","RaMCONdy_fdg","E",63832.035295
"2003","eastside","OBM","RaMCONms","fcm","RaMCONms_fcm","A",95138.134655
"2003","eastside","OBM","RaMCONms","fcm","RaMCONms_fcm","B",179524.583035
"2003","eastside","OBM","RaMCONms","fcm","RaMCONms_fcm","C",249883.244395
"2003","eastside","OBM","RaMCONms","fcm","RaMCONms_fcm","D",22150.542
"2003","eastside","OBM","RaMCONms","fcm","RaMCONms_fcm","E",99737.93044
"2003","eastside","OBM","RaPIPOm","fdp","RaPIPOm_fdp","A",59749.97507
"2003","eastside","OBM","RaPIPOm","fdp","RaPIPOm_fdp","B",169903.775335
"2003","eastside","OBM","RaPIPOm","fdp","RaPIPOm_fdp","C",139958.733375
"2003","eastside","OBM","RaPIPOm","fdp","RaPIPOm_fdp","D",11057.257005
"2003","eastside","OBM","RaPIPOm","fdp","RaPIPOm_fdp","E",58422.054525
"2003","eastside","OBM","RaPIPOm","fpd","RaPIPOm_fpd","A",4.4479
"2003","eastside","OBM","RaPIPOm","fpd","RaPIPOm_fpd","B",0.222395
"2003","eastside","OBM","RaPIPOm","fpd","RaPIPOm_fpd","C",0.667185
"2003","eastside","OBM","RaPIPOm","fpd","RaPIPOm_fpd","D",0.222395
"2003","eastside","OBM","RaPIPOm","fpd","RaPIPOm_fpd","E",0.667185
"2003","eastside","OBM","RaPIPOxe","fxp","RaPIPOxe_fxp","A",26540.17451
"2003","eastside","OBM","RaPIPOxe","fxp","RaPIPOxe_fxp","B",63069.220445
"2003","eastside","OBM","RaPIPOxe","fxp","RaPIPOxe_fxp","C",45821.598615
"2003","eastside","OBM","RaPIPOxe","fxp","RaPIPOxe_fxp","D",3430.66527
"2003","eastside","OBM","RaPIPOxe","fxp","RaPIPOxe_fxp","E",21025.000905
"2003","eastside","OBM","RaSAWD","fsw","RaSAWD_fsw","A",6114.750525
"2003","eastside","OBM","RaSAWD","fsw","RaSAWD_fsw","B",11435.10611
"2003","eastside","OBM","RaSAWD","fsw","RaSAWD_fsw","C",18776.36506
"2003","eastside","OBM","RaSAWD","fsw","RaSAWD_fsw","D",1477.369985
"2003","eastside","OBM","RaSAWD","fsw","RaSAWD_fsw","E",5196.259175
"2003","eastside","OBM","RaSPFI","fcd","RaSPFI_fcd","A",41945.47616
