"YEAR","ew","BpS","PVT","BpS_Code","BPS_LLID","sclass","AREA_TOTAL"
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","A",4.670295
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","B",379.85066
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","C",15.12286
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","D",7.783825
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","E",389.413645
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","A",8.8958
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","B",516.40119
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","C",21.572315
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","D",10.007775
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","E",673.189665
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","A",3.55832
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","B",300.455645
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","C",3.335925
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","D",2.001555
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","E",569.77599
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","A",18.68118
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","B",1329.47731
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","C",24.241055
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","D",14.900465
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","E",1636.604805
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","A",181.91911
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","B",398.309445
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","C",124.318805
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","D",121.42767
"2012","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","E",855.998355
