"YEAR","STATE","ew","MAP_ZONE","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
"2004","Oregon","eastside","OBM","RaMCONdy","fdd","RaMCONdy_fdd","A",76238.34037
"2004","Oregon","eastside","OBM","RaMCONdy","fdd","RaMCONdy_fdd","B",170588.08475
"2004","Oregon","eastside","OBM","RaMCONdy","fdd","RaMCONdy_fdd","C",181303.298245
"2004","Oregon","eastside","OBM","RaMCONdy","fdd","RaMCONdy_fdd","D",17959.063435
"2004","Oregon","eastside","OBM","RaMCONdy","fdd","RaMCONdy_fdd","E",79735.056955
"2004","Oregon","eastside","OBM","RaMCONdy","fdg","RaMCONdy_fdg","A",65775.322805
"2004","Oregon","eastside","OBM","RaMCONdy","fdg","RaMCONdy_fdg","B",173581.52145
"2004","Oregon","eastside","OBM","RaMCONdy","fdg","RaMCONdy_fdg","C",156160.209125
"2004","Oregon","eastside","OBM","RaMCONdy","fdg","RaMCONdy_fdg","D",11363.49492
"2004","Oregon","eastside","OBM","RaMCONdy","fdg","RaMCONdy_fdg","E",64627.09742
"2004","Oregon","eastside","OBM","RaMCONms","fcm","RaMCONms_fcm","A",92541.67303
"2004","Oregon","eastside","OBM","RaMCONms","fcm","RaMCONms_fcm","B",180831.376055
"2004","Oregon","eastside","OBM","RaMCONms","fcm","RaMCONms_fcm","C",245905.70982
"2004","Oregon","eastside","OBM","RaMCONms","fcm","RaMCONms_fcm","D",21855.423835
"2004","Oregon","eastside","OBM","RaMCONms","fcm","RaMCONms_fcm","E",99661.204165
"2004","Oregon","eastside","OBM","RaPIPOm","fdp","RaPIPOm_fdp","A",58514.79324
"2004","Oregon","eastside","OBM","RaPIPOm","fdp","RaPIPOm_fdp","B",171129.39418
"2004","Oregon","eastside","OBM","RaPIPOm","fdp","RaPIPOm_fdp","C",137563.094435
"2004","Oregon","eastside","OBM","RaPIPOm","fdp","RaPIPOm_fdp","D",11020.56183
"2004","Oregon","eastside","OBM","RaPIPOm","fdp","RaPIPOm_fdp","E",58664.68747
"2004","Oregon","eastside","OBM","RaPIPOm","fpd","RaPIPOm_fpd","A",1.556765
"2004","Oregon","eastside","OBM","RaPIPOm","fpd","RaPIPOm_fpd","B",0.222395
"2004","Oregon","eastside","OBM","RaPIPOm","fpd","RaPIPOm_fpd","C",0.222395
"2004","Oregon","eastside","OBM","RaPIPOxe","fxp","RaPIPOxe_fxp","A",26215.03302
"2004","Oregon","eastside","OBM","RaPIPOxe","fxp","RaPIPOxe_fxp","B",63579.839365
"2004","Oregon","eastside","OBM","RaPIPOxe","fxp","RaPIPOxe_fxp","C",45452.64531
