"YEAR","STATE","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
"2008","Oregon","Na0210290","fdw","Na0210290_fdw","A",7436.44401
"2008","Oregon","Na0210290","fdw","Na0210290_fdw","B",28730.098075
"2008","Oregon","Na0210290","fdw","Na0210290_fdw","C",1381.295345
"2008","Oregon","Na0210290","fdw","Na0210290_fdw","D",167.68583
"2008","Oregon","Na0210290","fdw","Na0210290_fdw","E",19731.77398
"2008","Oregon","Na0210290","fwo","Na0210290_fwo","A",24378.05032
"2008","Oregon","Na0210290","fwo","Na0210290_fwo","B",151093.82863
"2008","Oregon","Na0210290","fwo","Na0210290_fwo","C",24501.479545
"2008","Oregon","Na0210290","fwo","Na0210290_fwo","D",623.59558
"2008","Oregon","Na0210290","fwo","Na0210290_fwo","E",15711.984355
"2008","Oregon","Na0210350","fvg","Na0210350_fvg","A",14064.926985
"2008","Oregon","Na0210350","fvg","Na0210350_fvg","B",27324.561675
"2008","Oregon","Na0210350","fvg","Na0210350_fvg","C",3001.88771
"2008","Oregon","Na0210350","fvg","Na0210350_fvg","D",311.575395
"2008","Oregon","Na0210350","fvg","Na0210350_fvg","E",48405.60612
"2008","Oregon","Na0710270","fdd","Na0710270_fdd","A",56326.42644
"2008","Oregon","Na0710270","fdd","Na0710270_fdd","B",1130117.09452
"2008","Oregon","Na0710270","fdd","Na0710270_fdd","C",181360.676155
"2008","Oregon","Na0710270","fdd","Na0710270_fdd","D",5142.439585
"2008","Oregon","Na0710270","fdd","Na0710270_fdd","E",30321.3343
"2008","Oregon","Na0710412","fmc","Na0710412_fmc","A",18155.43822
"2008","Oregon","Na0710412","fmc","Na0710412_fmc","B",74638.43074
"2008","Oregon","Na0710412","fmc","Na0710412_fmc","C",6103.185985
"2008","Oregon","Na0710412","fmc","Na0710412_fmc","D",5468.025865
"2008","Oregon","Na0710412","fmc","Na0710412_fmc","E",191875.956545
"2008","Oregon","Na0710412","fmh","Na0710412_fmh","A",24871.76722
"2008","Oregon","Na0710412","fmh","Na0710412_fmh","B",218283.583635
"2008","Oregon","Na0710412","fmh","Na0710412_fmh","C",18712.537695
"2008","Oregon","Na0710412","fmh","Na0710412_fmh","D",31504.698095
"2008","Oregon","Na0710412","fmh","Na0710412_fmh","E",369202.609795
"2008","Oregon","Na0710412","fmi","Na0710412_fmi","A",5711.770785
"2008","Oregon","Na0710412","fmi","Na0710412_fmi","B",20897.12378
"2008","Oregon","Na0710412","fmi","Na0710412_fmi","C",2651.615585
"2008","Oregon","Na0710412","fmi","Na0710412_fmi","D",3849.435055
"2008","Oregon","Na0710412","fmi","Na0710412_fmi","E",37170.433115
"2008","Oregon","R1RFWF","fcw","R1RFWF_fcw","A",2691.201895
"2008","Oregon","R1RFWF","fcw","R1RFWF_fcw","B",66126.706905
"2008","Oregon","R1RFWF","fcw","R1RFWF_fcw","C",5029.462925
"2008","Oregon","R1RFWF","fcw","R1RFWF_fcw","D",1667.740105
"2008","Oregon","R1RFWF","fcw","R1RFWF_fcw","E",74039.7434
"2008","Oregon","R1RFWF","frm","R1RFWF_frm","A",35.360805
"2008","Oregon","R1RFWF","frm","R1RFWF_frm","B",1648.169345
"2008","Oregon","R1RFWF","frm","R1RFWF_frm","C",87.17884
"2008","Oregon","R1RFWF","frm","R1RFWF_frm","D",66.7185
"2008","Oregon","R1RFWF","frm","R1RFWF_frm","E",1965.08222
"2008","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","A",37115.50155
"2008","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","B",427168.976965
"2008","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","C",87487.746655
"2008","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","D",18242.17227
"2008","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","E",365554.887005
"2008","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","A",9256.302295
"2008","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","B",136013.446075
"2008","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","C",27642.36413
"2008","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","D",5688.41931
"2008","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","E",126800.955595
"2008","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","A",3025.46158
"2008","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","B",37930.134435
"2008","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","C",8036.243325
"2008","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","D",2592.903305
"2008","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","E",40235.25861
"2008","Oregon","RaABAMup","fsi","RaABAMup_fsi","A",6356.716285
"2008","Oregon","RaABAMup","fsi","RaABAMup_fsi","B",18864.43348
"2008","Oregon","RaABAMup","fsi","RaABAMup_fsi","C",3031.021455
"2008","Oregon","RaABAMup","fsi","RaABAMup_fsi","D",4199.26239
"2008","Oregon","RaABAMup","fsi","RaABAMup_fsi","E",16634.034025
"2008","Oregon","RaABAMup","fst","RaABAMup_fst","A",104.748045
"2008","Oregon","RaABAMup","fst","RaABAMup_fst","B",941.398035
"2008","Oregon","RaABAMup","fst","RaABAMup_fst","C",71.833585
"2008","Oregon","RaABAMup","fst","RaABAMup_fst","D",30.468115
"2008","Oregon","RaABAMup","fst","RaABAMup_fst","E",1498.275115
"2008","Oregon","RaABAMup","fsw","RaABAMup_fsw","A",28.46656
"2008","Oregon","RaABAMup","fsw","RaABAMup_fsw","B",358.278345
"2008","Oregon","RaABAMup","fsw","RaABAMup_fsw","C",60.269045
"2008","Oregon","RaABAMup","fsw","RaABAMup_fsw","D",5.115085
"2008","Oregon","RaABAMup","fsw","RaABAMup_fsw","E",58.045095
"2008","Oregon","RaDFHEdy","fdg","RaDFHEdy_fdg","A",50.038875
"2008","Oregon","RaDFHEdy","fdg","RaDFHEdy_fdg","B",240.853785
"2008","Oregon","RaDFHEdy","fdg","RaDFHEdy_fdg","C",101.189725
"2008","Oregon","RaDFHEdy","fdg","RaDFHEdy_fdg","D",72.05598
"2008","Oregon","RaDFHEdy","fdg","RaDFHEdy_fdg","E",890.247185
"2008","Oregon","RaDFHEdy","fwi","RaDFHEdy_fwi","A",288590.42696
"2008","Oregon","RaDFHEdy","fwi","RaDFHEdy_fwi","B",1305938.800805
"2008","Oregon","RaDFHEdy","fwi","RaDFHEdy_fwi","C",232450.81232
"2008","Oregon","RaDFHEdy","fwi","RaDFHEdy_fwi","D",97425.46723
"2008","Oregon","RaDFHEdy","fwi","RaDFHEdy_fwi","E",1040561.074365
"2008","Oregon","RaDFHEdy","fwx","RaDFHEdy_fwx","A",2034.91425
"2008","Oregon","RaDFHEdy","fwx","RaDFHEdy_fwx","B",38668.041045
"2008","Oregon","RaDFHEdy","fwx","RaDFHEdy_fwx","C",21200.47056
"2008","Oregon","RaDFHEdy","fwx","RaDFHEdy_fwx","D",6278.21085
"2008","Oregon","RaDFHEdy","fwx","RaDFHEdy_fwx","E",42608.21326
"2008","Oregon","RaDFHEwt","fdm","RaDFHEwt_fdm","A",11202.48094
