"YEAR","STATE","ew","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
"2011","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","A",346.04662
"2011","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","B",3838.98249
"2011","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","C",235.7387
"2011","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","D",176.58163
"2011","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","E",5048.81129
"2011","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","A",24086.71287
"2011","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","B",152654.59674
"2011","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","C",23122.185755
"2011","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","D",616.47894
"2011","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","E",15828.964125
"2011","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","A",326.47586
"2011","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","B",568.664015
"2011","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","C",273.10106
"2011","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","D",23.57387
"2011","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","E",768.819515
"2011","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","A",54027.974115
"2011","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","B",1144647.716635
"2011","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","C",169109.825185
"2011","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","D",4932.053915
"2011","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","E",30550.40115
"2011","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","A",1017.67952
"2011","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","B",2907.369835
"2011","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","C",280.440095
"2011","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","D",791.948595
"2011","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","E",11641.93346
"2011","Oregon","eastside","Na0710412","fmh","Na0710412_fmh","A",33159.53929
"2011","Oregon","eastside","Na0710412","fmh","Na0710412_fmh","B",215712.47504
"2011","Oregon","eastside","Na0710412","fmh","Na0710412_fmh","C",23043.902715
"2011","Oregon","eastside","Na0710412","fmh","Na0710412_fmh","D",31811.158405
"2011","Oregon","eastside","Na0710412","fmh","Na0710412_fmh","E",358205.621835
"2011","Oregon","eastside","Na0710412","fmi","Na0710412_fmi","A",5556.76147
"2011","Oregon","eastside","Na0710412","fmi","Na0710412_fmi","B",15349.7029
"2011","Oregon","eastside","Na0710412","fmi","Na0710412_fmi","C",2126.318595
"2011","Oregon","eastside","Na0710412","fmi","Na0710412_fmi","D",3612.58438
"2011","Oregon","eastside","Na0710412","fmi","Na0710412_fmi","E",21913.02414
"2011","Oregon","eastside","R1RFWF","fcw","R1RFWF_fcw","A",4018.67765
"2011","Oregon","eastside","R1RFWF","fcw","R1RFWF_fcw","B",65152.616805
"2011","Oregon","eastside","R1RFWF","fcw","R1RFWF_fcw","C",4820.63402
"2011","Oregon","eastside","R1RFWF","fcw","R1RFWF_fcw","D",2386.965535
"2011","Oregon","eastside","R1RFWF","fcw","R1RFWF_fcw","E",72905.97369
"2011","Oregon","eastside","R1RFWF","frm","R1RFWF_frm","A",51.59564
"2011","Oregon","eastside","R1RFWF","frm","R1RFWF_frm","B",1693.76032
"2011","Oregon","eastside","R1RFWF","frm","R1RFWF_frm","C",89.625185
"2011","Oregon","eastside","R1RFWF","frm","R1RFWF_frm","D",86.28926
"2011","Oregon","eastside","R1RFWF","frm","R1RFWF_frm","E",1881.239305
"2011","Oregon","eastside","RaABAMlw","fsi","RaABAMlw_fsi","A",9582.11097
"2011","Oregon","eastside","RaABAMlw","fsi","RaABAMlw_fsi","B",53723.07057
"2011","Oregon","eastside","RaABAMlw","fsi","RaABAMlw_fsi","C",16809.94847
"2011","Oregon","eastside","RaABAMlw","fsi","RaABAMlw_fsi","D",2257.75404
"2011","Oregon","eastside","RaABAMlw","fsi","RaABAMlw_fsi","E",52644.677215
"2011","Oregon","eastside","RaABAMlw","fsw","RaABAMlw_fsw","A",1831.422825
"2011","Oregon","eastside","RaABAMlw","fsw","RaABAMlw_fsw","B",8491.263495
"2011","Oregon","eastside","RaABAMlw","fsw","RaABAMlw_fsw","C",2846.656
"2011","Oregon","eastside","RaABAMlw","fsw","RaABAMlw_fsw","D",245.07929
"2011","Oregon","eastside","RaABAMlw","fsw","RaABAMlw_fsw","E",8577.77515
"2011","Oregon","eastside","RaABAMlw","fwc","RaABAMlw_fwc","A",948.069885
"2011","Oregon","eastside","RaABAMlw","fwc","RaABAMlw_fwc","B",4150.557885
"2011","Oregon","eastside","RaABAMlw","fwc","RaABAMlw_fwc","C",1579.89408
"2011","Oregon","eastside","RaABAMlw","fwc","RaABAMlw_fwc","D",403.646925
"2011","Oregon","eastside","RaABAMlw","fwc","RaABAMlw_fwc","E",4325.360355
"2011","Oregon","eastside","RaDFHEdy","fwi","RaDFHEdy_fwi","A",49876.749045
"2011","Oregon","eastside","RaDFHEdy","fwi","RaDFHEdy_fwi","B",199820.795525
"2011","Oregon","eastside","RaDFHEdy","fwi","RaDFHEdy_fwi","C",49641.455135
"2011","Oregon","eastside","RaDFHEdy","fwi","RaDFHEdy_fwi","D",21558.748905
"2011","Oregon","eastside","RaDFHEdy","fwi","RaDFHEdy_fwi","E",170411.725515
"2011","Oregon","eastside","RaDFHEdy","fwx","RaDFHEdy_fwx","A",2268.206605
"2011","Oregon","eastside","RaDFHEdy","fwx","RaDFHEdy_fwx","B",39353.907225
"2011","Oregon","eastside","RaDFHEdy","fwx","RaDFHEdy_fwx","C",19116.62941
"2011","Oregon","eastside","RaDFHEdy","fwx","RaDFHEdy_fwx","D",6118.308845
"2011","Oregon","eastside","RaDFHEdy","fwx","RaDFHEdy_fwx","E",43932.79788
"2011","Oregon","eastside","RaDFHEwt","fdm","RaDFHEwt_fdm","A",652.95172
"2011","Oregon","eastside","RaDFHEwt","fdm","RaDFHEwt_fdm","B",7545.41756
"2011","Oregon","eastside","RaDFHEwt","fdm","RaDFHEwt_fdm","C",1674.63435
"2011","Oregon","eastside","RaDFHEwt","fdm","RaDFHEwt_fdm","D",993.438465
"2011","Oregon","eastside","RaDFHEwt","fdm","RaDFHEwt_fdm","E",7768.479745
"2011","Oregon","eastside","RaDFHEwt","fhc","RaDFHEwt_fhc","A",5354.159625
"2011","Oregon","eastside","RaDFHEwt","fhc","RaDFHEwt_fhc","B",13610.574
"2011","Oregon","eastside","RaDFHEwt","fhc","RaDFHEwt_fhc","C",1354.607945
"2011","Oregon","eastside","RaDFHEwt","fhc","RaDFHEwt_fhc","D",1078.17096
"2011","Oregon","eastside","RaDFHEwt","fhc","RaDFHEwt_fhc","E",9914.146705
"2011","Oregon","eastside","RaDFHEwt","fwm","RaDFHEwt_fwm","A",40907.3363
"2011","Oregon","eastside","RaDFHEwt","fwm","RaDFHEwt_fwm","B",140458.677335
"2011","Oregon","eastside","RaDFHEwt","fwm","RaDFHEwt_fwm","C",22646.48285
"2011","Oregon","eastside","RaDFHEwt","fwm","RaDFHEwt_fwm","D",11057.4794
"2011","Oregon","eastside","RaDFHEwt","fwm","RaDFHEwt_fwm","E",91630.965505
"2011","Oregon","eastside","RaDFHEwt","fwn","RaDFHEwt_fwn","A",33877.207955
"2011","Oregon","eastside","RaDFHEwt","fwn","RaDFHEwt_fwn","B",71287.160485
"2011","Oregon","eastside","RaDFHEwt","fwn","RaDFHEwt_fwn","C",24695.852775
"2011","Oregon","eastside","RaDFHEwt","fwn","RaDFHEwt_fwn","D",7653.279135
"2011","Oregon","eastside","RaDFHEwt","fwn","RaDFHEwt_fwn","E",38562.181025
"2011","Oregon","eastside","RaDFHEwt","fww","RaDFHEwt_fww","A",5759.14092
"2011","Oregon","eastside","RaDFHEwt","fww","RaDFHEwt_fww","B",11015.22435
"2011","Oregon","eastside","RaDFHEwt","fww","RaDFHEwt_fww","C",7240.29162
"2011","Oregon","eastside","RaDFHEwt","fww","RaDFHEwt_fww","D",1818.74631
"2011","Oregon","eastside","RaDFHEwt","fww","RaDFHEwt_fww","E",6384.293265
"2011","Oregon","eastside","RaDFWV","fwx","RaDFWV_fwx","A",2535.970185
"2011","Oregon","eastside","RaDFWV","fwx","RaDFWV_fwx","B",7912.591705
"2011","Oregon","eastside","RaDFWV","fwx","RaDFWV_fwx","C",1637.494385
"2011","Oregon","eastside","RaDFWV","fwx","RaDFWV_fwx","D",1258.978095
"2011","Oregon","eastside","RaDFWV","fwx","RaDFWV_fwx","E",24682.509075
"2011","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","A",268505.48972
"2011","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","B",579776.20357
"2011","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","C",550216.572145
"2011","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","D",14334.914515
"2011","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","E",110357.73648
"2011","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","A",96669.76902
"2011","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","B",531846.07796
"2011","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","C",293957.2631
"2011","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","D",9508.498225
"2011","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","E",111102.537335
"2011","Oregon","eastside","RaMCONdy","fdx","RaMCONdy_fdx","A",737.239425
"2011","Oregon","eastside","RaMCONdy","fdx","RaMCONdy_fdx","B",1685.086915
"2011","Oregon","eastside","RaMCONdy","fdx","RaMCONdy_fdx","C",946.06833
"2011","Oregon","eastside","RaMCONdy","fdx","RaMCONdy_fdx","D",90.069975
"2011","Oregon","eastside","RaMCONdy","fdx","RaMCONdy_fdx","E",993.21607
"2011","Oregon","eastside","RaMCONdy","fmd","RaMCONdy_fmd","A",53649.23543
"2011","Oregon","eastside","RaMCONdy","fmd","RaMCONdy_fmd","B",254842.4305
"2011","Oregon","eastside","RaMCONdy","fmd","RaMCONdy_fmd","C",184339.434785
"2011","Oregon","eastside","RaMCONdy","fmd","RaMCONdy_fmd","D",8050.699
"2011","Oregon","eastside","RaMCONdy","fmd","RaMCONdy_fmd","E",94907.06625
"2011","Oregon","eastside","RaMCONdy","fmx","RaMCONdy_fmx","A",63229.789635
"2011","Oregon","eastside","RaMCONdy","fmx","RaMCONdy_fmx","B",292109.383045
"2011","Oregon","eastside","RaMCONdy","fmx","RaMCONdy_fmx","C",176788.679745
"2011","Oregon","eastside","RaMCONdy","fmx","RaMCONdy_fmx","D",5816.96362
"2011","Oregon","eastside","RaMCONdy","fmx","RaMCONdy_fmx","E",58225.012555
"2011","Oregon","eastside","RaMCONms","fcm","RaMCONms_fcm","A",200867.164
"2011","Oregon","eastside","RaMCONms","fcm","RaMCONms_fcm","B",517425.318975
"2011","Oregon","eastside","RaMCONms","fcm","RaMCONms_fcm","C",790289.97309
"2011","Oregon","eastside","RaMCONms","fcm","RaMCONms_fcm","D",74912.198985
"2011","Oregon","eastside","RaMCONms","fcm","RaMCONms_fcm","E",227520.092775
"2011","Oregon","eastside","RaMCONms","fmm","RaMCONms_fmm","A",83548.01923
"2011","Oregon","eastside","RaMCONms","fmm","RaMCONms_fmm","B",261390.851275
"2011","Oregon","eastside","RaMCONms","fmm","RaMCONms_fmm","C",342464.72613
"2011","Oregon","eastside","RaMCONms","fmm","RaMCONms_fmm","D",14634.702975
"2011","Oregon","eastside","RaMCONms","fmm","RaMCONms_fmm","E",140020.33679
"2011","Oregon","eastside","RaMCONsw","fdm","RaMCONsw_fdm","A",15324.572265
